rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,50.37,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Stade de France, Paris (FRA)",2024-08-08,1322,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.37,FRA,25.0,2024
2,50.65,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-30,1313,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.65,USA,24.0,2024
3,50.68,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1312,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.68,USA,22.0,2022
4,50.95,,Femke BOL,2000-02-23,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2024-07-14,1303,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.95,SUI,24.0,2024
5,51.3,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2024-07-20,1291,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.3,GBR,24.0,2024
6,51.41,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-25,1288,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.41,USA,22.0,2022
7,51.45,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2023-07-23,1286,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.45,GBR,23.0,2023
8,51.46,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"National Stadium, Tokyo (JPN)",2021-08-04,1286,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.46,JPN,22.0,2021
9,51.54,,Femke BOL,2000-02-23,NED,1,"National Stadium, Tokyo (JPN)",2025-09-19,1283,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.54,JPN,25.0,2025
10,51.58,,Dalilah MUHAMMAD,1990-02-07,USA,2,"National Stadium, Tokyo (JPN)",2021-08-04,1282,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.58,JPN,31.0,2021
11,51.61,,Sydney MCLAUGHLIN,1999-08-07,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1281,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.61,USA,22.0,2022
12,51.68,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1279,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.68,HUN,23.0,2022
13,51.7,,Femke BOL,2000-02-23,NED,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1278,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.7,HUN,23.0,2023
14,51.87,,Anna COCKRELL,1997-08-28,USA,2,"Stade de France, Paris (FRA)",2024-08-08,1273,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.87,FRA,26.0,2024
15,51.9,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-27,1272,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.9,USA,21.0,2021
16,51.91,,Femke BOL,2000-02-23,NED,1,"Stadion Śląski, Chorzów (POL)",2025-08-16,1271,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.91,POL,25.0,2025
17,51.95,,Femke BOL,2000-02-23,NED,1,"Stade Louis II, Monaco (MON)",2025-07-11,1270,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.95,MON,25.0,2025
18,51.98,,Femke BOL,2000-02-23,NED,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1269,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.98,USA,23.0,2023
19,52.03,,Femke BOL,2000-02-23,NED,3,"National Stadium, Tokyo (JPN)",2021-08-04,1267,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.03,JPN,21.0,2021
20,52.07,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",2025-05-03,1266,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.07,USA,25.0,2025
21,52.08,,Jasmine JONES,2001-11-30,USA,2,"National Stadium, Tokyo (JPN)",2025-09-19,1266,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.08,JPN,23.0,2025
22,52.1,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2025-07-19,1265,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.1,GBR,25.0,2025
23,52.11,,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1265,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.11,SWE,25.0,2025
23,52.11,,Femke BOL,2000-02-23,NED,1,"Boudewijnstadion, Bruxelles (BEL)",2023-09-08,1265,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.11,BEL,23.0,2023
25,52.13,,Femke BOL,2000-02-23,NED,1,"Stadion Śląski, Chorzów (POL)",2024-08-25,1264,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.13,POL,24.0,2024
25,52.13,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1sf2,"Stade de France, Paris (FRA)",2024-08-06,1264,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.13,FRA,25.0,2024
