rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,13:58.06,,Beatrice CHEBET,2000-03-05,KEN,1,"Hayward Field, Eugene, OR (USA)",2025-07-05,1286,5000-metres,middlelong,female,senior,5000-metres,track,838.06,USA,25.0,2025
2,14:00.21,,Gudaf TSEGAY,1997-01-23,ETH,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1282,5000-metres,middlelong,female,senior,5000-metres,track,840.21,USA,26.0,2023
3,14:01.29,,Agnes Jebet NGETICH,2001-01-23,KEN,2,"Hayward Field, Eugene, OR (USA)",2025-07-05,1280,5000-metres,middlelong,female,senior,5000-metres,track,841.29,USA,24.0,2025
4,14:03.69,,Beatrice CHEBET,2000-03-05,KEN,1,"Stadio Olimpico, Roma (ITA)",2025-06-06,1275,5000-metres,middlelong,female,senior,5000-metres,track,843.69,ITA,25.0,2025
5,14:04.41,,Gudaf TSEGAY,1997-01-23,ETH,3,"Hayward Field, Eugene, OR (USA)",2025-07-05,1273,5000-metres,middlelong,female,senior,5000-metres,track,844.41,USA,28.0,2025
6,14:05.20,,Faith KIPYEGON,1994-01-10,KEN,1,"Stade Charléty, Paris (FRA)",2023-06-09,1272,5000-metres,middlelong,female,senior,5000-metres,track,845.2,FRA,29.0,2023
7,14:05.92,,Beatrice CHEBET,2000-03-05,KEN,2,"Hayward Field, Eugene, OR (USA)",2023-09-17,1270,5000-metres,middlelong,female,senior,5000-metres,track,845.92,USA,23.0,2023
8,14:06.62,,Letesenbet GIDEY,1998-03-20,ETH,1,"Estadio de Atletismo del Turia, Valencia (ESP)",2020-10-07,1269,5000-metres,middlelong,female,senior,5000-metres,track,846.62,ESP,22.0,2020
9,14:07.94,,Letesenbet GIDEY,1998-03-20,ETH,2,"Stade Charléty, Paris (FRA)",2023-06-09,1266,5000-metres,middlelong,female,senior,5000-metres,track,847.94,FRA,25.0,2023
10,14:08.79,,Letesenbet GIDEY,1998-03-20,ETH,1,"Olympiastadion, Berlin (GER)",2023-09-03,1264,5000-metres,middlelong,female,senior,5000-metres,track,848.79,GER,25.0,2023
11,14:09.52,,Beatrice CHEBET,2000-03-05,KEN,1,"Letzigrund, Zürich (SUI)",2024-09-05,1263,5000-metres,middlelong,female,senior,5000-metres,track,849.52,SUI,24.0,2024
12,14:09.82,,Beatrice CHEBET,2000-03-05,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-14,1262,5000-metres,middlelong,female,senior,5000-metres,track,849.82,BEL,24.0,2024
