rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:26:52.3h,,Olimpiada IVANOVA,1970-08-29,RUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2001-09-06,1193,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5212.3,AUS,31.0,2001
2,1:27:49.3h,,Yelena NIKOLAYEVA,1966-02-01,RUS,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2001-09-06,1176,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5269.3,AUS,35.0,2001
3,1:29:07.5h,,Mary Luz ANDIA,2000-11-09,PER,1,"COTP Stadium, São Paulo (BRA)",2023-07-29,1153,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5347.5,BRA,22.0,2023
4,1:29:32.4h,,Hongjuan SONG,1984-07-04,CHN,1,Changsha (CHN),2003-10-23,1145,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5372.4,CHN,19.0,2003
1,1:29:32.4h,,Hongjuan SONG,1984-07-04,CHN,1,Changsha (CHN),2003-10-23,1145,20000-metres-race-walk,race-walks,female,u20,20000-metres-race-walk,track,5372.4,CHN,19.0,2003
5,1:29:36.4h,,Susana FEITOR,1975-01-28,POR,1,Lisboa (POR),2001-07-21,1144,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5376.4,POR,26.0,2001
6,1:30:38.3h,,Viviane LYRA,1993-07-29,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",2024-06-27,1126,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5438.3,BRA,30.0,2024
7,1:30:48.3h,,Rossella GIORDANO,1972-12-01,ITA,1,Almada (POR),2000-08-04,1123,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5448.3,POR,27.0,2000
8,1:30:50.00,,Ivana RENIĆ,1996-08-21,CRO,1,"Sports Park Mladost, Zagreb (CRO)",2024-05-11,1123,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5450.0,CRO,27.0,2024
9,1:30:52.0h,,Karla JARAMILLO,1997-01-21,ECU,1,Lima (PER),2019-05-25,1122,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5452.0,PER,22.0,2019
10,1:30:52.7h,,Viviane LYRA,1993-07-29,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",2025-07-31,1122,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5452.7,BRA,32.0,2025
11,1:31:02.25,,Lorena ARENAS,1993-09-17,COL,1,Lima (PER),2015-06-13,1119,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5462.25,PER,21.0,2015
12,1:31:16.18,,Hong LIU,1987-05-12,CHN,1,Wuhan (CHN),2007-11-01,1115,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5476.18,CHN,20.0,2007
13,1:31:18.79,,Xiaoling SONG,1987-12-21,CHN,2,Wuhan (CHN),2007-11-01,1114,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5478.79,CHN,19.0,2007
14,1:31:23.7h,,Lauren HARRIS,1999-07-23,USA,1,"Hayward Field, Eugene, OR (USA)",2025-08-02,1113,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5483.7,USA,26.0,2025
15,1:31:25.49,,Mary Luz ANDIA,2000-11-09,PER,1,"Estadio Atlético de la VIDENA, Lima (PER)",2023-06-16,1112,20000-metres-race-walk,race-walks,female,senior,20000-metres-race-walk,track,5485.49,PER,22.0,2023
