rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,3:15.17,,Soviet Union,,URS,1,"Olympic Stadium, Seoul (KOR)",1988-10-01,1267,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,195.17,KOR,,1988
2,3:15.27,,United States,,USA,1,"Stade de France, Paris (FRA)",2024-08-10,1266,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,195.27,FRA,,2024
3,3:15.51,,United States,,USA,2,"Olympic Stadium, Seoul (KOR)",1988-10-01,1264,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,195.51,KOR,,1988
4,3:15.92,,German Democratic Republic,,GDR,1,Erfurt (GER),1984-06-03,1260,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,195.92,GER,,1984
5,3:16.61,,United States,,USA,1,"National Stadium, Tokyo (JPN)",2025-09-21,1254,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,196.61,JPN,,2025
6,3:16.71,,United States,,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1253,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,196.71,GER,,1993
7,3:16.85,,United States,,USA,1,"National Stadium, Tokyo (JPN)",2021-08-07,1252,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,196.85,JPN,,2021
8,3:16.87,,German Democratic Republic,,GDR,1,"Neckarstadion, Stuttgart (GER)",1986-08-31,1252,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,196.87,GER,,1986
8,3:16.87,,United States,,USA,1,"Olympic Stadium, London (GBR)",2012-08-11,1252,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,196.87,GBR,,2012
10,3:17.79,,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1244,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,197.79,USA,,2022
11,3:17.83,,United States,,USA,1,"Olympiastadion, Berlin (GER)",2009-08-23,1243,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,197.82999999999998,GER,,2009
12,3:17.96,,Arkansas,,INT,1,"Hayward Field, Eugene, OR (USA)",2024-06-08,1242,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,197.96,USA,,2024
13,3:18.09,,United States,,USA,1,"DS, Daegu (KOR)",2011-09-03,1241,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,198.09,KOR,,2011
14,3:18.29,,German Democratic Republic,,GDR,3,"Olympic Stadium, Seoul (KOR)",1988-10-01,1239,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,198.29,KOR,,1988
14,3:18.29,,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-11,1239,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,198.29,USA,,1984
