rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,13:54,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2024-12-31,1295,5-kilometres,road-running,female,senior,5-kilometres,track,834.0,ESP,24.0,2024
2,14:13,,Agnes Jebet NGETICH,2001-01-23,KEN,,Valencia (ESP),2024-01-14,1256,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,22.0,2024
2,14:13,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2023-12-31,1256,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,23.0,2023
4,14:19,,Caroline NYAGA,1993-10-07,KEN,1,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1244,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,JPN,31.0,2025
4,14:19,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2021-12-31,1244,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,ESP,21.0,2021
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2022-12-31,1240,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,22.0,2022
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,2,Barcelona (ESP),2023-12-31,1240,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,23.0,2023
8,14:23,,Medina EISA,2005-01-03,ETH,2,Barcelona (ESP),2024-12-31,1236,5-kilometres,road-running,female,senior,5-kilometres,track,863.0,ESP,20.0,2024
9,14:26,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,Barcelona (ESP),2023-12-31,1230,5-kilometres,road-running,female,senior,5-kilometres,track,866.0,ESP,26.0,2023
10,14:28,,Joy CHEPTOYEK,2002-05-15,UGA,4,Barcelona (ESP),2023-12-31,1226,5-kilometres,road-running,female,senior,5-kilometres,track,868.0,ESP,21.0,2023
12,14:29,,Senbere TEFERI,1995-05-03,ETH,1,Herzogenaurach (GER),2021-09-12,1224,5-kilometres,road-running,female,senior,5-kilometres,track,869.0,GER,26.0,2021
