rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:09:56,,Ruth CHEPNGETICH,1994-08-08,KEN,1,"Chicago, IL (USA)",2024-10-13,1312,marathon,road-running,female,senior,marathon,track,7796.0,USA,30.0,2024
2,2:11:53,,Tigst ASSEFA,1996-12-03,ETH,1,Berlin (GER),2023-09-24,1292,marathon,road-running,female,senior,marathon,track,7913.0,GER,26.0,2023
3,2:13:44,,Sifan HASSAN,1993-01-01,NED,1,"Chicago, IL (USA)",2023-10-08,1274,marathon,road-running,female,senior,marathon,track,8024.0,USA,30.0,2023
4,2:14:04,,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2019-10-13,1270,marathon,road-running,female,senior,marathon,track,8044.0,USA,25.0,2019
5,2:14:18,,Ruth CHEPNGETICH,1994-08-08,KEN,1,"Chicago, IL (USA)",2022-10-09,1268,marathon,road-running,female,senior,marathon,track,8058.0,USA,28.0,2022
6,2:14:58,,Amane Beriso SHANKULE,1991-10-13,ETH,1,Valencia (ESP),2022-12-04,1262,marathon,road-running,female,senior,marathon,track,8098.0,ESP,31.0,2022
7,2:15:25,,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2003-04-13,1257,marathon,road-running,female,senior,marathon,track,8125.0,GBR,29.0,2003
8,2:15:37,,Tigst ASSEFA,1996-12-03,ETH,1,Berlin (GER),2022-09-25,1255,marathon,road-running,female,senior,marathon,track,8137.0,GER,25.0,2022
8,2:15:37,,Ruth CHEPNGETICH,1994-08-08,KEN,2,"Chicago, IL (USA)",2023-10-08,1255,marathon,road-running,female,senior,marathon,track,8137.0,USA,29.0,2023
10,2:15:50,,Tigst ASSEFA,1996-12-03,ETH,1,London (GBR),2025-04-27,1253,marathon,road-running,female,senior,marathon,track,8150.0,GBR,28.0,2025
11,2:15:51,,Worknesh DEGEFA,1990-10-28,ETH,1,Valencia (ESP),2023-12-03,1253,marathon,road-running,female,senior,marathon,track,8151.0,ESP,33.0,2023
12,2:15:55,,Sutume Asefa KEBEDE,1994-12-11,ETH,1,Tokyo (JPN),2024-03-03,1252,marathon,road-running,female,senior,marathon,track,8155.0,JPN,29.0,2024
13,2:16:02,,Brigid KOSGEI,1994-02-20,KEN,1,Tokyo (JPN),2022-03-06,1251,marathon,road-running,female,senior,marathon,track,8162.0,JPN,28.0,2022
14,2:16:07,,Tigist KETEMA,1998-09-15,ETH,1,Dubai (UAE),2024-01-07,1250,marathon,road-running,female,senior,marathon,track,8167.0,UAE,25.0,2024
