rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,47.6,,Marita KOCH,1957-02-18,GDR,1,"Bruce Stadium, Canberra (AUS)",1985-10-06,1304,400-metres,sprints,female,senior,400-metres,track,47.6,AUS,28.0,1985
2,47.78,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1f1,"National Stadium, Tokyo (JPN)",2025-09-18,1296,400-metres,sprints,female,senior,400-metres,track,47.78,JPN,26.0,2025
3,47.98,,Marileidy PAULINO,1996-10-25,DOM,2f1,"National Stadium, Tokyo (JPN)",2025-09-18,1288,400-metres,sprints,female,senior,400-metres,track,47.98,JPN,28.0,2025
4,47.99,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,1,"Olympiastadion, Helsinki (FIN)",1983-08-10,1288,400-metres,sprints,female,senior,400-metres,track,47.99,FIN,32.0,1983
5,48.14,,Salwa Eid NASER,1998-05-23,BRN,1,"Khalifa International Stadium, Doha (QAT)",2019-10-03,1281,400-metres,sprints,female,senior,400-metres,track,48.14,QAT,21.0,2019
6,48.16,,Marita KOCH,1957-02-18,GDR,1,"Olympic Stadium, Athina (GRE)",1982-09-08,1281,400-metres,sprints,female,senior,400-metres,track,48.16,GRE,25.0,1982
6,48.16,,Marita KOCH,1957-02-18,GDR,1,Praha (TCH),1984-08-16,1281,400-metres,sprints,female,senior,400-metres,track,48.16,TCH,27.0,1984
8,48.17,,Marileidy PAULINO,1996-10-25,DOM,1,"Stade de France, Paris (FRA)",2024-08-09,1280,400-metres,sprints,female,senior,400-metres,track,48.17,FRA,27.0,2024
9,48.19,,Salwa Eid NASER,1998-05-23,BRN,3f1,"National Stadium, Tokyo (JPN)",2025-09-18,1279,400-metres,sprints,female,senior,400-metres,track,48.19,JPN,27.0,2025
10,48.22,,Marita KOCH,1957-02-18,GDR,1,"Neckarstadion, Stuttgart (GER)",1986-08-28,1278,400-metres,sprints,female,senior,400-metres,track,48.22,GER,29.0,1986
11,48.25,,Marie-José PÉREC,1968-05-09,FRA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-29,1277,400-metres,sprints,female,senior,400-metres,track,48.25,USA,28.0,1996
12,48.26,,Marita KOCH,1957-02-18,GDR,1,Dresden (GER),1984-07-27,1276,400-metres,sprints,female,senior,400-metres,track,48.26,GER,27.0,1984
13,48.27,,Olga BRYZGINA,1963-06-30,URS,2,"Bruce Stadium, Canberra (AUS)",1985-10-06,1276,400-metres,sprints,female,senior,400-metres,track,48.27,AUS,22.0,1985
14,48.29,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1sf3,"National Stadium, Tokyo (JPN)",2025-09-16,1275,400-metres,sprints,female,senior,400-metres,track,48.29,JPN,26.0,2025
