rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,12.72,1.0,Sasha ZHOYA,2002-06-25,FRA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-08-21,,110m-hurdles-990cm,hurdles,male,u20,110-metres-hurdles,track,12.72,KEN,19.0,2021
1,12.8,0.3,Aries MERRITT,1985-07-24,USA,1,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,1294.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.8,BEL,27.0,2012
2,12.81,1.8,Grant HOLLOWAY,1997-11-19,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1292.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.81,USA,23.0,2021
3,12.84,1.6,Devon ALLEN,1994-12-12,USA,1,"Icahn Stadium, New York, NY (USA)",2022-06-12,1286.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.84,USA,27.0,2022
4,12.86,2.0,Grant HOLLOWAY,1997-11-19,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-28,1282.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.86,USA,26.0,2024
5,12.87,0.9,Dayron ROBLES,1986-11-19,CUB,1,Ostrava (CZE),2008-06-12,1280.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.87,CZE,21.0,2008
5,12.87,0.6,Cordell TINCH,2000-07-13,USA,1,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",2025-05-03,1280.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.87,CHN,24.0,2025
1,12.87,1.6,Sasha ZHOYA,2002-06-25,AUS,1sf3,Angers (FRA),2019-07-06,,110m-hurdles-914cm,hurdles,male,u18,110-metres-hurdles,track,12.87,FRA,17.0,2019
7,12.88,1.1,Xiang LIU,1983-07-13,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1278.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.88,SUI,23.0,2006
7,12.88,0.5,Dayron ROBLES,1986-11-19,CUB,1,"Stade de France, Paris-St-Denis (FRA)",2008-07-18,1278.0,110-metres-hurdles,hurdles,male,senior,110-metres-hurdles,track,12.88,FRA,21.0,2008
