rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,6.3,,Armand DUPLANTIS,1999-11-10,SWE,1f1,"National Stadium, Tokyo (JPN)",2025-09-15,1350,pole-vault,jumps,male,senior,pole-vault,field,6.3,JPN,25.0,2025
2,6.29,,Armand DUPLANTIS,1999-11-10,SWE,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2025-08-12,1347,pole-vault,jumps,male,senior,pole-vault,field,6.29,HUN,25.0,2025
3,6.28,,Armand DUPLANTIS,1999-11-10,SWE,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1344,pole-vault,jumps,male,senior,pole-vault,field,6.28,SWE,25.0,2025
4,6.27,,Armand DUPLANTIS,1999-11-10,SWE,1,"Maison des Sports, Clermont-Ferrand (FRA) (i)",2025-02-28,1342,pole-vault,jumps,male,senior,pole-vault,field,6.27,FRA,25.0,2025
5,6.26,,Armand DUPLANTIS,1999-11-10,SWE,1,"Stadion Śląski, Chorzów (POL)",2024-08-25,1339,pole-vault,jumps,male,senior,pole-vault,field,6.26,POL,24.0,2024
6,6.25,,Armand DUPLANTIS,1999-11-10,SWE,1,"Stade de France, Paris (FRA)",2024-08-05,1336,pole-vault,jumps,male,senior,pole-vault,field,6.25,FRA,24.0,2024
7,6.24,,Armand DUPLANTIS,1999-11-10,SWE,1,"Egret Stadium, Xiamen (CHN)",2024-04-20,1333,pole-vault,jumps,male,senior,pole-vault,field,6.24,CHN,24.0,2024
8,6.23,,Armand DUPLANTIS,1999-11-10,SWE,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1330,pole-vault,jumps,male,senior,pole-vault,field,6.23,USA,23.0,2023
9,6.22,,Armand DUPLANTIS,1999-11-10,SWE,1f1,"Maison des Sports, Clermont-Ferrand (FRA) (i)",2023-02-25,1328,pole-vault,jumps,male,senior,pole-vault,field,6.22,FRA,23.0,2023
10,6.21,,Armand DUPLANTIS,1999-11-10,SWE,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1325,pole-vault,jumps,male,senior,pole-vault,field,6.21,USA,22.0,2022
11,6.2,,Armand DUPLANTIS,1999-11-10,SWE,1,"Štark Arena, Beograd (SRB) (i)",2022-03-20,1322,pole-vault,jumps,male,senior,pole-vault,field,6.2,SRB,22.0,2022
12,6.19,,Armand DUPLANTIS,1999-11-10,SWE,1,"Štark Arena, Beograd (SRB) (i)",2022-03-07,1319,pole-vault,jumps,male,senior,pole-vault,field,6.19,SRB,22.0,2022
13,6.18,,Armand DUPLANTIS,1999-11-10,SWE,1,"Emirates Arena, Glasgow (GBR) (i)",2020-02-15,1317,pole-vault,jumps,male,senior,pole-vault,field,6.18,GBR,20.0,2020
14,6.17,,Armand DUPLANTIS,1999-11-10,SWE,1,"Arena, Toruń (POL) (i)",2020-02-08,1314,pole-vault,jumps,male,senior,pole-vault,field,6.17,POL,20.0,2020
15,6.16,,Renaud LAVILLENIE,1986-09-18,FRA,1,Donetsk (UKR) (i),2014-02-15,1311,pole-vault,jumps,male,senior,pole-vault,field,6.16,UKR,27.0,2014
15,6.16,,Armand DUPLANTIS,1999-11-10,SWE,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1311,pole-vault,jumps,male,senior,pole-vault,field,6.16,SWE,22.0,2022
17,6.15,,Sergey BUBKA,1963-12-04,UKR,1,Donetsk (UKR) (i),1993-02-21,1308,pole-vault,jumps,male,senior,pole-vault,field,6.15,UKR,29.0,1993
17,6.15,,Armand DUPLANTIS,1999-11-10,SWE,1,"Sports Training Center, Nanjing (CHN) (i)",2025-03-22,1308,pole-vault,jumps,male,senior,pole-vault,field,6.15,CHN,25.0,2025
17,6.15,,Armand DUPLANTIS,1999-11-10,SWE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2024-08-21,1308,pole-vault,jumps,male,senior,pole-vault,field,6.15,SUI,24.0,2024
17,6.15,,Armand DUPLANTIS,1999-11-10,SWE,1,"Stadio Olimpico, Roma (ITA)",2020-09-17,1308,pole-vault,jumps,male,senior,pole-vault,field,6.15,ITA,20.0,2020
17,6.15,,Armand DUPLANTIS,1999-11-10,SWE,1,"Bislett Stadion, Oslo (NOR)",2025-06-12,1308,pole-vault,jumps,male,senior,pole-vault,field,6.15,NOR,25.0,2025
22,6.14,,Sergey BUBKA,1963-12-04,UKR,1,Liévin (FRA) (i),1993-02-13,1306,pole-vault,jumps,male,senior,pole-vault,field,6.14,FRA,29.0,1993
22,6.14,,Sergey BUBKA,1963-12-04,UKR,1,Sestriere (ITA),1994-07-31,1306,pole-vault,jumps,male,senior,pole-vault,field,6.14,ITA,30.0,1994
24,6.13,,Sergey BUBKA,1963-12-04,UKR,1,Berlin (GER) (i),1992-02-21,1303,pole-vault,jumps,male,senior,pole-vault,field,6.13,GER,28.0,1992
24,6.13,,Armand DUPLANTIS,1999-11-10,SWE,1,"Mestský Stadion, Ostrava (CZE)",2025-06-24,1303,pole-vault,jumps,male,senior,pole-vault,field,6.13,CZE,25.0,2025
24,6.13,,Sergey BUBKA,1963-12-04,UKR,1,Tokyo (JPN),1992-09-19,1303,pole-vault,jumps,male,senior,pole-vault,field,6.13,JPN,28.0,1992
27,6.12,,Sergey BUBKA,1963-12-04,UKR,1,Padova (ITA),1992-08-30,1300,pole-vault,jumps,male,senior,pole-vault,field,6.12,ITA,28.0,1992
27,6.12,,Sergey BUBKA,1963-12-04,URS,1,Grenoble (FRA) (i),1991-03-23,1300,pole-vault,jumps,male,senior,pole-vault,field,6.12,FRA,27.0,1991
27,6.12,,Armand DUPLANTIS,1999-11-10,SWE,1,"Mestský Stadion, Ostrava (CZE)",2023-06-27,1300,pole-vault,jumps,male,senior,pole-vault,field,6.12,CZE,23.0,2023
30,6.11,,Armand DUPLANTIS,1999-11-10,SWE,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1297,pole-vault,jumps,male,senior,pole-vault,field,6.11,BEL,24.0,2024
30,6.11,,Armand DUPLANTIS,1999-11-10,SWE,1,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",2025-05-03,1297,pole-vault,jumps,male,senior,pole-vault,field,6.11,CHN,25.0,2025
30,6.11,,Sergey BUBKA,1963-12-04,URS,1,Donetsk (URS) (i),1991-03-19,1297,pole-vault,jumps,male,senior,pole-vault,field,6.11,URS,27.0,1991
30,6.11,,Sergey BUBKA,1963-12-04,UKR,1,Dijon (FRA),1992-06-13,1297,pole-vault,jumps,male,senior,pole-vault,field,6.11,FRA,28.0,1992
