rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,3:26.00,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",1998-07-14,1302,1500-metres,middlelong,male,senior,1500-metres,track,206.0,ITA,23.0,1998
2,3:26.12,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Bruxelles (BEL),2001-08-24,1301,1500-metres,middlelong,male,senior,1500-metres,track,206.12,BEL,26.0,2001
3,3:26.34,,Bernard LAGAT,1974-12-12,KEN,2,Bruxelles (BEL),2001-08-24,1297,1500-metres,middlelong,male,senior,1500-metres,track,206.34,BEL,26.0,2001
4,3:26.45,,Hicham EL GUERROUJ,1974-09-14,MAR,1f1,Zürich (SUI),1998-08-12,1296,1500-metres,middlelong,male,senior,1500-metres,track,206.45,SUI,23.0,1998
5,3:26.69,,Asbel KIPROP,1989-06-30,KEN,1,"Stade Louis II, Monaco (MON)",2015-07-17,1292,1500-metres,middlelong,male,senior,1500-metres,track,206.69,MON,26.0,2015
6,3:26.73,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Louis II, Monaco (MON)",2024-07-12,1292,1500-metres,middlelong,male,senior,1500-metres,track,206.73,MON,23.0,2024
7,3:26.89,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Zürich (SUI),2002-08-16,1289,1500-metres,middlelong,male,senior,1500-metres,track,206.89,SUI,27.0,2002
8,3:26.96,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Rieti (ITA),2002-09-08,1288,1500-metres,middlelong,male,senior,1500-metres,track,206.96,ITA,28.0,2002
9,3:27.14,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stadion Śląski, Chorzów (POL)",2023-07-16,1286,1500-metres,middlelong,male,senior,1500-metres,track,207.14,POL,22.0,2023
10,3:27.21,,Hicham EL GUERROUJ,1974-09-14,MAR,1f1,Zürich (SUI),2000-08-11,1285,1500-metres,middlelong,male,senior,1500-metres,track,207.21,SUI,25.0,2000
11,3:27.34,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stade Louis II, Monaco (MON)",2002-07-19,1283,1500-metres,middlelong,male,senior,1500-metres,track,207.34,MON,27.0,2002
12,3:27.37,,Noureddine MORCELI,1970-02-28,ALG,1,Nice (FRA),1995-07-12,1282,1500-metres,middlelong,male,senior,1500-metres,track,207.37,FRA,25.0,1995
13,3:27.40,,Bernard LAGAT,1974-12-12,KEN,1,Zürich (SUI),2004-08-06,1282,1500-metres,middlelong,male,senior,1500-metres,track,207.4,SUI,29.0,2004
