rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,5:31.96,,Brian KIPTOO,2008-10-24,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",2025-06-20,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,331.96,KEN,16.0,2025
2,5:36.04,,Michał GAJDUS,2008-01-10,POL,1,"Stadion Miejski, Oleśnica (POL)",2025-06-07,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,336.04,POL,17.0,2025
3,5:36.88,,Emmanuel LEMISO,2008-06-03,KEN,2,"Nyayo National Stadium, Nairobi (KEN)",2025-06-20,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,336.88,KEN,17.0,2025
4,5:38.55,,Sergio DEL BARRIO,2005-02-04,ESP,1f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,338.55,ISR,17.0,2022
5,5:39.51,,Mihai-Alin ȘAVLOVSCHI,2006-08-22,ROU,1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,339.51,SLO,16.0,2023
6,5:40.00,,Alejandro DOMINGO,2007-07-24,ESP,1,"Centro Galego de Tecnificación, Pontevedra (ESP)",2024-06-22,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,340.0,ESP,16.0,2024
7,5:40.30,,Isacc DUPORTAL,2006-10-15,FRA,2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,340.3,SLO,16.0,2023
8,5:40.35,,Hicham ERRBIBIH,2005-12-02,FRA,2f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,340.35,ISR,16.0,2022
9,5:40.45,,Aarno LIEBL,2005-05-21,SUI,3f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,340.45,ISR,17.0,2022
10,5:40.58,,Zhihui LUO,2009-07-08,CHN,1f2,"Olympic Center, Shenyang (CHN)",2025-08-12,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,340.58,CHN,16.0,2025
11,5:41.11,,Sergio DEL BARRIO,2005-02-04,ESP,2,"Stade Helitas, Caen (FRA)",2022-05-19,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,341.11,FRA,17.0,2022
12,5:41.30,,Bakr EL ASRI,2007-01-28,ESP,1f1,"Pista de Atletismo Las Mestas, Gijón (ESP)",2023-07-09,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,341.3,ESP,16.0,2023
13,5:41.52,,Benjámin SZABÓ,2006-10-20,HUN,3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,341.52,SLO,16.0,2023
14,5:42.26,,Haakon Kamlesh Heltzer SØRSTAD,2008-03-01,NOR,1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,342.26,MKD,17.0,2025
15,5:42.28,,Jairus KIPKORIR,2009-06-02,KEN,3,"Nyayo National Stadium, Nairobi (KEN)",2025-06-20,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,342.28,KEN,16.0,2025
16,5:42.41,,Marti TORREGROSSA,2007-07-20,ESP,2,"Centro Galego de Tecnificación, Pontevedra (ESP)",2024-06-22,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,342.40999999999997,ESP,16.0,2024
17,5:42.75,,Mathis DUBOIS,,FRA,2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,2000-metres-steeplechase-84,middlelong,male,u18,2000-metres-steeplechase-84,track,342.75,MKD,,2025
