rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,37:11,,Roman RASSKAZOV,1979-04-28,RUS,1,Saransk (RUS),2000-05-28,1252,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2231.0,RUS,21,2000
2,37:33,,Erik TYSSE,1980-12-04,NOR,1,Hildesheim (GER),2006-08-27,1235,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2253.0,GER,25,2006
3,37:44,,Erik TYSSE,1980-12-04,NOR,1,Os (NOR),2009-06-12,1227,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2264.0,NOR,28,2009
1,37:44,,Zhen WANG,1991-08-24,CHN,1,Beijing (CHN),2010-09-18,1227,10-kilometres-race-walk,race-walks,male,u20,10-kilometres-race-walk,track,2264.0,CHN,19,2010
3,37:44,,Zhen WANG,1991-08-24,CHN,1,Beijing (CHN),2010-09-18,1227,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2264.0,CHN,19,2010
5,37:52,,Francisco Javier FERNÁNDEZ,1977-03-06,ESP,1,Kraków (POL),2002-06-08,1221,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2272.0,POL,25,2002
6,37:57,,Yafei CHU,1988-05-09,CHN,2,Beijing (CHN),2010-09-18,1218,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2277.0,CHN,22,2010
6,37:57,,Robert KORZENIOWSKI,1968-07-30,POL,2,Kraków (POL),2002-06-08,1218,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2277.0,POL,33,2002
8,38:00,,Francisco Javier FERNÁNDEZ,1977-03-06,ESP,1,Kraków (POL),2001-06-09,1215,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2280.0,POL,24,2001
8,38:00,,Giorgio RUBINO,1986-04-15,ITA,3,Beijing (CHN),2010-09-18,1215,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2280.0,CHN,24,2010
8,38:00,,Vasiliy MIZINOV,1997-12-29,RUS,1,Voronovo (RUS),2020-08-23,1215,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2280.0,RUS,22,2020
8,38:00,,Hao WANG,1989-08-16,CHN,4,Beijing (CHN),2010-09-18,1215,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2280.0,CHN,21,2010
12,38:01,,Pyotr TROFIMOV,1983-12-18,RUS,1,Buy (RUS),2014-09-13,1215,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2281.0,RUS,30,2014
13,38:02,,Robert KORZENIOWSKI,1968-07-30,POL,2,Kraków (POL),2001-06-09,1214,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2282.0,POL,32,2001
14,38:03,,Vasiliy MIZINOV,1997-12-29,RUS,1,Voronovo (RUS),2023-04-30,1213,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2283.0,RUS,25,2023
15,38:04,,Sergey KOZHEVNIKOV,2001-05-09,RUS,1,Voronovo (RUS),2024-06-01,1212,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2284.0,RUS,23,2024
15,38:04,,Artur MELESHKEVICH,1975-04-11,BLR,3,Kraków (POL),2001-06-09,1212,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2284.0,POL,26,2001
17,38:07,,David SMITH,1955-07-24,AUS,1,Sydney (AUS),1986-09-25,1210,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2287.0,AUS,31,1986
18,38:08,,Francisco Javier FERNÁNDEZ,1977-03-06,ESP,1,San Sebastián (ESP),2007-08-04,1209,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2288.0,ESP,30,2007
19,38:10,,Vasiliy MIZINOV,1997-12-29,ANA,1,Voronovo (RUS),2021-05-03,1208,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2290.0,RUS,23,2021
19,38:10,,Nathan DEAKES,1977-08-17,AUS,4,Kraków (POL),2001-06-09,1208,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2290.0,POL,23,2001
19,38:10,,Luis Fernando LÓPEZ,1979-06-03,COL,5,Beijing (CHN),2010-09-18,1208,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2290.0,CHN,31,2010
22,38:11,,Valeriy BORCHIN,1986-09-11,RUS,1,Kraków (POL),2009-05-30,1207,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2291.0,POL,22,2009
23,38:12,,Hatem GHOULA,1973-06-07,TUN,,Sesto San Giovanni (ITA),2000-05-28,1206,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2292.0,ITA,26,2000
23,38:12,,Francisco Javier FERNÁNDEZ,1977-03-06,ESP,1,Madrid (ESP),2006-03-04,1206,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2292.0,ESP,29,2006
25,38:13,,Hyunsub KIM,1985-05-31,KOR,6,Beijing (CHN),2010-09-18,1206,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2293.0,CHN,25,2010
26,38:17,,Andrey RUZAVIN,1986-03-28,RUS,1,Saransk (RUS),2009-09-19,1203,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2297.0,RUS,23,2009
27,38:18,,Ding CHEN,1992-08-05,CHN,1,Wuzhong (CHN),2020-12-15,1202,10-kilometres-race-walk,race-walks,male,senior,10-kilometres-race-walk,track,2298.0,CHN,28,2020
