rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:54.29,,United States,,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1288,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,174.29,GER,,1993
2,2:54.43,,United States,,USA,1,"Stade de France, Paris (FRA)",2024-08-10,1285,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,174.43,FRA,,2024
3,2:54.53,,Botswana,,BOT,2,"Stade de France, Paris (FRA)",2024-08-10,1284,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,174.53,FRA,,2024
4,2:55.39,,United States,,USA,1,"National Stadium, Beijing (CHN)",2008-08-23,1270,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.39,CHN,,2008
5,2:55.56,,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-02,1267,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.56,JPN,,2007
6,2:55.70,,United States,,USA,1,"National Stadium, Tokyo (JPN)",2021-08-07,1265,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.7,JPN,,2021
7,2:55.74,,United States,,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-08,1264,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.74,ESP,,1992
8,2:55.83,,Great Britain & NI,,GBR,3,"Stade de France, Paris (FRA)",2024-08-10,1263,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.82999999999998,FRA,,2024
9,2:55.91,,United States,,USA,1,"Olympic Stadium, Athina (GRE)",2004-08-28,1262,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.91,GRE,,2004
10,2:55.99,,United States,,USA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,1260,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,175.99,USA,,1996
11,2:56.16,,United States,,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-20,1258,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.16,MEX,,1968
11,2:56.16,,United States,,USA,1,"Olympic Stadium, Seoul (KOR)",1988-10-01,1258,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.16,KOR,,1988
13,2:56.17,,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1257,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.17000000000002,USA,,2022
14,2:56.60,,Great Britain & NI,,GBR,2,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,1251,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.6,USA,,1996
15,2:56.65,,Great Britain & NI,,GBR,1,"Olympic Stadium, Athina (GRE)",1997-08-10,1250,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.65,GRE,,1997
16,2:56.69,,United States,,USA,1,"Khalifa International Stadium, Doha (QAT)",2019-10-06,1249,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.69,QAT,,2019
17,2:56.72,,Bahamas,,BAH,1,"Olympic Stadium, London (GBR)",2012-08-10,1249,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.72,GBR,,2012
18,2:56.75,,Jamaica,,JAM,2,"Olympic Stadium, Athina (GRE)",1997-08-10,1248,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.75,GRE,,1997
19,2:56.91,,United States,,USA,1,"Olympiastadion, Helsinki (FIN)",2005-08-14,1246,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,176.91,FIN,,2005
20,2:57.05,,United States,,USA,2,"Olympic Stadium, London (GBR)",2012-08-10,1243,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.05,GBR,,2012
21,2:57.18,,Netherlands,,NED,2,"National Stadium, Tokyo (JPN)",2021-08-07,1241,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.18,JPN,,2021
22,2:57.25,,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1240,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.25,BAH,,2014
23,2:57.27,,Botswana,,BOT,3,"National Stadium, Tokyo (JPN)",2021-08-07,1240,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.27,JPN,,2021
24,2:57.29,,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-06,1240,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.29,ITA,,1987
25,2:57.30,,United States,,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1240,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.3,BRA,,2016
26,2:57.31,,United States,,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1239,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.31,HUN,,2023
27,2:57.32,,Bahamas,,BAH,2,"Olympiastadion, Helsinki (FIN)",2005-08-14,1239,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.32,FIN,,2005
27,2:57.32,,United States,,USA,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1239,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.32,SWE,,1995
29,2:57.50,,South Africa,,RSA,1f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1236,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.5,CHN,,2025
30,2:57.53,,Great Britain & NI,,GBR,1,"National Stadium, Tokyo (JPN)",1991-09-01,1236,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.53,JPN,,1991
31,2:57.57,,United States,,USA,2,"National Stadium, Tokyo (JPN)",1991-09-01,1235,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.57,JPN,,1991
32,2:57.59,,Bahamas,,BAH,2f1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1235,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.59,BAH,,2014
33,2:57.68,,Botswana,,BOT,1h2,"National Stadium, Tokyo (JPN)",2025-09-20,1234,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.68,JPN,,2025
34,2:57.72,,Adidas,,INT,1f1,"Percy Beard Track, Gainesville, FL (USA)",2022-04-16,1233,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.72,USA,,2022
35,2:57.74,,Florida,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1233,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.74,USA,,2023
36,2:57.75,,Belgium,,BEL,4,"Stade de France, Paris (FRA)",2024-08-10,1232,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.75,FRA,,2024
37,2:57.76,,Florida,,INT,1f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,1232,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.76,USA,,2023
37,2:57.76,,Botswana,,BOT,1h1,"Stade de France, Paris (FRA)",2024-08-09,1232,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.76,FRA,,2024
39,2:57.77,,United States,,USA,1h1,"National Stadium, Tokyo (JPN)",2021-08-06,1232,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.77,JPN,,2021
40,2:57.78,,Arizona State,,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1232,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.78,USA,,2023
41,2:57.82,,United States,,USA,1,"National Stadium, Beijing (CHN)",2015-08-30,1231,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.82,CHN,,2015
42,2:57.86,,United States,,USA,1,"Olympiastadion, Berlin (GER)",2009-08-23,1231,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.86,GER,,2009
43,2:57.87,,United States,,USA,1sf2,"Olympic Stadium, Atlanta, GA (USA)",1996-08-02,1231,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.87,USA,,1996
44,2:57.88,,Belgium,,BEL,4,"National Stadium, Tokyo (JPN)",2021-08-07,1230,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.88,JPN,,2021
45,2:57.90,,Jamaica,,JAM,2,"Khalifa International Stadium, Doha (QAT)",2019-10-06,1230,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.9,QAT,,2019
46,2:57.91,,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-11,1230,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.91,USA,,1984
47,2:57.97,,Jamaica,,JAM,1,Winnipeg (CAN),1999-07-30,1229,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.97,CAN,,1999
48,2:57.98,,Belgium,,BEL,2h2,"National Stadium, Tokyo (JPN)",2025-09-20,1229,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,177.98,JPN,,2025
49,2:58.00,,Poland,,POL,1,"New York, NY (USA)",1998-07-22,1228,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.0,USA,,1998
50,2:58.01,,Alabama,,INT,2f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,1228,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.01,USA,,2023
51,2:58.03,,Bahamas,,BAH,2,"National Stadium, Beijing (CHN)",2008-08-23,1228,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.03,CHN,,2008
52,2:58.07,,Jamaica,,JAM,3,"Olympiastadion, Helsinki (FIN)",2005-08-14,1227,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.07,FIN,,2005
53,2:58.11,,Great Britain & NI,,GBR,3h2,"National Stadium, Tokyo (JPN)",2025-09-20,1227,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.11,JPN,,2025
54,2:58.12,,Trinidad and Tobago,,TTO,1,"Olympic Stadium, London (GBR)",2017-08-13,1227,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.12,GBR,,2017
54,2:58.12,,South Africa,,RSA,5,"Stade de France, Paris (FRA)",2024-08-10,1227,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.12,FRA,,2024
56,2:58.13,,United States,,USA,1h2,"National Stadium, Beijing (CHN)",2015-08-29,1226,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.13,CHN,,2015
57,2:58.16,,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1226,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.16,BRA,,2016
58,2:58.19,,Bahamas,,BAH,1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1225,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.19,CAN,,2001
58,2:58.19,,Belgium,,BEL,2f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1225,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.19,CHN,,2025
60,2:58.20,,Trinidad and Tobago,,TTO,2,"National Stadium, Beijing (CHN)",2015-08-30,1225,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.2,CHN,,2015
61,2:58.22,,Great Britain & NI,,GBR,1,"Poljud Stadion, Split (CRO)",1990-09-01,1225,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.22,CRO,,1990
62,2:58.23,,United States,,USA,1sf1,"Ullevi Stadium, Göteborg (SWE)",1995-08-12,1225,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.23,SWE,,1995
63,2:58.27,,Botswana,,BOT,3f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1224,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.27,CHN,,2025
64,2:58.29,,Jamaica,,JAM,2sf1,"Ullevi Stadium, Göteborg (SWE)",1995-08-12,1224,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.29,SWE,,1995
64,2:58.29,,Jamaica,,JAM,1h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1224,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.29,BRA,,2016
66,2:58.33,,Jamaica,,JAM,2,"New York, NY (USA)",1998-07-22,1223,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.32999999999998,USA,,1998
66,2:58.33,,Japan,,JPN,6,"Stade de France, Paris (FRA)",2024-08-10,1223,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.32999999999998,FRA,,2024
66,2:58.33,,Botswana,,BOT,2h1,"National Stadium, Tokyo (JPN)",2021-08-06,1223,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.32999999999998,JPN,,2021
69,2:58.34,,Trinidad and Tobago,,TTO,3f1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1223,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.34,BAH,,2014
70,2:58.37,,Texas A&M,,INT,1,"Hayward Field, Eugene, OR (USA)",2024-06-07,1223,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.37,USA,,2024
71,2:58.38,,United States,,USA,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1222,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.38,BRA,,2016
72,2:58.39,,Jamaica,,JAM,2,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1222,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.39,CAN,,2001
73,2:58.42,,Jamaica,,JAM,2sf2,"Olympic Stadium, Atlanta, GA (USA)",1996-08-02,1222,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.42000000000002,USA,,1996
