rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,26:24,,Rhonex KIPRUTO,1999-10-12,KEN,1,Valencia (ESP),2020-01-12,1285,10-kilometres,road-running,male,senior,10-kilometres,track,1584.0,ESP,20.0,2020
2,26:31,,Yomif KEJELCHA,1997-08-01,ETH,1,Castellón (ESP),2025-02-16,1273,10-kilometres,road-running,male,senior,10-kilometres,track,1591.0,ESP,27.0,2025
3,26:33,,Berihu AREGAWI,2001-02-28,ETH,1,Laredo (ESP),2023-03-11,1270,10-kilometres,road-running,male,senior,10-kilometres,track,1593.0,ESP,22.0,2023
4,26:37,,Yomif KEJELCHA,1997-08-01,ETH,1,Laredo (ESP),2024-03-16,1263,10-kilometres,road-running,male,senior,10-kilometres,track,1597.0,ESP,26.0,2024
5,26:38,,Joshua CHEPTEGEI,1996-09-12,UGA,1,Valencia (ESP),2019-12-01,1262,10-kilometres,road-running,male,senior,10-kilometres,track,1598.0,ESP,23.0,2019
6,26:43,,Rhonex KIPRUTO,1999-10-12,KEN,1,Herzogenaurach (GER),2021-09-12,1254,10-kilometres,road-running,male,senior,10-kilometres,track,1603.0,GER,21.0,2021
7,26:44,,Leonard Patrick KOMON,1988-01-10,KEN,1,Utrecht (NED),2010-09-26,1252,10-kilometres,road-running,male,senior,10-kilometres,track,1604.0,NED,22.0,2010
8,26:46,,Rhonex KIPRUTO,1999-10-12,KEN,1,Praha (CZE),2018-09-08,1249,10-kilometres,road-running,male,senior,10-kilometres,track,1606.0,CZE,18.0,2018
1,26:46,,Rhonex KIPRUTO,1999-10-12,KEN,1,Praha (CZE),2018-09-08,1249,10-kilometres,road-running,male,u20,10-kilometres,track,1606.0,CZE,18.0,2018
9,26:48,,Jacob KIPLIMO,2000-11-14,UGA,1,Valencia (ESP),2024-01-14,1245,10-kilometres,road-running,male,senior,10-kilometres,track,1608.0,ESP,23.0,2024
10,26:49,,Joshua CHEPTEGEI,1996-09-12,UGA,1,Cannes (FRA),2022-03-06,1244,10-kilometres,road-running,male,senior,10-kilometres,track,1609.0,FRA,25.0,2022
10,26:49,,Sabastian Kimaru SAWE,1995-03-16,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2023-04-29,1244,10-kilometres,road-running,male,senior,10-kilometres,track,1609.0,GER,28.0,2023
12,26:50,,Kibiwott KANDIE,1996-06-20,KEN,1,Herzogenaurach (GER),2022-04-30,1242,10-kilometres,road-running,male,senior,10-kilometres,track,1610.0,GER,25.0,2022
13,26:51,,Kibiwott KANDIE,1996-06-20,KEN,1,Genève (SUI),2021-10-03,1241,10-kilometres,road-running,male,senior,10-kilometres,track,1611.0,SUI,25.0,2021
13,26:51,,Nicholas KIPKORIR,1998-09-29,KEN,1,Brasov (ROU),2022-09-25,1241,10-kilometres,road-running,male,senior,10-kilometres,track,1611.0,ROU,24.0,2022
15,26:53,,Kibiwott KANDIE,1996-06-20,KEN,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2023-04-29,1237,10-kilometres,road-running,male,senior,10-kilometres,track,1613.0,GER,26.0,2023
15,26:53,,Andreas ALMGREN,1995-06-12,SWE,1,Valencia (ESP),2025-01-12,1237,10-kilometres,road-running,male,senior,10-kilometres,track,1613.0,ESP,29.0,2025
15,26:53,,Joshua CHEPTEGEI,1996-09-12,UGA,2,Laredo (ESP),2024-03-16,1237,10-kilometres,road-running,male,senior,10-kilometres,track,1613.0,ESP,27.0,2024
18,26:54,,Nicholas KIPKORIR,1998-09-29,KEN,3,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2023-04-29,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,GER,24.0,2023
18,26:54,,Sabastian Kimaru SAWE,1995-03-16,KEN,2,Herzogenaurach (GER),2022-04-30,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,GER,27.0,2022
18,26:54,,Birhanu BALEW,1996-02-27,BRN,1,Herzogenaurach (GER),2025-04-26,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,GER,29.0,2025
18,26:54,,Gemechu DIDA,1999-09-12,ETH,2,Herzogenaurach (GER),2025-04-26,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,GER,25.0,2025
18,26:54,,Rodrigue KWIZERA,1999-10-10,BDI,3,Herzogenaurach (GER),2025-04-26,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,GER,25.0,2025
18,26:54,,Dominic Lokinyomo LOBALU,1998-08-16,SUI,2,Valencia (ESP),2025-01-12,1236,10-kilometres,road-running,male,senior,10-kilometres,track,1614.0,ESP,26.0,2025
24,26:55,,Weldon LANGAT,1998-02-24,KEN,2,Brasov (ROU),2022-09-25,1234,10-kilometres,road-running,male,senior,10-kilometres,track,1615.0,ROU,24.0,2022
24,26:55,,Vincent Kibet LANGAT,2001-02-06,KEN,3,Valencia (ESP),2025-01-12,1234,10-kilometres,road-running,male,senior,10-kilometres,track,1615.0,ESP,23.0,2025
24,26:55,,Weldon LANGAT,1998-02-24,KEN,1,Valencia (ESP),2023-01-15,1234,10-kilometres,road-running,male,senior,10-kilometres,track,1615.0,ESP,24.0,2023
24,26:55,,Isaac Kibet NDIEMA,1999-02-05,KEN,3,Brasov (ROU),2022-09-25,1234,10-kilometres,road-running,male,senior,10-kilometres,track,1615.0,ROU,23.0,2022
2,26:56,,Tadese WORKU,2002-01-20,ETH,2,Herzogenaurach (GER),2021-09-12,1233,10-kilometres,road-running,male,u20,10-kilometres,track,1616.0,GER,19.0,2021
28,26:56,,Tadese WORKU,2002-01-20,ETH,2,Herzogenaurach (GER),2021-09-12,1233,10-kilometres,road-running,male,senior,10-kilometres,track,1616.0,GER,19.0,2021
28,26:56,,Nicholas KIPKORIR,1998-09-29,KEN,4,Herzogenaurach (GER),2025-04-26,1233,10-kilometres,road-running,male,senior,10-kilometres,track,1616.0,GER,26.0,2025
28,26:56,,Rodrigue KWIZERA,1999-10-10,BDI,3,Herzogenaurach (GER),2022-04-30,1233,10-kilometres,road-running,male,senior,10-kilometres,track,1616.0,GER,22.0,2022
31,26:57,,Felix KIPKOECH,1998-02-01,KEN,2,Genève (SUI),2021-10-03,1231,10-kilometres,road-running,male,senior,10-kilometres,track,1617.0,SUI,23.0,2021
31,26:57,,Charles Kipkkurui LANGAT,1996-04-28,KEN,2,Valencia (ESP),2023-01-15,1231,10-kilometres,road-running,male,senior,10-kilometres,track,1617.0,ESP,26.0,2023
31,26:57,,Birhanu BALEW,1996-02-27,BRN,2,Valencia (ESP),2024-01-14,1231,10-kilometres,road-running,male,senior,10-kilometres,track,1617.0,ESP,27.0,2024
34,26:58,,Rhonex KIPRUTO,1999-10-12,KEN,4,Herzogenaurach (GER),2022-04-30,1229,10-kilometres,road-running,male,senior,10-kilometres,track,1618.0,GER,22.0,2022
34,26:58,,Daniel Simiu EBENYO,1995-09-18,KEN,1,Valencia (ESP),2022-01-09,1229,10-kilometres,road-running,male,senior,10-kilometres,track,1618.0,ESP,26.0,2022
34,26:58,,Kuma GIRMA,2005-11-24,ETH,2,Castellón (ESP),2025-02-16,1229,10-kilometres,road-running,male,senior,10-kilometres,track,1618.0,ESP,19.0,2025
37,26:59,,Tadese WORKU,2002-01-20,ETH,5,Herzogenaurach (GER),2022-04-30,1228,10-kilometres,road-running,male,senior,10-kilometres,track,1619.0,GER,20.0,2022
37,26:59,,Peter Mwaniki AILA,1994-06-09,KEN,3,Valencia (ESP),2024-01-14,1228,10-kilometres,road-running,male,senior,10-kilometres,track,1619.0,ESP,29.0,2024
39,27:00,,Yasin HAJI,1996-01-22,ETH,1,Lille (FRA),2022-03-20,1226,10-kilometres,road-running,male,senior,10-kilometres,track,1620.0,FRA,26.0,2022
39,27:00,,Yasin HAJI,1996-01-22,ETH,6,Herzogenaurach (GER),2022-04-30,1226,10-kilometres,road-running,male,senior,10-kilometres,track,1620.0,GER,26.0,2022
41,27:01,,Daniel KOSEN,2003-05-10,KEN,3,Valencia (ESP),2023-01-15,1225,10-kilometres,road-running,male,senior,10-kilometres,track,1621.0,ESP,19.0,2023
41,27:01,,Micah Kemboi KOGO,1986-06-30,KEN,1,Brunssum (NED),2009-03-29,1225,10-kilometres,road-running,male,senior,10-kilometres,track,1621.0,NED,22.0,2009
41,27:01,,Dennis Kibet KITIYO,1999-11-28,KEN,4,Valencia (ESP),2024-01-14,1225,10-kilometres,road-running,male,senior,10-kilometres,track,1621.0,ESP,24.0,2024
44,27:02,,Geoffrey KOECH,1993-08-28,KEN,1,Praha (CZE),2019-09-07,1223,10-kilometres,road-running,male,senior,10-kilometres,track,1622.0,CZE,26.0,2019
44,27:02,,Tadese WORKU,2002-01-20,ETH,1,Castellón (ESP),2024-02-25,1223,10-kilometres,road-running,male,senior,10-kilometres,track,1622.0,ESP,22.0,2024
44,27:02,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Doha (QAT),2002-12-13,1223,10-kilometres,road-running,male,senior,10-kilometres,track,1622.0,QAT,29.0,2002
47,27:04,,Jacob KROP,2001-06-04,KEN,5,Valencia (ESP),2023-01-15,1220,10-kilometres,road-running,male,senior,10-kilometres,track,1624.0,ESP,21.0,2023
47,27:04,,Etienne DAGUINOS,2000-02-15,FRA,1,Lille (FRA),2024-11-16,1220,10-kilometres,road-running,male,senior,10-kilometres,track,1624.0,FRA,24.0,2024
47,27:04,,Josphat Kiprono MENJO,1979-08-20,KEN,1,Barcelona (ESP),2010-04-18,1220,10-kilometres,road-running,male,senior,10-kilometres,track,1624.0,ESP,30.0,2010
47,27:04,,Rodrigue KWIZERA,1999-10-10,BDI,4,Valencia (ESP),2023-01-15,1220,10-kilometres,road-running,male,senior,10-kilometres,track,1624.0,ESP,23.0,2023
51,27:05,,Nicholas KIPKORIR,1998-09-29,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1218,10-kilometres,road-running,male,senior,10-kilometres,track,1625.0,GER,25.0,2024
51,27:05,,Brian KIBOR,2001-01-01,KEN,3,Castellón (ESP),2025-02-16,1218,10-kilometres,road-running,male,senior,10-kilometres,track,1625.0,ESP,24.0,2025
53,27:06,,Sabastian Kimaru SAWE,1995-03-16,KEN,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1217,10-kilometres,road-running,male,senior,10-kilometres,track,1626.0,GER,29.0,2024
54,27:07,,Rogers KIBET,2003-03-26,UGA,6,Valencia (ESP),2023-01-15,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,ESP,19.0,2023
54,27:07,,Micah Kemboi KOGO,1986-06-30,KEN,1,Brunssum (NED),2007-04-01,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,NED,20.0,2007
54,27:07,,Jacob KROP,2001-06-04,KEN,2,Lille (FRA),2024-03-17,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,FRA,22.0,2024
54,27:07,,Rodrigue KWIZERA,1999-10-10,BDI,3,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,GER,24.0,2024
54,27:07,,Jimmy GRESSIER,1997-05-04,FRA,1,Lille (FRA),2024-03-17,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,FRA,26.0,2024
54,27:07,,Mathew Kipkorir KIMELI,1998-01-04,KEN,2,Praha (CZE),2019-09-07,1215,10-kilometres,road-running,male,senior,10-kilometres,track,1627.0,CZE,21.0,2019
60,27:08,,Vincent KIPKORIR,2002-05-25,KEN,5,Herzogenaurach (GER),2025-04-26,1213,10-kilometres,road-running,male,senior,10-kilometres,track,1628.0,GER,22.0,2025
60,27:08,,Yemaneberhan CRIPPA,1996-10-15,ITA,4,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1213,10-kilometres,road-running,male,senior,10-kilometres,track,1628.0,GER,27.0,2024
60,27:08,,Rhonex KIPRUTO,1999-10-12,KEN,1,"New York, NY (USA)",2018-04-29,1213,10-kilometres,road-running,male,senior,10-kilometres,track,1628.0,USA,18.0,2018
3,27:08,,Rhonex KIPRUTO,1999-10-12,KEN,1,"New York, NY (USA)",2018-04-29,1213,10-kilometres,road-running,male,u20,10-kilometres,track,1628.0,USA,18.0,2018
63,27:09,,Weldon LANGAT,1998-02-24,KEN,2,Brasov (ROU),2024-09-22,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,ROU,26.0,2024
63,27:09,,Rhonex KIPRUTO,1999-10-12,KEN,4,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2023-04-29,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,GER,23.0,2023
63,27:09,,Keneth KIPROP,2005-05-13,UGA,1,Lille (FRA),2025-03-16,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,FRA,19.0,2025
63,27:09,,Kennedy KIMUTAI,1999-06-03,KEN,3,Herzogenaurach (GER),2021-09-12,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,GER,22.0,2021
63,27:09,,Hicham AMGHAR,1994-05-15,MAR,1,Brasov (ROU),2024-09-22,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,ROU,30.0,2024
63,27:09,,Peter KAMAIS,1976-11-07,KEN,1,Tilburg (NED),2009-09-06,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,NED,32.0,2009
63,27:09,,Dominic Lokinyomo LOBALU,1998-08-16,SSD,7,Valencia (ESP),2023-01-15,1212,10-kilometres,road-running,male,senior,10-kilometres,track,1629.0,ESP,24.0,2023
70,27:10,,Saymon AMANUEL,2007-05-27,ERI,2,Lille (FRA),2025-03-16,1210,10-kilometres,road-running,male,senior,10-kilometres,track,1630.0,FRA,17.0,2025
70,27:10,,Isaac KIMELI,1994-03-09,BEL,4,Valencia (ESP),2025-01-12,1210,10-kilometres,road-running,male,senior,10-kilometres,track,1630.0,ESP,30.0,2025
4,27:10,,Saymon AMANUEL,2007-05-27,ERI,2,Lille (FRA),2025-03-16,1210,10-kilometres,road-running,male,u20,10-kilometres,track,1630.0,FRA,17.0,2025
4,27:10,,Chimdessa DEBELE,2003-09-13,ETH,2,Valencia (ESP),2022-01-09,1210,10-kilometres,road-running,male,u20,10-kilometres,track,1630.0,ESP,18.0,2022
70,27:10,,Leonard Patrick KOMON,1988-01-10,KEN,1,Utrecht (NED),2009-09-27,1210,10-kilometres,road-running,male,senior,10-kilometres,track,1630.0,NED,21.0,2009
