rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,19.19,-0.3,Usain BOLT,1986-08-21,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-20,1352,200-metres,sprints,male,senior,200-metres,track,19.19,GER,23.0,2009
2,19.26,0.7,Yohan BLAKE,1989-12-26,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,1339,200-metres,sprints,male,senior,200-metres,track,19.26,BEL,21.0,2011
3,19.3,-0.9,Usain BOLT,1986-08-21,JAM,1,"National Stadium, Beijing (CHN)",2008-08-20,1338,200-metres,sprints,male,senior,200-metres,track,19.3,CHN,22.0,2008
4,19.31,0.4,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-21,1331,200-metres,sprints,male,senior,200-metres,track,19.31,USA,25.0,2022
5,19.32,0.4,Michael JOHNSON,1967-09-13,USA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-08-01,1329,200-metres,sprints,male,senior,200-metres,track,19.32,USA,28.0,1996
5,19.32,0.4,Usain BOLT,1986-08-21,JAM,1,"Olympic Stadium, London (GBR)",2012-08-09,1329,200-metres,sprints,male,senior,200-metres,track,19.32,GBR,25.0,2012
7,19.4,0.8,Usain BOLT,1986-08-21,JAM,1,"DS, Daegu (KOR)",2011-09-03,1316,200-metres,sprints,male,senior,200-metres,track,19.4,KOR,25.0,2011
8,19.44,0.4,Yohan BLAKE,1989-12-26,JAM,2,"Olympic Stadium, London (GBR)",2012-08-09,1310,200-metres,sprints,male,senior,200-metres,track,19.44,GBR,22.0,2012
9,19.46,0.8,Noah LYLES,1997-07-18,USA,1,"Stade Louis II, Monaco (MON)",2022-08-10,1306,200-metres,sprints,male,senior,200-metres,track,19.46,MON,25.0,2022
9,19.46,0.4,Letsile TEBOGO,2003-06-07,BOT,1,"Stade de France, Paris (FRA)",2024-08-08,1306,200-metres,sprints,male,senior,200-metres,track,19.46,FRA,21.0,2024
11,19.47,1.6,Noah LYLES,1997-07-18,USA,1,"Olympic Stadium, London (GBR)",2023-07-23,1305,200-metres,sprints,male,senior,200-metres,track,19.47,GBR,26.0,2023
1,19.49,1.4,Erriyon KNIGHTON,2004-01-29,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1302,200-metres,sprints,male,u20,200-metres,track,19.49,USA,18.0,2022
12,19.49,1.4,Erriyon KNIGHTON,2004-01-29,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1302,200-metres,sprints,male,senior,200-metres,track,19.49,USA,18.0,2022
13,19.5,-0.1,Noah LYLES,1997-07-18,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2019-07-05,1300,200-metres,sprints,male,senior,200-metres,track,19.5,SUI,21.0,2019
13,19.5,1.6,Letsile TEBOGO,2003-06-07,BOT,2,"Olympic Stadium, London (GBR)",2023-07-23,1300,200-metres,sprints,male,senior,200-metres,track,19.5,GBR,20.0,2023
15,19.51,1.0,Noah LYLES,1997-07-18,USA,1sf3,"National Stadium, Tokyo (JPN)",2025-09-18,1298,200-metres,sprints,male,senior,200-metres,track,19.51,JPN,28.0,2025
16,19.52,0.0,Noah LYLES,1997-07-18,USA,1,"National Stadium, Tokyo (JPN)",2025-09-19,1297,200-metres,sprints,male,senior,200-metres,track,19.52,JPN,28.0,2025
16,19.52,1.5,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1297,200-metres,sprints,male,senior,200-metres,track,19.52,USA,24.0,2021
16,19.52,-0.2,Noah LYLES,1997-07-18,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1298,200-metres,sprints,male,senior,200-metres,track,19.52,HUN,26.0,2023
16,19.52,-0.6,Noah LYLES,1997-07-18,USA,1,"Letzigrund, Zürich (SUI)",2022-09-08,1300,200-metres,sprints,male,senior,200-metres,track,19.52,SUI,25.0,2022
20,19.53,0.7,Walter DIX,1986-01-31,USA,2,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,1295,200-metres,sprints,male,senior,200-metres,track,19.53,BEL,25.0,2011
20,19.53,0.5,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-29,1295,200-metres,sprints,male,senior,200-metres,track,19.53,USA,26.0,2024
22,19.54,0.0,Yohan BLAKE,1989-12-26,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,1293,200-metres,sprints,male,senior,200-metres,track,19.54,BEL,22.0,2012
23,19.55,0.4,Letsile TEBOGO,2003-06-07,BOT,1,"Letzigrund, Zürich (SUI)",2024-09-05,1292,200-metres,sprints,male,senior,200-metres,track,19.55,SUI,21.0,2024
