rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,40:59.93,,Elvira CHEPAREVA,2000-01-10,RUS,1,"Kalininets Stadium, Yekaterinburg (RUS)",2024-08-15,1231.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2459.93,RUS,24.0,2024
2,41:11.48,,Reykhan KAGRAMANOVA,1997-06-01,RUS,2,"Kalininets Stadium, Yekaterinburg (RUS)",2024-08-15,1223.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2471.48,RUS,27.0,2024
3,41:22.5h,,Elvira CHEPAREVA,2000-01-10,RUS,1,"Football and athletics Arena, Saransk (RUS) (i)",2023-09-24,1217.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2482.5,RUS,23.0,2023
4,41:37.9h,,Hongmiao GAO,1974-03-17,CHN,1,Beijing (CHN),1994-04-07,1207.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2497.9,CHN,20.0,1994
5,41:41.9h,,Reykhan KAGRAMANOVA,1997-06-01,RUS,2,"Football and athletics Arena, Saransk (RUS) (i)",2023-09-24,1205.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2501.9,RUS,26.0,2023
6,41:42.5h,,Lyudmila OLYANOVSKA,1993-02-20,UKR,1,Mukachevo (UKR),2014-11-01,1204.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2502.5,UKR,21.0,2014
7,41:45.84,,Elvira KHASANOVA,2000-01-10,RUS,1,Cheboksary (RUS),2019-08-03,1202.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2505.84,RUS,19.0,2019
1,41:45.84,,Elvira KHASANOVA,2000-01-10,RUS,1,Cheboksary (RUS),2019-08-03,1202.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2505.84,RUS,19.0,2019
8,41:56.23,,Nadezhda RYASHKINA,1967-01-22,URS,1,"Seattle, WA (USA)",1990-07-24,1196.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2516.23,USA,23.0,1990
9,41:57.22,,Kerry SAXBY,1961-06-02,AUS,2,"Seattle, WA (USA)",1990-07-24,1195.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2517.22,USA,29.0,1990
10,41:57.29,,Antonella PALMISANO,1991-08-06,ITA,1,Orvieto (ITA),2017-04-23,1195.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2517.29,ITA,25.0,2017
11,42:02.99,,Lorena ARENAS,1993-09-17,COL,1,Trujillo (PER),2018-08-25,1192.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2522.99,PER,24.0,2018
12,42:11.5h,,Beate ANDERS,1968-02-04,GER,1,Fana (NOR),1992-05-15,1186.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2531.5,NOR,24.0,1992
13,42:13.7h,,Madelein SVENSSON,1969-07-20,SWE,2,Fana (NOR),1992-05-15,1185.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2533.7,NOR,22.0,1992
14,42:14.12,,Raquel GONZÁLEZ,1989-11-16,ESP,1,Gijón (ESP),2016-07-23,1185.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2534.12,ESP,26.0,2016
15,42:22.6h,,Kerry SAXBY-JUNNA,1961-06-02,AUS,1,Fana (NOR),1993-05-08,1180.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2542.6,NOR,31.0,1993
16,42:23.37,,Júlia TAKÁCS,1989-06-29,ESP,1,Alcobendas (ESP),2014-07-26,1179.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2543.37,ESP,25.0,2014
17,42:23.7h,,Ileana SALVADOR,1962-01-16,ITA,2,Fana (NOR),1993-05-08,1179.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2543.7,NOR,31.0,1993
18,42:23.9h,,Kerry SAXBY-JUNNA,1961-06-02,AUS,3,Fana (NOR),1992-05-15,1179.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2543.9,NOR,30.0,1992
19,42:24.68,,María PÉREZ,1996-04-29,ESP,1,"Estadi Natalia Rodríguez, Tarragona (ESP)",2025-08-02,1178.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2544.68,ESP,29.0,2025
20,42:25.2h,,Kerry SAXBY,1961-06-02,AUS,1,Bergen (NOR),1990-05-26,1178.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2545.2,NOR,29.0,1990
21,42:25.77,,Lyudmila OLYANOVSKA,1993-02-20,UKR,1,"Miesto Stadionas, Alytus (LTU)",2024-09-20,1178.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2545.77,LTU,31.0,2024
22,42:26.29,,Kerry SAXBY-JUNNA,1961-06-02,AUS,1,Sydney (AUS),1993-01-10,1177.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2546.29,AUS,31.0,1993
23,42:27.5h,,Kerry SAXBY-JUNNA,1961-06-02,AUS,1,Fana (NOR),1995-05-25,1177.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2547.5,NOR,34.0,1995
24,42:29.06,,Elisa RIGAUDO,1980-06-17,ITA,1,Mondovi (ITA),2013-05-01,1176.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2549.06,ITA,32.0,2013
25,42:29.4h,,Beate ANDERS,1968-02-04,GDR,2,Bergen (NOR),1990-05-26,1176.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2549.4,NOR,22.0,1990
25,42:29.4h,,Beate ANDERS,1968-02-04,GER,1,Fana (NOR),1990-05-26,1176.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2549.4,NOR,22.0,1990
27,42:30.13,,Hongmiao GAO,1974-03-17,CHN,1,Nanjing (CHN),1995-10-24,1175.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2550.13,CHN,21.0,1995
28,42:30.31,,Olimpiada IVANOVA,1970-08-29,RUS,1,St. Petersburg (RUS),1994-07-26,1175.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2550.31,RUS,23.0,1994
29,42:32.74,,Júlia TAKÁCS,1989-06-29,ESP,1,Alcobendas (ESP),2013-07-27,1174.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2552.74,ESP,24.0,2013
30,42:34.30,,Jemima MONTAG,1998-02-15,AUS,1,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1173.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2554.3,GBR,24.0,2022
31,42:35.2h,,Jemima MONTAG,1998-02-15,AUS,1,"George Knott Track, Collingwood, Melbourne (AUS)",2021-01-31,1172.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2555.2,AUS,22.0,2021
32,42:35.69,,Beatriz PASCUAL,1982-05-09,ESP,2,Gijón (ESP),2016-07-23,1172.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2555.69,ESP,34.0,2016
33,42:37.0h,,Sari ESSAYAH,1967-02-21,FIN,3,Fana (NOR),1993-05-08,1171.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2557.0,NOR,26.0,1993
34,42:38.24,,Hongyu LIU,1975-01-11,CHN,2,Nanjing (CHN),1995-10-24,1170.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2558.24,CHN,20.0,1995
35,42:39.2h,,Ileana SALVADOR,1962-01-16,ITA,1,Roma (ITA),1989-06-17,1170.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2559.2,ITA,27.0,1989
35,42:39.2h,,Jemima MONTAG,1998-02-15,AUS,1,"AIS Athletics Track, Canberra (AUS)",2022-01-22,1170.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2559.2,AUS,23.0,2022
37,42:40.33,,Beatriz PASCUAL,1982-05-09,ESP,1,Avilés (ESP),2010-07-17,1169.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2560.33,ESP,28.0,2010
38,42:40.37,,Haixia FENG,1975-02-23,CHN,3,Nanjing (CHN),1995-10-24,1169.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2560.37,CHN,20.0,1995
39,42:40.9h,,Antonella PALMISANO,1991-08-06,ITA,1,Roma (ITA),2019-04-28,1169.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2560.9,ITA,27.0,2019
40,42:42.81,,Reykhan KAGRAMANOVA,1997-06-01,RUS,1,"Olympic Stadium, Cheboksary (RUS)",2022-08-02,1167.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2562.81,RUS,25.0,2022
41,42:43.0h,,Svetlana VASILYEVA,1992-07-24,RUS,1,Sochi (RUS),2011-02-27,1167.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2563.0,RUS,18.0,2011
2,42:43.0h,,Svetlana VASILYEVA,1992-07-24,RUS,1,Sochi (RUS),2011-02-27,1167.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2563.0,RUS,18.0,2011
42,42:43.23,,Yelena SAYKO,1967-12-24,RUS,2,St. Petersburg (RUS),1994-07-26,1167.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2563.23,RUS,26.0,1994
43,42:45.0h,,Elisabetta PERRONE,1968-07-09,ITA,1,Catania (ITA),1999-05-30,1166.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2565.0,ITA,30.0,1999
44,42:45.4h,,Sari ESSAYAH,1967-02-21,FIN,3,St. Petersburg (RUS),1994-07-26,1166.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2565.4,RUS,27.0,1994
45,42:46.70,,Yingzi CUI,1971-01-26,CHN,1,Jinan (CHN),1992-03-15,1165.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2566.7,CHN,21.0,1992
45,42:46.70,,Yueling CHEN,1968-04-01,CHN,2,Jinan (CHN),1992-03-15,1165.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2566.7,CHN,23.0,1992
47,42:47.25,,Anežka DRAHOTOVÁ,1995-07-22,CZE,1,"Hayward Field, Eugene, OR (USA)",2014-07-23,1165.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2567.25,USA,19.0,2014
3,42:47.25,,Anežka DRAHOTOVÁ,1995-07-22,CZE,1,"Hayward Field, Eugene, OR (USA)",2014-07-23,1165.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2567.25,USA,19.0,2014
48,42:47.4h,,Katarzyna RADTKE,1969-08-31,POL,4,Fana (NOR),1993-05-08,1165.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2567.4,NOR,23.0,1993
49,42:47.6h,,Chunxiu LI,1969-08-13,CHN,3,Jinan (CHN),1992-03-15,1165.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2567.6,CHN,22.0,1992
50,42:48.51,,Beate ANDERS,1968-02-04,GDR,3,"Seattle, WA (USA)",1990-07-24,1164.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2568.51,USA,22.0,1990
4,42:49.7h,,Hongmiao GAO,1974-03-17,CHN,4,Jinan (CHN),1992-03-15,1163.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2569.7,CHN,18.0,1992
51,42:49.7h,,Hongmiao GAO,1974-03-17,CHN,4,Jinan (CHN),1992-03-15,1163.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2569.7,CHN,18.0,1992
52,42:50.00,,Ping GUAN,1966-02-01,CHN,5,Jinan (CHN),1992-03-15,1163.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2570.0,CHN,26.0,1992
53,42:51.82,,Kumiko OKADA,1991-10-17,JPN,1,"Municipal Stadium, Sasebo (JPN)",2019-12-08,1162.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2571.82,JPN,28.0,2019
54,42:52.17,,Clémence BERETTA,1997-12-22,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2025-08-01,1162.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2572.17,FRA,27.0,2025
55,42:53.90,,Lihong TAN,1973-02-13,CHN,6,Jinan (CHN),1992-03-15,1161.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2573.9,CHN,19.0,1992
5,42:53.90,,Lihong TAN,1973-02-13,CHN,6,Jinan (CHN),1992-03-15,1161.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2573.9,CHN,19.0,1992
56,42:54.16,,Norica CÎMPEAN,1972-03-22,ROU,1,Bucureşti (ROU),1996-06-14,1161.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2574.16,ROU,24.0,1996
57,42:55.35,,Elisa RIGAUDO,1980-06-17,ITA,,Rieti (ITA),2015-06-13,1160.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2575.35,ITA,35.0,2015
58,42:55.38,,Yingzi CUI,1971-01-26,CHN,1,Tangshan (CHN),1991-09-27,1160.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2575.38,CHN,20.0,1991
59,42:55.49,,Annarita SIDOTI,1969-07-25,ITA,1,"Olympic Stadium, Athina (GRE)",1997-08-07,1160.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2575.49,GRE,28.0,1997
60,42:55.59,,Elvira NOVOSELTSEVA,2000-01-10,RUS,1,"Central Stadium, Kazan (RUS)",2025-08-08,1160.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2575.59,RUS,25.0,2025
61,42:55.85,,Despina ZAPOUNIDOU,1985-10-05,GRE,1,Drama (GRE),2016-04-23,1160.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2575.85,GRE,30.0,2016
6,42:56.09,,Hongmiao GAO,1974-03-17,CHN,2,Tangshan (CHN),1991-09-27,1159.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2576.09,CHN,17.0,1991
62,42:56.09,,Hongmiao GAO,1974-03-17,CHN,2,Tangshan (CHN),1991-09-27,1159.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2576.09,CHN,17.0,1991
63,42:56.74,,Viktória MADARÁSZ,1985-05-12,HUN,1,Budapest (HUN),2017-09-03,1159.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2576.74,HUN,32.0,2017
64,42:56.9h,,Rossella GIORDANO,1972-12-01,ITA,1,Castelnovo Monti (ITA),1996-03-31,1159.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2576.9,ITA,23.0,1996
65,42:56.97,,Kimberly GARCÍA LEÓN,1993-10-19,PER,2,Trujillo (PER),2018-08-25,1159.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2576.97,PER,24.0,2018
66,42:57.92,,Kerry SAXBY,1961-06-02,AUS,1,Sydney (AUS),1990-01-07,1158.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2577.92,AUS,28.0,1990
67,42:57.93,,Pauline STEY,2001-09-09,FRA,2,"Stade Pierre Paul Bernard, Talence (FRA)",2025-08-01,1158.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2577.93,FRA,23.0,2025
68,42:58.1h,,Madelein SVENSSON,1969-07-20,SWE,1,Örnsköldsvik (SWE),1992-07-04,1158.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2578.1,SWE,22.0,1992
68,42:58.1h,,Sari ESSAYAH,1967-02-21,FIN,1,Brunflo (SWE),1993-07-04,1158.0,10000-metres-race-walk,race-walks,female,senior,10000-metres-race-walk,track,2578.1,SWE,26.0,1993
7,42:59.48,,Yelena LASHMANOVA,1992-04-09,RUS,1,"Kadrioru staadion, Tallinn (EST)",2011-07-21,1157.0,10000-metres-race-walk,race-walks,female,u20,10000-metres-race-walk,track,2579.48,EST,19.0,2011
