rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,28:54.14,,Beatrice CHEBET,2000-03-05,KEN,1,"Hayward Field, Eugene, OR (USA)",2024-05-25,1309.0,10000-metres,middlelong,female,senior,10000-metres,track,1734.14,USA,24.0,2024
2,29:01.03,,Letesenbet GIDEY,1998-03-20,ETH,1,"FBK Stadium, Hengelo (NED)",2021-06-08,1303.0,10000-metres,middlelong,female,senior,10000-metres,track,1741.03,NED,23.0,2021
3,29:05.92,,Gudaf TSEGAY,1997-01-23,ETH,2,"Hayward Field, Eugene, OR (USA)",2024-05-25,1298.0,10000-metres,middlelong,female,senior,10000-metres,track,1745.92,USA,27.0,2024
4,29:06.82,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2021-06-06,1297.0,10000-metres,middlelong,female,senior,10000-metres,track,1746.82,NED,28.0,2021
5,29:17.45,,Almaz AYANA,1991-11-21,ETH,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1287.0,10000-metres,middlelong,female,senior,10000-metres,track,1757.45,BRA,24.0,2016
6,29:26.89,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,"Hayward Field, Eugene, OR (USA)",2024-05-25,1278.0,10000-metres,middlelong,female,senior,10000-metres,track,1766.89,USA,27.0,2024
7,29:27.59,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,4,"Hayward Field, Eugene, OR (USA)",2024-05-25,1278.0,10000-metres,middlelong,female,senior,10000-metres,track,1767.59,USA,31.0,2024
8,29:29.73,,Gudaf TSEGAY,1997-01-23,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1276.0,10000-metres,middlelong,female,senior,10000-metres,track,1769.73,ESP,26.0,2023
9,29:31.78,,Junxia WANG,1973-01-09,CHN,1,Beijing (CHN),1993-09-08,1274.0,10000-metres,middlelong,female,senior,10000-metres,track,1771.78,CHN,20.0,1993
10,29:32.53,,Vivian Jepkemei CHERUIYOT,1983-09-11,KEN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1273.0,10000-metres,middlelong,female,senior,10000-metres,track,1772.53,BRA,32.0,2016
11,29:36.67,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2020-10-10,1269.0,10000-metres,middlelong,female,senior,10000-metres,track,1776.67,NED,27.0,2020
12,29:37.80,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2023-06-03,1268.0,10000-metres,middlelong,female,senior,10000-metres,track,1777.8,NED,30.0,2023
13,29:39.42,,Gudaf TSEGAY,1997-01-23,ETH,1,"Estádio José Vieira de Carvalho, Maia (POR)",2021-05-08,1267.0,10000-metres,middlelong,female,senior,10000-metres,track,1779.42,POR,24.0,2021
14,29:42.56,,Tirunesh DIBABA,1985-06-01,ETH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1264.0,10000-metres,middlelong,female,senior,10000-metres,track,1782.56,BRA,31.0,2016
15,29:47.42,,Grace Loibach NAWOWUNA,2003-11-10,KEN,2,"FBK Stadium, Hengelo (NED)",2023-06-03,1259.0,10000-metres,middlelong,female,senior,10000-metres,track,1787.42,NED,19.0,2023
16,29:47.71,,Fotyen TESFAY,1998-02-17,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1259.0,10000-metres,middlelong,female,senior,10000-metres,track,1787.71,ESP,26.0,2024
17,29:48.34,,Tsigie GEBRESELAMA,2000-09-30,ETH,1f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2024-03-16,1258.0,10000-metres,middlelong,female,senior,10000-metres,track,1788.34,USA,23.0,2024
18,29:49.33,,Tsigie GEBRESELAMA,2000-09-30,ETH,2,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1257.0,10000-metres,middlelong,female,senior,10000-metres,track,1789.33,ESP,23.0,2024
19,29:50.52,,Ejgayehu TAYE,2000-02-10,ETH,3,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1256.0,10000-metres,middlelong,female,senior,10000-metres,track,1790.52,ESP,24.0,2024
20,29:50.77,,Kalkidan GEZAHEGNE,1991-05-08,BRN,2,"Estádio José Vieira de Carvalho, Maia (POR)",2021-05-08,1256.0,10000-metres,middlelong,female,senior,10000-metres,track,1790.77,POR,30.0,2021
21,29:53.51,,Alice Aprot NAWOWUNA,1994-01-02,KEN,4,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1254.0,10000-metres,middlelong,female,senior,10000-metres,track,1793.51,BRA,22.0,2016
22,29:53.80,,Meselech MELKAMU,1985-04-19,ETH,1,Utrecht (NED),2009-06-14,1253.0,10000-metres,middlelong,female,senior,10000-metres,track,1793.8,NED,24.0,2009
23,29:54.66,,Tirunesh DIBABA,1985-06-01,ETH,1,"National Stadium, Beijing (CHN)",2008-08-15,1252.0,10000-metres,middlelong,female,senior,10000-metres,track,1794.66,CHN,23.0,2008
24,29:55.32,,Sifan HASSAN,1993-01-01,NED,1,"National Stadium, Tokyo (JPN)",2021-08-07,1252.0,10000-metres,middlelong,female,senior,10000-metres,track,1795.32,JPN,28.0,2021
25,29:56.18,,Kalkidan GEZAHEGNE,1991-05-08,BRN,2,"National Stadium, Tokyo (JPN)",2021-08-07,1251.0,10000-metres,middlelong,female,senior,10000-metres,track,1796.18,JPN,30.0,2021
26,29:57.45,,Ejgayehu TAYE,2000-02-10,ETH,2,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1250.0,10000-metres,middlelong,female,senior,10000-metres,track,1797.45,ESP,23.0,2023
27,29:59.03,,Mizan ALEM,2002-01-22,ETH,1,"Parliament Hill Fields Athletics Track, London (GBR)",2023-05-20,1248.0,10000-metres,middlelong,female,senior,10000-metres,track,1799.03,GBR,21.0,2023
28,29:59.15,,Lemlem HAILU,2001-05-25,ETH,3,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1248.0,10000-metres,middlelong,female,senior,10000-metres,track,1799.15,ESP,22.0,2023
29,29:59.20,,Meseret DEFAR,1983-11-19,ETH,1,Birmingham (GBR),2009-07-11,1248.0,10000-metres,middlelong,female,senior,10000-metres,track,1799.2,GBR,25.0,2009
30,30:00.86,,Eilish MCCOLGAN,1990-11-25,GBR,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2023-03-04,1247.0,10000-metres,middlelong,female,senior,10000-metres,track,1800.86,USA,32.0,2023
31,30:01.09,,Paula RADCLIFFE,1973-12-17,GBR,1,"Olympiastadion, München (GER)",2002-08-06,1247.0,10000-metres,middlelong,female,senior,10000-metres,track,1801.09,GER,28.0,2002
32,30:01.35,,Mizan ALEM,2002-01-22,ETH,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1246.0,10000-metres,middlelong,female,senior,10000-metres,track,1801.35,ESP,21.0,2023
33,30:01.72,,Letesenbet GIDEY,1998-03-20,ETH,3,"National Stadium, Tokyo (JPN)",2021-08-07,1246.0,10000-metres,middlelong,female,senior,10000-metres,track,1801.72,JPN,23.0,2021
34,30:03.82,,Alicia MONSON,1998-05-13,USA,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2023-03-04,1244.0,10000-metres,middlelong,female,senior,10000-metres,track,1803.82,USA,24.0,2023
35,30:04.18,,Berhane ADERE,1973-11-23,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1244.0,10000-metres,middlelong,female,senior,10000-metres,track,1804.18,FRA,29.0,2003
36,30:04.45,,Tsigie GEBRESELAMA,2000-09-30,ETH,3,"FBK Stadium, Hengelo (NED)",2023-06-03,1243.0,10000-metres,middlelong,female,senior,10000-metres,track,1804.45,NED,22.0,2023
37,30:04.97,,Janeth CHEPNGETICH,1998-07-23,KEN,5,"Hayward Field, Eugene, OR (USA)",2024-05-25,1243.0,10000-metres,middlelong,female,senior,10000-metres,track,1804.97,USA,25.0,2024
38,30:06.01,,Tsigie GEBRESELAMA,2000-09-30,ETH,2,"FBK Stadium, Hengelo (NED)",2021-06-08,1242.0,10000-metres,middlelong,female,senior,10000-metres,track,1806.01,NED,20.0,2021
39,30:07.00,,Almaz AYANA,1991-11-21,ETH,1,Hengelo (NED),2016-06-29,1241.0,10000-metres,middlelong,female,senior,10000-metres,track,1807.0,NED,24.0,2016
40,30:07.15,,Werknesh KIDANE,1981-01-07,ETH,2,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1241.0,10000-metres,middlelong,female,senior,10000-metres,track,1807.15,FRA,22.0,2003
41,30:07.20,,Yingjie SUN,1979-01-19,CHN,3,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1241.0,10000-metres,middlelong,female,senior,10000-metres,track,1807.2,FRA,24.0,2003
42,30:07.42,,Catherine Reline AMANANG'OLE,2002-10-05,KEN,6,"Hayward Field, Eugene, OR (USA)",2024-05-25,1241.0,10000-metres,middlelong,female,senior,10000-metres,track,1807.42,USA,21.0,2024
43,30:07.78,,Betsy SAINA,1988-06-30,KEN,5,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1240.0,10000-metres,middlelong,female,senior,10000-metres,track,1807.78,BRA,28.0,2016
44,30:08.06,,Meseret DEFAR,1983-11-19,ETH,1,Sollentuna (SWE),2013-06-27,1240.0,10000-metres,middlelong,female,senior,10000-metres,track,1808.06,SWE,29.0,2013
45,30:09.05,,Aynadis MEBRATU,2004-11-25,ETH,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1239.0,10000-metres,middlelong,female,senior,10000-metres,track,1809.05,ESP,19.0,2024
46,30:09.94,,Letesenbet GIDEY,1998-03-20,ETH,1,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238.0,10000-metres,middlelong,female,senior,10000-metres,track,1809.94,USA,24.0,2022
47,30:10.02,,Hellen OBIRI,1989-12-13,KEN,2,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238.0,10000-metres,middlelong,female,senior,10000-metres,track,1810.02,USA,32.0,2022
48,30:10.07,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,3,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238.0,10000-metres,middlelong,female,senior,10000-metres,track,1810.07,USA,29.0,2022
49,30:10.56,,Sifan HASSAN,1993-01-01,NED,4,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238.0,10000-metres,middlelong,female,senior,10000-metres,track,1810.56,USA,29.0,2022
50,30:11.53,,Florence KIPLAGAT,1987-02-27,KEN,2,Utrecht (NED),2009-06-14,1237.0,10000-metres,middlelong,female,senior,10000-metres,track,1811.53,NED,22.0,2009
51,30:11.87,,Wude AYALEW,1987-07-04,ETH,3,Utrecht (NED),2009-06-14,1237.0,10000-metres,middlelong,female,senior,10000-metres,track,1811.87,NED,21.0,2009
52,30:12.15,,Rahel DANIEL,2001-11-16,ERI,5,"Hayward Field, Eugene, OR (USA)",2022-07-16,1236.0,10000-metres,middlelong,female,senior,10000-metres,track,1812.15,USA,20.0,2022
53,30:12.45,,Ejgayehu TAYE,2000-02-10,ETH,6,"Hayward Field, Eugene, OR (USA)",2022-07-16,1236.0,10000-metres,middlelong,female,senior,10000-metres,track,1812.45,USA,22.0,2022
54,30:12.53,,Lornah KIPLAGAT,1974-05-01,NED,4,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1236.0,10000-metres,middlelong,female,senior,10000-metres,track,1812.53,FRA,29.0,2003
