rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:23:39,,Yelena LASHMANOVA,1992-04-09,RUS,1,Cheboksary (RUS),2018-06-09,1251.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5019.0,RUS,26.0,2018
2,1:23:49,,Jiayu YANG,1996-02-18,CHN,1,Huangshan (CHN),2021-03-20,1248.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5029.0,CHN,25.0,2021
3,1:24:20,,Elvira CHEPAREVA,2000-01-10,RUS,1,"Avtodrom, Sochi (RUS)",2025-02-24,1239.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5060.0,RUS,25.0,2025
4,1:24:27,,Hong LIU,1987-05-12,CHN,2,Huangshan (CHN),2021-03-20,1236.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5067.0,CHN,33.0,2021
5,1:24:31,,Elvira CHEPAREVA,2000-01-10,RUS,1,"Avtodrom, Sochi (RUS)",2024-02-27,1235.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5071.0,RUS,24.0,2024
5,1:24:31,,Yelena LASHMANOVA,1992-04-09,RUS,1,Sochi (RUS),2019-02-18,1235.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5071.0,RUS,26.0,2019
7,1:24:38,,Hong LIU,1987-05-12,CHN,1,La Coruña (ESP),2015-06-06,1233.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5078.0,ESP,28.0,2015
8,1:24:45,,Shijie QIEYANG,1990-11-11,CHN,3,Huangshan (CHN),2021-03-20,1231.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5085.0,CHN,30.0,2021
9,1:24:47,,Reykhan KAGRAMANOVA,1997-06-01,RUS,2,"Avtodrom, Sochi (RUS)",2024-02-27,1230.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5087.0,RUS,26.0,2024
9,1:24:47,,Elmira ALEMBEKOVA,1990-06-30,RUS,1,Sochi (RUS),2015-02-27,1230.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5087.0,RUS,24.0,2015
11,1:24:49,,Reykhan KAGRAMANOVA,1997-06-01,RUS,1,Votkinsk (RUS),2025-05-25,1230.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5089.0,RUS,28.0,2025
12,1:24:50,,Olimpiada IVANOVA,1970-08-29,RUS,1,"Adler, Sochi (RUS)",2001-03-04,1229.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5090.0,RUS,30.0,2001
13,1:24:56,,Olga KANISKINA,1985-01-19,RUS,1,"Adler, Sochi (RUS)",2009-02-28,1228.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5096.0,RUS,24.0,2009
14,1:24:58,,Yelena LASHMANOVA,1992-04-09,RUS,1,Cheboksary (RUS),2016-06-25,1227.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5098.0,RUS,24.0,2016
15,1:25:03,,Marina NOVIKOVA,1989-03-01,RUS,2,Sochi (RUS),2015-02-27,1225.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5103.0,RUS,26.0,2015
16,1:25:04,,Svetlana VASILYEVA,1992-07-24,RUS,3,Sochi (RUS),2015-02-27,1225.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5104.0,RUS,22.0,2015
17,1:25:08,,Vera SOKOLOVA,1987-06-23,RUS,1,Sochi (RUS),2011-02-26,1224.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5108.0,RUS,23.0,2011
18,1:25:11,,Olga KANISKINA,1985-01-19,RUS,1,"Adler, Sochi (RUS)",2008-02-23,1223.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5111.0,RUS,23.0,2008
18,1:25:11,,Anisiya KORNIKOVA-KIRDYAPKINA,1989-10-23,RUS,1,Sochi (RUS),2010-02-20,1223.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5111.0,RUS,20.0,2010
20,1:25:12,,Xiuzhi LYU,1993-10-26,CHN,1,Beijing (CHN),2015-03-20,1223.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5112.0,CHN,21.0,2015
21,1:25:16,,Shijie QIEYANG,1990-11-11,CHN,1,"Olympic Stadium, London (GBR)",2012-08-11,1222.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5116.0,GBR,21.0,2012
22,1:25:18,,Yelena LASHMANOVA,1992-04-09,RUS,1,Sochi (RUS),2017-02-18,1221.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5118.0,RUS,24.0,2017
22,1:25:18,,Tatyana GUDKOVA,1978-01-23,RUS,1,Moskva (RUS),2000-05-19,1221.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5118.0,RUS,22.0,2000
24,1:25:20,,Olga POLYAKOVA,1980-09-23,RUS,2,Moskva (RUS),2000-05-19,1220.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5120.0,RUS,19.0,2000
25,1:25:22,,Yekaterina MEDVEDEVA,1994-03-29,RUS,2,Sochi (RUS),2017-02-18,1220.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5122.0,RUS,22.0,2017
26,1:25:26,,Vera SOKOLOVA,1987-06-23,RUS,2,"Adler, Sochi (RUS)",2009-02-28,1219.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5126.0,RUS,21.0,2009
26,1:25:26,,Anisiya KORNIKOVA-KIRDYAPKINA,1989-10-23,RUS,3,"Adler, Sochi (RUS)",2009-02-28,1219.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5126.0,RUS,19.0,2009
28,1:25:27,,Elmira ALEMBEKOVA,1990-06-30,RUS,1,Sochi (RUS),2012-02-18,1218.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5127.0,RUS,21.0,2012
29,1:25:29,,Glenda MOREJÓN,2000-05-30,ECU,1,La Coruña (ESP),2019-06-08,1218.0,20-kilometres-race-walk,race-walks,female,senior,20-kilometres-race-walk,track,5129.0,ESP,19.0,2019
