rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,5:47.42,,Beatrice CHEPKOECH,1991-07-06,KEN,1,"Sports Park Mladost, Zagreb (CRO)",2023-09-10,1242.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,347.42,CRO,32.0,2023
2,5:52.80,,Gesa Felicitas KRAUSE,1992-08-03,GER,1,"Olympiastadion, Berlin (GER)",2019-09-01,1219.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,352.8,GER,27.0,2019
3,5:52.92,,Winnie JEMUTAI,2003-10-04,KEN,2,"Sports Park Mladost, Zagreb (CRO)",2023-09-10,1219.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,352.92,CRO,19.0,2023
4,5:53.38,,Maruša MIŠMAŠ ZRIMŠEK,1994-10-24,SLO,3,"Sports Park Mladost, Zagreb (CRO)",2023-09-10,1217.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,353.38,CRO,28.0,2023
5,5:56.28,,Maruša MIŠMAŠ ZRIMŠEK,1994-10-24,SLO,1,"Stadion Park Šiška, Ljubljana (SLO)",2020-07-16,1205.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,356.28,SLO,25.0,2020
6,5:56.71,,Gesa Felicitas KRAUSE,1992-08-03,GER,1,"Olympiastadion, Berlin (GER)",2024-09-01,1203.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,356.71,GER,32.0,2024
7,5:56.79,,Luiza GEGA,1988-11-05,ALB,4,"Sports Park Mladost, Zagreb (CRO)",2023-09-10,1203.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,356.79,CRO,34.0,2023
8,5:56.83,,Winfred YAVI,1999-12-31,BRN,2,"Olympiastadion, Berlin (GER)",2019-09-01,1202.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,356.83,GER,19.0,2019
8,5:56.83,,Yekaterina IVONINA,1994-06-14,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",2023-07-08,1202.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,356.83,RUS,29.0,2023
10,5:57.76,,Lea MEYER,1997-09-16,GER,1,"Olympiastadion, Berlin (GER)",2025-07-27,1198.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,357.76,GER,27.0,2025
11,6:00.07,,Luiza GEGA,1988-11-05,ALB,3,"Olympiastadion, Berlin (GER)",2019-09-01,1189.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,360.07,GER,30.0,2019
12,6:00.50,,Olivia GÜRTH,2002-05-31,GER,2,"Olympiastadion, Berlin (GER)",2024-09-01,1187.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,360.5,GER,22.0,2024
13,6:00.81,,Aneta KONIECZEK,1997-06-08,POL,1,"Golęcin Stadion, Poznan (POL)",2024-06-23,1186.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,360.81,POL,27.0,2024
14,6:01.47,,Tatiane Raquel DA SILVA,1990-06-10,BRA,1,"Golęcin Stadion, Poznan (POL)",2023-06-18,1183.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,361.47,POL,33.0,2023
15,6:02.04,,Celestine Jepkosgei BIWOT,2003-12-24,KEN,2,"Golęcin Stadion, Poznan (POL)",2023-06-18,1181.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,362.04,POL,19.0,2023
16,6:02.16,,Virginia NYAMBURA,1993-07-20,KEN,1,"Olympiastadion, Berlin (GER)",2015-09-06,1180.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,362.16,GER,22.0,2015
17,6:02.47,,Beatrice CHEPKOECH,1991-07-06,KEN,2,"Olympiastadion, Berlin (GER)",2015-09-06,1179.0,2000-metres-steeplechase,middlelong,female,senior,2000-metres-steeplechase,track,362.47,GER,24.0,2015
