rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:02:52,,Letesenbet GIDEY,1998-03-20,ETH,1,Valencia (ESP),2021-10-24,1281.0,half-marathon,road-running,female,senior,half-marathon,track,3772.0,ESP,23.0,2021
2,1:03:04,,Agnes Jebet NGETICH,2001-01-23,KEN,1,Valencia (ESP),2024-10-27,1277.0,half-marathon,road-running,female,senior,half-marathon,track,3784.0,ESP,23.0,2024
3,1:03:08,,Agnes Jebet NGETICH,2001-01-23,KEN,1,Valencia (ESP),2025-10-26,1275.0,half-marathon,road-running,female,senior,half-marathon,track,3788.0,ESP,24.0,2025
4,1:03:21,,Fotyen TESFAY,1998-02-17,ETH,2,Valencia (ESP),2024-10-27,1270.0,half-marathon,road-running,female,senior,half-marathon,track,3801.0,ESP,26.0,2024
5,1:03:32,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,Valencia (ESP),2024-10-27,1266.0,half-marathon,road-running,female,senior,half-marathon,track,3812.0,ESP,27.0,2024
6,1:03:35,,Fotyen TESFAY,1998-02-17,ETH,1,Berlin (GER),2025-04-06,1265.0,half-marathon,road-running,female,senior,half-marathon,track,3815.0,GER,27.0,2025
7,1:03:51,,Yalemzerf YEHUALAW,1999-08-03,ETH,2,Valencia (ESP),2021-10-24,1260.0,half-marathon,road-running,female,senior,half-marathon,track,3831.0,ESP,22.0,2021
8,1:04:02,,Ruth CHEPNGETICH,1994-08-08,KEN,1,Istanbul (TUR),2021-04-04,1256.0,half-marathon,road-running,female,senior,half-marathon,track,3842.0,TUR,26.0,2021
9,1:04:13,,Joyciline JEPKOSGEI,1993-12-28,KEN,1,Barcelona (ESP),2025-02-16,1252.0,half-marathon,road-running,female,senior,half-marathon,track,3853.0,ESP,31.0,2025
10,1:04:14,,Girmawit GEBRZIHAIR,2001-11-21,ETH,1,Ras Al Khaimah (UAE),2022-02-19,1251.0,half-marathon,road-running,female,senior,half-marathon,track,3854.0,UAE,20.0,2022
10,1:04:14,,Ejgayehu TAYE,2000-02-10,ETH,4,Valencia (ESP),2024-10-27,1251.0,half-marathon,road-running,female,senior,half-marathon,track,3854.0,ESP,24.0,2024
12,1:04:21,,Tsigie GEBRESELAMA,2000-09-30,ETH,1,Lisboa (POR),2025-03-09,1249.0,half-marathon,road-running,female,senior,half-marathon,track,3861.0,POR,24.0,2025
13,1:04:22,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Larne (GBR),2022-08-28,1248.0,half-marathon,road-running,female,senior,half-marathon,track,3862.0,GBR,23.0,2022
13,1:04:22,,Hellen OBIRI,1989-12-13,KEN,2,Ras Al Khaimah (UAE),2022-02-19,1248.0,half-marathon,road-running,female,senior,half-marathon,track,3862.0,UAE,32.0,2022
15,1:04:29,,Joyciline JEPKOSGEI,1993-12-28,KEN,1,Barcelona (ESP),2024-02-11,1246.0,half-marathon,road-running,female,senior,half-marathon,track,3869.0,ESP,30.0,2024
