rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2.1,,Yaroslava MAHUCHIKH,2001-09-19,UKR,1,"Stade Charléty, Paris (FRA)",2024-07-07,1319.0,high-jump,jumps,female,senior,high-jump,field,2.1,FRA,22.0,2024
2,2.09,,Stefka KOSTADINOVA,1965-03-25,BUL,1,"Stadio Olimpico, Roma (ITA)",1987-08-30,1309.0,high-jump,jumps,female,senior,high-jump,field,2.09,ITA,22.0,1987
3,2.08,,Blanka VLAŠIĆ,1983-11-08,CRO,1,Zagreb (CRO),2009-08-31,1299.0,high-jump,jumps,female,senior,high-jump,field,2.08,CRO,25.0,2009
3,2.08,,Kajsa BERGQVIST,1976-10-12,SWE,1,Arnstadt (GER) (i),2006-02-04,1299.0,high-jump,jumps,female,senior,high-jump,field,2.08,GER,29.0,2006
3,2.08,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Sofia (BUL),1986-05-31,1299.0,high-jump,jumps,female,senior,high-jump,field,2.08,BUL,21.0,1986
6,2.07,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Sofia (BUL),1986-05-25,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,BUL,21.0,1986
6,2.07,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Cagliari (ITA),1987-09-16,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,ITA,22.0,1987
6,2.07,,Anna CHICHEROVA,1982-07-22,RUS,1,Cheboksary (RUS),2011-07-22,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,RUS,29.0,2011
6,2.07,,Heike HENKEL,1964-05-05,GER,1,Karlsruhe (GER) (i),1992-02-08,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,GER,27.0,1992
6,2.07,,Blanka VLAŠIĆ,1983-11-08,CRO,1,Stockholm (SWE),2007-08-07,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,SWE,23.0,2007
6,2.07,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Sofia (BUL),1988-09-03,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,BUL,23.0,1988
6,2.07,,Lyudmila ANDONOVA,1960-05-06,BUL,1,Berlin (GDR),1984-07-20,1289.0,high-jump,jumps,female,senior,high-jump,field,2.07,GDR,24.0,1984
13,2.06,,Mariya LASITSKENE,1993-01-14,ANA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2017-07-06,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,SUI,24.0,2017
13,2.06,,Mariya LASITSKENE,1993-01-14,ANA,1,"Mestský Stadion, Ostrava (CZE)",2019-06-20,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,CZE,26.0,2019
13,2.06,,Kajsa BERGQVIST,1976-10-12,SWE,1,Eberstadt (GER),2003-07-26,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,GER,26.0,2003
13,2.06,,Hestrie CLOETE,1978-08-26,RSA,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,FRA,25.0,2003
13,2.06,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Athina (GRE) (i),1988-02-20,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,GRE,22.0,1988
13,2.06,,Blanka VLAŠIĆ,1983-11-08,CRO,1,Arnstadt (GER) (i),2010-02-06,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,GER,26.0,2010
13,2.06,,Ariane FRIEDRICH,1984-01-10,GER,1,"Olympiastadion, Berlin (GER)",2009-06-14,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,GER,25.0,2009
13,2.06,,Stefka KOSTADINOVA,1965-03-25,BUL,1,Cagliari (ITA),1986-09-14,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,ITA,21.0,1986
13,2.06,,Anna CHICHEROVA,1982-07-22,RUS,1,Arnstadt (GER) (i),2012-02-04,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,GER,29.0,2012
13,2.06,,Blanka VLAŠIĆ,1983-11-08,CRO,1,Istanbul (TUR),2008-06-22,1279.0,high-jump,jumps,female,senior,high-jump,field,2.06,TUR,24.0,2008
