rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:09:56,,Ruth CHEPNGETICH,1994-08-08,KEN,1,"Chicago, IL (USA)",2024-10-13,1312.0,marathon,road-running,female,senior,marathon,track,7796.0,USA,30.0,2024
2,2:11:53,,Tigst ASSEFA,1996-12-03,ETH,1,Berlin (GER),2023-09-24,1292.0,marathon,road-running,female,senior,marathon,track,7913.0,GER,26.0,2023
3,2:13:44,,Sifan HASSAN,1993-01-01,NED,1,"Chicago, IL (USA)",2023-10-08,1274.0,marathon,road-running,female,senior,marathon,track,8024.0,USA,30.0,2023
4,2:14:04,,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2019-10-13,1270.0,marathon,road-running,female,senior,marathon,track,8044.0,USA,25.0,2019
5,2:14:18,,Ruth CHEPNGETICH,1994-08-08,KEN,1,"Chicago, IL (USA)",2022-10-09,1268.0,marathon,road-running,female,senior,marathon,track,8058.0,USA,28.0,2022
6,2:14:57,,Hawi FEYSA,1999-02-01,ETH,1,"Chicago, IL (USA)",2025-10-12,1262.0,marathon,road-running,female,senior,marathon,track,8097.0,USA,26.0,2025
7,2:14:58,,Amane Beriso SHANKULE,1991-10-13,ETH,1,Valencia (ESP),2022-12-04,1262.0,marathon,road-running,female,senior,marathon,track,8098.0,ESP,31.0,2022
8,2:15:25,,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2003-04-13,1257.0,marathon,road-running,female,senior,marathon,track,8125.0,GBR,29.0,2003
9,2:15:37,,Tigst ASSEFA,1996-12-03,ETH,1,Berlin (GER),2022-09-25,1255.0,marathon,road-running,female,senior,marathon,track,8137.0,GER,25.0,2022
9,2:15:37,,Ruth CHEPNGETICH,1994-08-08,KEN,2,"Chicago, IL (USA)",2023-10-08,1255.0,marathon,road-running,female,senior,marathon,track,8137.0,USA,29.0,2023
11,2:15:50,,Tigst ASSEFA,1996-12-03,ETH,1,London (GBR),2025-04-27,1253.0,marathon,road-running,female,senior,marathon,track,8150.0,GBR,28.0,2025
12,2:15:51,,Worknesh DEGEFA,1990-10-28,ETH,1,Valencia (ESP),2023-12-03,1253.0,marathon,road-running,female,senior,marathon,track,8151.0,ESP,33.0,2023
13,2:15:55,,Sutume Asefa KEBEDE,1994-12-11,ETH,1,Tokyo (JPN),2024-03-03,1252.0,marathon,road-running,female,senior,marathon,track,8155.0,JPN,29.0,2024
14,2:16:02,,Brigid KOSGEI,1994-02-20,KEN,1,Tokyo (JPN),2022-03-06,1251.0,marathon,road-running,female,senior,marathon,track,8162.0,JPN,28.0,2022
15,2:16:07,,Tigist KETEMA,1998-09-15,ETH,1,Dubai (UAE),2024-01-07,1250.0,marathon,road-running,female,senior,marathon,track,8167.0,UAE,25.0,2024
16,2:16:14,,Rosemary WANJIRU,1994-12-09,KEN,2,Tokyo (JPN),2024-03-03,1249.0,marathon,road-running,female,senior,marathon,track,8174.0,JPN,29.0,2024
17,2:16:16,,Peres JEPCHIRCHIR,1993-09-27,KEN,1,London (GBR),2024-04-21,1249.0,marathon,road-running,female,senior,marathon,track,8176.0,GBR,30.0,2024
18,2:16:22,,Almaz AYANA,1991-11-21,ETH,2,Valencia (ESP),2023-12-03,1248.0,marathon,road-running,female,senior,marathon,track,8182.0,ESP,32.0,2023
19,2:16:23,,Tigst ASSEFA,1996-12-03,ETH,2,London (GBR),2024-04-21,1248.0,marathon,road-running,female,senior,marathon,track,8183.0,GBR,27.0,2024
20,2:16:24,,Joyciline JEPKOSGEI,1993-12-28,KEN,3,London (GBR),2024-04-21,1247.0,marathon,road-running,female,senior,marathon,track,8184.0,GBR,30.0,2024
21,2:16:28,,Rosemary WANJIRU,1994-12-09,KEN,1,Tokyo (JPN),2023-03-05,1247.0,marathon,road-running,female,senior,marathon,track,8188.0,JPN,28.0,2023
22,2:16:31,,Sutume Asefa KEBEDE,1994-12-11,ETH,1,Tokyo (JPN),2025-03-02,1246.0,marathon,road-running,female,senior,marathon,track,8191.0,JPN,30.0,2025
23,2:16:34,,Megertu ALEMU,1997-10-12,ETH,4,London (GBR),2024-04-21,1246.0,marathon,road-running,female,senior,marathon,track,8194.0,GBR,26.0,2024
24,2:16:42,,Tigist KETEMA,1998-09-15,ETH,1,Berlin (GER),2024-09-29,1244.0,marathon,road-running,female,senior,marathon,track,8202.0,GER,26.0,2024
25,2:16:49,,Letesenbet GIDEY,1998-03-20,ETH,2,Valencia (ESP),2022-12-04,1243.0,marathon,road-running,female,senior,marathon,track,8209.0,ESP,24.0,2022
25,2:16:49,,Megertu ALEMU,1997-10-12,ETH,1,Valencia (ESP),2024-12-01,1243.0,marathon,road-running,female,senior,marathon,track,8209.0,ESP,27.0,2024
27,2:16:52,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Amsterdam (NED),2024-10-20,1243.0,marathon,road-running,female,senior,marathon,track,8212.0,NED,25.0,2024
28,2:16:56,,Winfridah Moraa MOSETI,1996-02-10,KEN,2,Tokyo (JPN),2025-03-02,1242.0,marathon,road-running,female,senior,marathon,track,8216.0,JPN,29.0,2025
29,2:16:58,,Amane Beriso SHANKULE,1991-10-13,ETH,3,Tokyo (JPN),2024-03-03,1242.0,marathon,road-running,female,senior,marathon,track,8218.0,JPN,32.0,2024
30,2:17:00,,Hawi FEYSA,1999-02-01,ETH,3,Tokyo (JPN),2025-03-02,1242.0,marathon,road-running,female,senior,marathon,track,8220.0,JPN,26.0,2025
31,2:17:01,,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,London (GBR),2017-04-23,1241.0,marathon,road-running,female,senior,marathon,track,8221.0,GBR,35.0,2017
32,2:17:08,,Ruth CHEPNGETICH,1994-08-08,KEN,1,Dubai (UAE),2019-01-25,1240.0,marathon,road-running,female,senior,marathon,track,8228.0,UAE,24.0,2019
33,2:17:09,,Megertu ALEMU,1997-10-12,ETH,3,"Chicago, IL (USA)",2023-10-08,1240.0,marathon,road-running,female,senior,marathon,track,8229.0,USA,26.0,2023
34,2:17:16,,Peres JEPCHIRCHIR,1993-09-27,KEN,1,Valencia (ESP),2020-12-06,1239.0,marathon,road-running,female,senior,marathon,track,8236.0,ESP,27.0,2020
35,2:17:18,,Paula RADCLIFFE,1973-12-17,GBR,1,"Chicago, IL (USA)",2002-10-13,1239.0,marathon,road-running,female,senior,marathon,track,8238.0,USA,28.0,2002
35,2:17:18,,Ruth CHEPNGETICH,1994-08-08,KEN,1,Nagoya (JPN),2022-03-13,1239.0,marathon,road-running,female,senior,marathon,track,8238.0,JPN,27.0,2022
35,2:17:18,,Megertu ALEMU,1997-10-12,ETH,2,"Chicago, IL (USA)",2025-10-12,1239.0,marathon,road-running,female,senior,marathon,track,8238.0,USA,28.0,2025
38,2:17:20,,Almaz AYANA,1991-11-21,ETH,1,Amsterdam (NED),2022-10-16,1238.0,marathon,road-running,female,senior,marathon,track,8240.0,NED,30.0,2022
39,2:17:23,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Hamburg (GER),2022-04-24,1238.0,marathon,road-running,female,senior,marathon,track,8243.0,GER,22.0,2022
39,2:17:23,,Joyciline JEPKOSGEI,1993-12-28,KEN,4,"Chicago, IL (USA)",2023-10-08,1238.0,marathon,road-running,female,senior,marathon,track,8243.0,USA,29.0,2023
41,2:17:25,,Hawi FEYSA,1999-02-01,ETH,1,Frankfurt (GER),2024-10-27,1237.0,marathon,road-running,female,senior,marathon,track,8245.0,GER,25.0,2024
42,2:17:26,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,London (GBR),2022-10-02,1237.0,marathon,road-running,female,senior,marathon,track,8246.0,GBR,23.0,2022
43,2:17:29,,Sheila CHEPKIRUI,1990-12-27,KEN,3,Valencia (ESP),2022-12-04,1237.0,marathon,road-running,female,senior,marathon,track,8249.0,ESP,31.0,2022
44,2:17:32,,Sutume Asefa KEBEDE,1994-12-11,ETH,2,"Chicago, IL (USA)",2024-10-13,1236.0,marathon,road-running,female,senior,marathon,track,8252.0,USA,29.0,2024
45,2:17:36,,Tadu TESHOME,2001-06-09,ETH,4,Valencia (ESP),2022-12-04,1236.0,marathon,road-running,female,senior,marathon,track,8256.0,ESP,21.0,2022
46,2:17:37,,Aynalem DESTA,2004-01-21,ETH,1,Amsterdam (NED),2025-10-19,1235.0,marathon,road-running,female,senior,marathon,track,8257.0,NED,21.0,2025
47,2:17:41,,Worknesh DEGEFA,1990-10-28,ETH,2,Dubai (UAE),2019-01-25,1235.0,marathon,road-running,female,senior,marathon,track,8261.0,UAE,28.0,2019
48,2:17:42,,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2005-04-17,1235.0,marathon,road-running,female,senior,marathon,track,8262.0,GBR,31.0,2005
49,2:17:43,,Joyciline JEPKOSGEI,1993-12-28,KEN,1,London (GBR),2021-10-03,1235.0,marathon,road-running,female,senior,marathon,track,8263.0,GBR,27.0,2021
50,2:17:45,,Lonah Chemtai SALPETER,1988-12-12,ISR,1,Tokyo (JPN),2020-03-01,1234.0,marathon,road-running,female,senior,marathon,track,8265.0,JPN,31.0,2020
