rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,44:04,,Benard Kibet KOECH,1999-11-25,KEN,1,Kosa (JPN),2022-12-04,1257.0,10-miles-road,road-running,male,senior,10-miles-road,track,2644.0,JPN,23.0,2022
2,44:24,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Tilburg (NED),2005-09-04,1238.0,10-miles-road,road-running,male,senior,10-miles-road,track,2664.0,NED,32.0,2005
3,44:51,,Martin Irungu MATHATHI,1985-12-25,KEN,1,Kosa (JPN),2004-12-12,1212.0,10-miles-road,road-running,male,senior,10-miles-road,track,2691.0,JPN,18.0,2004
3,44:51,,Muktar EDRIS,1994-01-14,ETH,1,Amsterdam (NED),2024-09-22,1212.0,10-miles-road,road-running,male,senior,10-miles-road,track,2691.0,NED,30.0,2024
5,44:52,,Martin Irungu MATHATHI,1985-12-25,KEN,1,Kosa (JPN),2009-12-06,1211.0,10-miles-road,road-running,male,senior,10-miles-road,track,2692.0,JPN,23.0,2009
6,44:57,,Geoffrey KAMWOROR,1992-11-22,KEN,1,Bern (SUI),2019-05-11,1207.0,10-miles-road,road-running,male,senior,10-miles-road,track,2697.0,SUI,26.0,2019
7,44:59,,Martin Irungu MATHATHI,1985-12-25,KEN,1,Kosa (JPN),2010-12-05,1205.0,10-miles-road,road-running,male,senior,10-miles-road,track,2699.0,JPN,24.0,2010
8,45:01,,Martin Irungu MATHATHI,1985-12-25,KEN,1,Kosa (JPN),2006-12-10,1203.0,10-miles-road,road-running,male,senior,10-miles-road,track,2701.0,JPN,20.0,2006
9,45:06,,Evans CHEBET,1988-11-10,KEN,1,Tilburg (NED),2017-09-03,1198.0,10-miles-road,road-running,male,senior,10-miles-road,track,2706.0,NED,28.0,2017
10,45:10,,Samuel Kamau WANJIRU,1986-11-10,KEN,1,Kosa (JPN),2005-12-11,1194.0,10-miles-road,road-running,male,senior,10-miles-road,track,2710.0,JPN,19.0,2005
11,45:12,,Bernard Kiprop KOECH,1988-01-31,KEN,1,Tilburg (NED),2014-09-07,1192.0,10-miles-road,road-running,male,senior,10-miles-road,track,2712.0,NED,26.0,2014
12,45:14,,Charles Kipkkurui LANGAT,1996-04-28,KEN,1,Amsterdam (NED),2022-09-17,1191.0,10-miles-road,road-running,male,senior,10-miles-road,track,2714.0,NED,26.0,2022
12,45:14,,Charles HICKS,2001-07-25,GBR,,"Washington, DC (USA)",2025-04-06,1191.0,10-miles-road,road-running,male,senior,10-miles-road,track,2714.0,USA,23.0,2025
14,45:15,,Gideon NGATUNYI,1986-10-10,KEN,1f1,Kosa (JPN),2008-12-07,1190.0,10-miles-road,road-running,male,senior,10-miles-road,track,2715.0,JPN,22.0,2008
14,45:15,,Allan KIPRONO,1990-02-15,KEN,1,"Washington, DC (USA)",2012-04-01,1190.0,10-miles-road,road-running,male,senior,10-miles-road,track,2715.0,USA,22.0,2012
14,45:15,,Joshua CHEPTEGEI,1996-09-12,UGA,1,Amsterdam (NED),2018-09-23,1190.0,10-miles-road,road-running,male,senior,10-miles-road,track,2715.0,NED,22.0,2018
