rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,55:21,,Zersenay TADESE,1982-01-01,ERI,,Lisboa (POR),2010-03-21,1241.0,20-kilometres,road-running,male,senior,20-kilometres,track,3321.0,POR,28.0,2010
2,55:48,,Haile GEBRSELASSIE,1973-04-18,ETH,,"Tempe, AZ (USA)",2006-01-15,1221.0,20-kilometres,road-running,male,senior,20-kilometres,track,3348.0,USA,32.0,2006
3,56:01,,Zersenay TADESE,1982-01-01,ERI,1,Debrecen (HUN),2006-10-08,1211.0,20-kilometres,road-running,male,senior,20-kilometres,track,3361.0,HUN,24.0,2006
4,56:16,,Conner MANTZ,1996-12-08,USA,1,"New Haven, CT (USA)",2025-09-01,1200.0,20-kilometres,road-running,male,senior,20-kilometres,track,3376.0,USA,28.0,2025
5,56:18,,Paul TERGAT,1969-06-17,KEN,,Milano (ITA),1998-04-04,1199.0,20-kilometres,road-running,male,senior,20-kilometres,track,3378.0,ITA,28.0,1998
6,56:32,,Hillary BOR,1989-11-22,USA,2,"New Haven, CT (USA)",2025-09-01,1189.0,20-kilometres,road-running,male,senior,20-kilometres,track,3392.0,USA,35.0,2025
7,56:34,,Isai RODRIGUEZ,1998-03-13,USA,3,"New Haven, CT (USA)",2025-09-01,1188.0,20-kilometres,road-running,male,senior,20-kilometres,track,3394.0,USA,27.0,2025
8,56:41,,Robert Kipkorir KIPCHUMBA,1984-02-24,KEN,2,Debrecen (HUN),2006-10-08,1182.0,20-kilometres,road-running,male,senior,20-kilometres,track,3401.0,HUN,22.0,2006
9,56:52,,Eshetu WENDIMU,1986-10-03,ETH,1,Alphen aan den Rijn (NED),2007-03-11,1175.0,20-kilometres,road-running,male,senior,20-kilometres,track,3412.0,NED,20.0,2007
10,57:01,,Mekubo MOGUSU,1986-12-25,KEN,1,Tachikawa (JPN),2007-10-20,1168.0,20-kilometres,road-running,male,senior,20-kilometres,track,3421.0,JPN,20.0,2007
11,57:15,,Dennis Musembi NDISO,1983-12-31,KEN,1,Alphen aan den Rijn (NED),2008-03-09,1158.0,20-kilometres,road-running,male,senior,20-kilometres,track,3435.0,NED,24.0,2008
11,57:15,,Wilson Kiprotich KEBENEI,1980-07-20,KEN,3,Debrecen (HUN),2006-10-08,1158.0,20-kilometres,road-running,male,senior,20-kilometres,track,3435.0,HUN,26.0,2006
13,57:19,,Evans Kiprop CHERUIYOT,1982-05-10,KEN,1,Paris (FRA),2005-10-16,1155.0,20-kilometres,road-running,male,senior,20-kilometres,track,3439.0,FRA,23.0,2005
14,57:20,,Patrick Mutuku IVUTI,1978-07-30,KEN,2,Alphen aan den Rijn (NED),2008-03-09,1155.0,20-kilometres,road-running,male,senior,20-kilometres,track,3440.0,NED,29.0,2008
15,57:21,,Wilson Kipkemei BUSIENEI,1981-08-18,UGA,4,Debrecen (HUN),2006-10-08,1154.0,20-kilometres,road-running,male,senior,20-kilometres,track,3441.0,HUN,25.0,2006
16,57:22,,Wifred Kipkoech TARAGON,1985-06-09,KEN,5,Debrecen (HUN),2006-10-08,1153.0,20-kilometres,road-running,male,senior,20-kilometres,track,3442.0,HUN,21.0,2006
16,57:22,,Mekubo MOGUSU,1986-12-25,KEN,1,Tachikawa (JPN),2005-10-22,1153.0,20-kilometres,road-running,male,senior,20-kilometres,track,3442.0,JPN,18.0,2005
18,57:27,,Deriba Merga EJIGU,1980-10-26,ETH,6,Debrecen (HUN),2006-10-08,1150.0,20-kilometres,road-running,male,senior,20-kilometres,track,3447.0,HUN,25.0,2006
