rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,5:10.68,,Mahiedine MEKHISSI,1985-03-15,FRA,1,Reims (FRA),2010-06-30,1248.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,310.68,FRA,25.0,2010
2,5:13.47,,Bouabdellah TAHRI,1978-12-20,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",2010-06-25,1228.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,313.47,FRA,31.0,2010
3,5:14.06,,Soufiane EL BAKKALI,1996-01-07,MAR,1,"Sports Park Mladost, Zagreb (CRO)",2022-09-11,1224.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,314.06,CRO,26.0,2022
4,5:14.43,,Julius KARIUKI,1961-06-12,KEN,1,Rovereto (ITA),1990-08-21,1221.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,314.43,ITA,29.0,1990
5,5:14.53,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,Doha (QAT),2005-05-13,1220.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,314.53,QAT,22.0,2005
6,5:15.36,,Bouabdellah TAHRI,1978-12-20,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",2009-06-26,1215.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,315.36,FRA,30.0,2009
7,5:15.96,,Bouabdellah TAHRI,1978-12-20,FRA,1,"Tomblaine, Nancy (FRA)",2002-06-19,1210.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,315.96,FRA,23.0,2002
8,5:16.22,,Philip BARKUTWO,1966-10-06,KEN,2,Rovereto (ITA),1990-08-21,1209.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,316.22,ITA,23.0,1990
9,5:16.46,,Wesley KIPROTICH,1979-08-01,KEN,2,Doha (QAT),2005-05-13,1207.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,316.46,QAT,25.0,2005
10,5:16.85,,Eliud BARNGETUNY,1973-05-20,KEN,1,Parma (ITA),1995-06-13,1204.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,316.85,ITA,22.0,1995
11,5:16.92,,Víctor RUIZ,1993-06-24,ESP,1,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",2023-06-14,1204.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,316.92,ESP,29.0,2023
12,5:17.19,,Bouabdellah TAHRI,1978-12-20,FRA,1,Strasbourg (FRA),2007-06-28,1202.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,317.19,FRA,28.0,2007
13,5:18.28,,Richard KOSGEI,1970-12-29,KEN,2,Parma (ITA),1995-06-13,1194.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.28,ITA,24.0,1995
14,5:18.36,,Alessandro LAMBRUSCHINI,1965-01-07,ITA,1,Verona (ITA),1989-09-12,1194.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.36,ITA,24.0,1989
15,5:18.38,,Azzedine BRAHMI,1966-09-13,ALG,1,Verona (ITA),1992-06-17,1193.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.38,ITA,25.0,1992
16,5:18.51,,John LANGAT,1974-11-27,KEN,1,Rovereto (ITA),2001-08-29,1192.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.51,ITA,26.0,2001
17,5:18.60,,Stanley KIBIWOTT,1969-08-08,KEN,2,Rovereto (ITA),2001-08-29,1192.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.6,ITA,32.0,2001
18,5:18.61,,John LANGAT,1974-11-27,KEN,1,Padova (ITA),2001-08-26,1192.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.61,ITA,26.0,2001
19,5:18.65,,Antonio David JIMÉNEZ,1977-02-18,ESP,1,Huelva (ESP),2005-06-07,1191.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.65,ESP,28.0,2005
20,5:18.67,,Eliud BARNGETUNY,1973-05-20,KEN,1,Rovereto (ITA),1995-08-23,1191.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.67,ITA,22.0,1995
20,5:18.67,,Benjamin KIGEN,1993-07-05,KEN,1,Andújar (ESP),2017-06-02,1191.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.67,ESP,23.0,2017
22,5:18.68,,Alessandro LAMBRUSCHINI,1965-01-07,ITA,3,Rovereto (ITA),1990-08-21,1191.0,2000-metres-steeplechase,middlelong,male,senior,2000-metres-steeplechase,track,318.68,ITA,25.0,1990
