rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:20:43,,Massimo STANO,1992-02-27,ITA,1.0,"Lázeňský Park, Poděbrady (CZE)",2025-05-18,1265.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8443.0,CZE,33.0,2025
2,2:21:31,,Vladimir KANAYKIN,1985-03-21,RUS,1.0,"Adler, Sochi (RUS)",2006-02-19,1257.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8491.0,RUS,20.0,2006
3,2:21:40,,Evan DUNFEE,1990-09-28,CAN,1.0,Dudince (SVK),2025-03-22,1255.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8500.0,SVK,34.0,2025
4,2:21:47,,Masatora KAWANO,1998-10-23,JPN,1.0,"Takahata Race Walk Course, Takahata (JPN)",2024-10-27,1254.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8507.0,JPN,26.0,2024
5,2:22:55,,Xianghong HE,1998-07-01,CHN,1.0,Huangshan (CHN),2023-03-04,1242.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8575.0,CHN,24.0,2023
6,2:22:56,,Vasiliy MIZINOV,1997-12-29,RUS,1.0,"Avtodrom, Sochi (RUS)",2025-02-24,1242.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8576.0,RUS,27.0,2025
7,2:23:13,,Tomohiro NODA,1996-01-24,JPN,1.0,"Wajima Race Walk Course, Wajima (JPN)",2023-04-16,1239.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8593.0,JPN,27.0,2023
8,2:23:14,,Massimo STANO,1992-02-27,ITA,1.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1239.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8594.0,USA,30.0,2022
9,2:23:15,,Masatora KAWANO,1998-10-23,JPN,2.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1238.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8595.0,USA,23.0,2022
10,2:23:21,,Christopher LINKE,1988-10-24,GER,2.0,"Lázeňský Park, Poděbrady (CZE)",2025-05-18,1237.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8601.0,CZE,36.0,2025
11,2:23:44,,Perseus KARLSTRÖM,1990-05-02,SWE,3.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1233.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8624.0,USA,32.0,2022
12,2:23:48,,Miguel Ángel LÓPEZ,1988-07-03,ESP,3.0,"Lázeňský Park, Poděbrady (CZE)",2025-05-18,1233.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8628.0,CZE,36.0,2025
13,2:24:19,,Sergey KOZHEVNIKOV,2001-05-09,RUS,1.0,"Avtodrom, Sochi (RUS)",2023-02-13,1227.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8659.0,RUS,21.0,2023
13,2:24:19,,Massimo STANO,1992-02-27,ITA,1.0,"St Anne's Park, Dublin (IRL)",2024-12-15,1227.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8659.0,IRL,32.0,2024
15,2:24:24,,Satoshi MARUO,1991-11-28,JPN,2.0,"Takahata Race Walk Course, Takahata (JPN)",2024-10-27,1226.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8664.0,JPN,32.0,2024
16,2:24:25,,Sergey BAKULIN,1986-11-13,RUS,1.0,"Adler, Sochi (RUS)",2009-03-01,1226.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8665.0,RUS,22.0,2009
17,2:24:30,,Álvaro MARTÍN,1994-06-18,ESP,1.0,"Hősök tere, Budapest (HUN)",2023-08-24,1225.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8670.0,HUN,29.0,2023
18,2:24:34,,Brian Daniel PINTADO,1995-07-29,ECU,2.0,"Hősök tere, Budapest (HUN)",2023-08-24,1225.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8674.0,HUN,28.0,2023
19,2:24:37,,Brian Daniel PINTADO,1995-07-29,ECU,4.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1224.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8677.0,USA,27.0,2022
20,2:24:38,,Hayato KATSUKI,1990-11-28,JPN,1.0,Nomi (JPN),2025-03-16,1224.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8678.0,JPN,34.0,2025
21,2:24:40,,Christopher LINKE,1988-10-24,GER,2.0,Dudince (SVK),2025-03-22,1224.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8680.0,SVK,36.0,2025
22,2:24:41,,José Luis DOCTOR,1996-06-14,MEX,3.0,Dudince (SVK),2025-03-22,1223.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8681.0,SVK,28.0,2025
23,2:24:45,,Xianghong HE,1998-07-01,CHN,5.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1223.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8685.0,USA,24.0,2022
24,2:24:53,,Sergey BAKULIN,1986-11-13,RUS,1.0,Sochi (RUS),2018-02-19,1221.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8693.0,RUS,31.0,2018
25,2:24:56,,Denis NIZHEGORODOV,1980-07-26,RUS,2.0,"Adler, Sochi (RUS)",2009-03-01,1221.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8696.0,RUS,28.0,2009
26,2:25:02,,Evan DUNFEE,1990-09-28,CAN,6.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1220.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8702.0,USA,31.0,2022
27,2:25:08,,Andres Eduardo OLIVAS NÚÑEZ,1998-05-27,MEX,2.0,Nomi (JPN),2025-03-16,1219.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8708.0,JPN,26.0,2025
28,2:25:12,,Masatora KAWANO,1998-10-23,JPN,3.0,"Hősök tere, Budapest (HUN)",2023-08-24,1218.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8712.0,HUN,24.0,2023
29,2:25:14,,Caio BONFIM,1991-03-19,BRA,7.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1218.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8714.0,USA,31.0,2022
30,2:25:19,,Andrey RUZAVIN,1986-03-28,RUS,3.0,"Adler, Sochi (RUS)",2009-03-01,1217.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8719.0,RUS,22.0,2009
30,2:25:19,,Satoshi MARUO,1991-11-28,JPN,2.0,Nomi (JPN),2025-03-16,1217.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8719.0,JPN,33.0,2025
32,2:25:21,,Eider ARÉVALO,1993-03-09,COL,8.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1217.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8721.0,USA,29.0,2022
32,2:25:21,,Rhydian COWLEY,1991-01-04,AUS,4.0,Nomi (JPN),2025-03-16,1217.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8721.0,JPN,34.0,2025
34,2:25:28,,Evan DUNFEE,1990-09-28,CAN,4.0,"Hősök tere, Budapest (HUN)",2023-08-24,1215.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8728.0,HUN,32.0,2023
35,2:25:29,,Tomohiro NODA,1996-01-24,JPN,9.0,"Autzen Complex, Eugene, OR (USA)",2022-07-24,1215.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8729.0,USA,26.0,2022
36,2:25:32,,Qin WANG,1994-05-08,CHN,1.0,Hefei (CHN),2025-03-29,1215.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8732.0,CHN,30.0,2025
37,2:25:35,,Álvaro MARTÍN,1994-06-18,ESP,1.0,Poděbrady (CZE),2023-05-21,1214.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8735.0,CZE,28.0,2023
37,2:25:35,,Christopher LINKE,1988-10-24,GER,5.0,"Hősök tere, Budapest (HUN)",2023-08-24,1214.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8735.0,HUN,34.0,2023
39,2:25:39,,Julio César SALAZAR,1993-07-08,MEX,4.0,Dudince (SVK),2025-03-22,1213.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8739.0,SVK,31.0,2025
40,2:25:45,,Kazuki TAKAHASHI,1996-06-17,JPN,3.0,Nomi (JPN),2025-03-16,1212.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8745.0,JPN,28.0,2025
41,2:25:49,,Satoshi MARUO,1991-11-28,JPN,2.0,"Wajima Race Walk Course, Wajima (JPN)",2023-04-16,1212.0,35-kilometres-race-walk,race-walks,male,senior,35-kilometres-race-walk,track,8749.0,JPN,31.0,2023
