rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,45.94,,Karsten WARHOLM,1996-02-28,NOR,1,"National Stadium, Tokyo (JPN)",2021-08-03,1341.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,45.94,JPN,25.0,2021
2,46.17,,Rai BENJAMIN,1997-07-27,USA,2,"National Stadium, Tokyo (JPN)",2021-08-03,1328.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.17,JPN,24.0,2021
3,46.28,,Karsten WARHOLM,1996-02-28,NOR,1,"Stadion Śląski, Chorzów (POL)",2025-08-16,1322.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.28,POL,29.0,2025
4,46.29,,Alison DOS SANTOS,2000-06-03,BRA,1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1322.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.29,USA,22.0,2022
5,46.39,,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2023-09-16,1316.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.39,USA,26.0,2023
6,46.46,,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-30,1313.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.46,USA,26.0,2024
6,46.46,,Rai BENJAMIN,1997-07-27,USA,1,"Stade de France, Paris (FRA)",2024-08-09,1313.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.46,FRA,27.0,2024
8,46.51,,Karsten WARHOLM,1996-02-28,NOR,1,"Stade Louis II, Monaco (MON)",2023-07-21,1310.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.51,MON,27.0,2023
9,46.52,,Karsten WARHOLM,1996-02-28,NOR,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1309.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.52,NOR,27.0,2023
9,46.52,,Rai BENJAMIN,1997-07-27,USA,1f1,"National Stadium, Tokyo (JPN)",2025-09-19,1309.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.52,JPN,28.0,2025
11,46.53,,Karsten WARHOLM,1996-02-28,NOR,2,"Hayward Field, Eugene, OR (USA)",2023-09-16,1309.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.53,USA,27.0,2023
12,46.54,,Rai BENJAMIN,1997-07-27,USA,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1308.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.54,SWE,27.0,2025
13,46.62,,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2023-07-09,1304.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.62,USA,25.0,2023
14,46.63,,Alison DOS SANTOS,2000-06-03,BRA,1,"Bislett Stadion, Oslo (NOR)",2024-05-30,1303.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.63,NOR,24.0,2024
15,46.64,,Rai BENJAMIN,1997-07-27,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2024-05-18,1303.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.64,USA,26.0,2024
16,46.65,,Alison DOS SANTOS,2000-06-03,BRA,1,"Hayward Field, Eugene, OR (USA)",2025-07-05,1302.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.65,USA,25.0,2025
17,46.67,,Rai BENJAMIN,1997-07-27,USA,1,"Stade Louis II, Monaco (MON)",2024-07-12,1301.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.67,MON,26.0,2024
18,46.68,,Alison DOS SANTOS,2000-06-03,BRA,2,"Olympiastadion, Stockholm (SWE)",2025-06-15,1301.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.68,SWE,25.0,2025
19,46.7,,Karsten WARHOLM,1996-02-28,NOR,1,"Letzigrund, Zürich (SUI)",2025-08-28,1300.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.7,SUI,29.0,2025
19,46.7,,Karsten WARHOLM,1996-02-28,NOR,2,"Bislett Stadion, Oslo (NOR)",2024-05-30,1300.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.7,NOR,28.0,2024
19,46.7,,Karsten WARHOLM,1996-02-28,NOR,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1300.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.7,NOR,25.0,2021
22,46.71,,Rai BENJAMIN,1997-07-27,USA,2,"Hayward Field, Eugene, OR (USA)",2025-07-05,1299.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.71,USA,27.0,2025
23,46.72,,Alison DOS SANTOS,2000-06-03,BRA,3,"National Stadium, Tokyo (JPN)",2021-08-03,1299.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.72,JPN,21.0,2021
24,46.73,,Karsten WARHOLM,1996-02-28,NOR,2,"Stade Louis II, Monaco (MON)",2024-07-12,1298.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.73,MON,28.0,2024
25,46.76,,Karsten WARHOLM,1996-02-28,NOR,1,"Friidrettsstadion, Jessheim (NOR)",2023-07-06,1297.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.76,NOR,27.0,2023
26,46.78,,Kevin YOUNG,1966-09-16,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-06,1296.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.78,ESP,25.0,1992
27,46.8,,Alison DOS SANTOS,2000-06-03,BRA,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1294.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.8,SWE,22.0,2022
28,46.83,,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1293.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.83,USA,23.0,2021
29,46.84,,Alison DOS SANTOS,2000-06-03,BRA,2f1,"National Stadium, Tokyo (JPN)",2025-09-19,1292.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.84,JPN,25.0,2025
30,46.86,,Alison DOS SANTOS,2000-06-03,BRA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2024-05-10,1291.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.86,QAT,23.0,2024
31,46.87,,Karsten WARHOLM,1996-02-28,NOR,1,"Olympiastadion, Stockholm (SWE)",2020-08-23,1291.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.87,SWE,24.0,2020
32,46.89,,Rai BENJAMIN,1997-07-27,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1290.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.89,USA,24.0,2022
32,46.89,,Karsten WARHOLM,1996-02-28,NOR,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-23,1290.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.89,HUN,27.0,2023
32,46.89,,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2025-08-03,1290.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.89,USA,28.0,2025
35,46.92,,Karsten WARHOLM,1996-02-28,NOR,1,"Letzigrund, Zürich (SUI)",2019-08-29,1288.0,400-metres-hurdles,hurdles,male,senior,400-metres-hurdles,track,46.92,SUI,23.0,2019
