rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,17:55.65,,Francesco FORTUNATO,1994-12-13,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",2025-02-22,1232.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1075.65,ITA,30.0,2025
2,18:02.38,,Gabriel BORDIER,1997-10-08,FRA,1,"Stade Jean Delbert, Montreuil (FRA)",2025-06-10,1221.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1082.38,FRA,27.0,2025
3,18:03.83,,Sergey SHIROBOKOV,1999-02-11,RUS,1,"Athletics Arena, Yaroslavl (RUS) (i)",2022-03-10,1219.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1083.83,RUS,23.0,2022
4,18:04.76,,Vasiliy MIZINOV,1997-12-29,ANA,2,"Athletics Arena, Yaroslavl (RUS) (i)",2022-03-10,1218.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1084.76,RUS,24.0,2022
5,18:05.49,,Hatem GHOULA,1973-06-07,TUN,1,Tunis (TUN),1997-05-01,1217.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1085.49,TUN,23.0,1997
6,18:07.08,,Mikhail SHCHENNIKOV,1967-12-24,RUS,1,Moskva (RUS) (i),1995-02-14,1214.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1087.08,RUS,27.0,1995
7,18:08.86,,Ivano BRUGNETTI,1976-09-01,ITA,1,Ancona (ITA) (i),2007-02-17,1212.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1088.86,ITA,30.0,2007
8,18:11.41,,Ronald WEIGEL,1959-08-08,GDR,1,Wien (AUT) (i),1988-02-13,1208.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1091.41,AUT,28.0,1988
9,18:12.52,,Declan TINGAY,1999-02-06,AUS,1,"Lakeside Stadium, Melbourne (AUS)",2023-03-05,1206.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1092.52,AUS,24.0,2023
10,18:15.25,,Grigoriy KORNEV,1961-03-14,RUS,1,Moskva (RUS) (i),1992-02-07,1202.0,5000-metres-race-walk,race-walks,male,senior,5000-metres-race-walk,track,1095.25,RUS,30.0,1992
