rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,9126,,Kevin MAYER,1992-02-10,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2018-09-16,1302.0,decathlon,combined-events,male,senior,decathlon,mixed,9126.0,FRA,26.0,2018
2,9045,,Ashton EATON,1988-01-21,USA,1,"National Stadium, Beijing (CHN)",2015-08-29,1289.0,decathlon,combined-events,male,senior,decathlon,mixed,9045.0,CHN,27.0,2015
3,9039,,Ashton EATON,1988-01-21,USA,1,"Hayward Field, Eugene, OR (USA)",2012-06-23,1288.0,decathlon,combined-events,male,senior,decathlon,mixed,9039.0,USA,24.0,2012
4,9026,,Roman ŠEBRLE,1974-11-26,CZE,1,Götzis (AUT),2001-05-27,1286.0,decathlon,combined-events,male,senior,decathlon,mixed,9026.0,AUT,26.0,2001
5,9018,,Damian WARNER,1989-11-04,CAN,1,"National Stadium, Tokyo (JPN)",2021-08-05,1285.0,decathlon,combined-events,male,senior,decathlon,mixed,9018.0,JPN,31.0,2021
6,8995,,Damian WARNER,1989-11-04,CAN,1,"Mösle-Stadium, Götzis (AUT)",2021-05-30,1281.0,decathlon,combined-events,male,senior,decathlon,mixed,8995.0,AUT,31.0,2021
7,8994,,Tomáš DVOŘÁK,1972-05-11,CZE,1,Praha (CZE),1999-07-04,1281.0,decathlon,combined-events,male,senior,decathlon,mixed,8994.0,CZE,27.0,1999
8,8961,,Leo NEUGEBAUER,2000-06-19,GER,1,"Hayward Field, Eugene, OR (USA)",2024-06-06,1276.0,decathlon,combined-events,male,senior,decathlon,mixed,8961.0,USA,23.0,2024
9,8909,,Pierce LEPAGE,1996-01-22,CAN,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1268.0,decathlon,combined-events,male,senior,decathlon,mixed,8909.0,HUN,27.0,2023
9,8909,,Sander SKOTHEIM,2002-05-31,NOR,1,"Mösle-Stadium, Götzis (AUT)",2025-06-01,1268.0,decathlon,combined-events,male,senior,decathlon,mixed,8909.0,AUT,23.0,2025
11,8902,,Tomáš DVOŘÁK,1972-05-11,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-07,1267.0,decathlon,combined-events,male,senior,decathlon,mixed,8902.0,CAN,29.0,2001
12,8900,,Tomáš DVOŘÁK,1972-05-11,CZE,1,Götzis (AUT),2000-06-04,1266.0,decathlon,combined-events,male,senior,decathlon,mixed,8900.0,AUT,28.0,2000
13,8893,,Roman ŠEBRLE,1974-11-26,CZE,1,"Olympic Stadium, Athina (GRE)",2004-08-24,1265.0,decathlon,combined-events,male,senior,decathlon,mixed,8893.0,GRE,29.0,2004
13,8893,,Ashton EATON,1988-01-21,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1265.0,decathlon,combined-events,male,senior,decathlon,mixed,8893.0,BRA,28.0,2016
15,8891,,Dan O'BRIEN,1966-07-18,USA,1,Talence (FRA),1992-09-05,1265.0,decathlon,combined-events,male,senior,decathlon,mixed,8891.0,FRA,26.0,1992
16,8869,,Kyle GARLAND,2000-05-28,USA,1,"Hayward Field, Eugene, OR (USA)",2025-08-01,1261.0,decathlon,combined-events,male,senior,decathlon,mixed,8869.0,USA,25.0,2025
16,8869,,Ashton EATON,1988-01-21,USA,1,"Olympic Stadium, London (GBR)",2012-08-09,1261.0,decathlon,combined-events,male,senior,decathlon,mixed,8869.0,GBR,24.0,2012
18,8867,,Garrett SCANTLING,1993-05-19,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",2022-05-07,1261.0,decathlon,combined-events,male,senior,decathlon,mixed,8867.0,USA,28.0,2022
19,8842,,Roman ŠEBRLE,1974-11-26,CZE,1,Götzis (AUT),2004-05-30,1257.0,decathlon,combined-events,male,senior,decathlon,mixed,8842.0,AUT,29.0,2004
20,8837,,Tomáš DVOŘÁK,1972-05-11,CZE,1,"Olympic Stadium, Athina (GRE)",1997-08-06,1256.0,decathlon,combined-events,male,senior,decathlon,mixed,8837.0,GRE,25.0,1997
21,8836,,Leo NEUGEBAUER,2000-06-19,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-08,1256.0,decathlon,combined-events,male,senior,decathlon,mixed,8836.0,USA,22.0,2023
22,8834,,Kevin MAYER,1992-02-10,FRA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1256.0,decathlon,combined-events,male,senior,decathlon,mixed,8834.0,BRA,24.0,2016
23,8832,,Bryan CLAY,1980-01-03,USA,1,"Eugene, OR (USA)",2008-06-30,1256.0,decathlon,combined-events,male,senior,decathlon,mixed,8832.0,USA,28.0,2008
24,8824,,Dan O'BRIEN,1966-07-18,USA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-08-01,1254.0,decathlon,combined-events,male,senior,decathlon,mixed,8824.0,USA,30.0,1996
25,8820,,Bryan CLAY,1980-01-03,USA,2,"Olympic Stadium, Athina (GRE)",2004-08-24,1254.0,decathlon,combined-events,male,senior,decathlon,mixed,8820.0,GRE,24.0,2004
26,8817,,Dan O'BRIEN,1966-07-18,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-20,1253.0,decathlon,combined-events,male,senior,decathlon,mixed,8817.0,GER,27.0,1993
27,8816,,Kevin MAYER,1992-02-10,FRA,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1253.0,decathlon,combined-events,male,senior,decathlon,mixed,8816.0,USA,30.0,2022
28,8815,,Erki NOOL,1970-06-25,EST,2,"Commonwealth Stadium, Edmonton (CAN)",2001-08-07,1253.0,decathlon,combined-events,male,senior,decathlon,mixed,8815.0,CAN,31.0,2001
29,8812,,Dan O'BRIEN,1966-07-18,USA,1,"National Stadium, Tokyo (JPN)",1991-08-30,1253.0,decathlon,combined-events,male,senior,decathlon,mixed,8812.0,JPN,25.0,1991
30,8811,,Daley THOMPSON,1958-07-30,GBR,1,"Neckarstadion, Stuttgart (GER)",1986-08-28,1252.0,decathlon,combined-events,male,senior,decathlon,mixed,8811.0,GER,28.0,1986
31,8809,,Ashton EATON,1988-01-21,USA,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-11,1252.0,decathlon,combined-events,male,senior,decathlon,mixed,8809.0,RUS,25.0,2013
32,8807,,Roman ŠEBRLE,1974-11-26,CZE,1,Götzis (AUT),2003-06-01,1252.0,decathlon,combined-events,male,senior,decathlon,mixed,8807.0,AUT,28.0,2003
33,8804,,Damian WARNER,1989-11-04,CAN,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1251.0,decathlon,combined-events,male,senior,decathlon,mixed,8804.0,HUN,33.0,2023
33,8804,,Leo NEUGEBAUER,2000-06-19,GER,1,"National Stadium, Tokyo (JPN)",2025-09-21,1251.0,decathlon,combined-events,male,senior,decathlon,mixed,8804.0,JPN,25.0,2025
35,8800,,Roman ŠEBRLE,1974-11-26,CZE,1,Götzis (AUT),2002-06-02,1251.0,decathlon,combined-events,male,senior,decathlon,mixed,8800.0,AUT,27.0,2002
35,8800,,Roman ŠEBRLE,1974-11-26,CZE,1,"Olympiastadion, München (GER)",2002-08-08,1251.0,decathlon,combined-events,male,senior,decathlon,mixed,8800.0,GER,27.0,2002
37,8797,,Damian WARNER,1989-11-04,CAN,1,"Mösle-Stadium, Götzis (AUT)",2022-05-29,1250.0,decathlon,combined-events,male,senior,decathlon,mixed,8797.0,AUT,32.0,2022
38,8796,,Markus ROOTH,2001-12-22,NOR,1,"Stade de France, Paris (FRA)",2024-08-03,1250.0,decathlon,combined-events,male,senior,decathlon,mixed,8796.0,FRA,22.0,2024
39,8795,,Damian WARNER,1989-11-04,CAN,1,"Mösle-Stadium, Götzis (AUT)",2018-05-27,1250.0,decathlon,combined-events,male,senior,decathlon,mixed,8795.0,AUT,28.0,2018
40,8791,,Bryan CLAY,1980-01-03,USA,1,"National Stadium, Beijing (CHN)",2008-08-22,1249.0,decathlon,combined-events,male,senior,decathlon,mixed,8791.0,CHN,28.0,2008
41,8790,,Trey HARDEE,1984-02-07,USA,1,"Olympiastadion, Berlin (GER)",2009-08-20,1249.0,decathlon,combined-events,male,senior,decathlon,mixed,8790.0,GER,25.0,2009
42,8784,,Tom PAPPAS,1976-09-06,USA,1,"Palo Alto, CA (USA)",2003-06-22,1248.0,decathlon,combined-events,male,senior,decathlon,mixed,8784.0,USA,26.0,2003
42,8784,,Ayden OWENS-DELERME,2000-05-28,PUR,2,"National Stadium, Tokyo (JPN)",2025-09-21,1248.0,decathlon,combined-events,male,senior,decathlon,mixed,8784.0,JPN,25.0,2025
44,8768,,Kevin MAYER,1992-02-10,FRA,1,"Olympic Stadium, London (GBR)",2017-08-12,1246.0,decathlon,combined-events,male,senior,decathlon,mixed,8768.0,GBR,25.0,2017
45,8764,,Johannes ERM,1998-03-26,EST,1,"Stadio Olimpico, Roma (ITA)",2024-06-11,1245.0,decathlon,combined-events,male,senior,decathlon,mixed,8764.0,ITA,26.0,2024
46,8757,,Roman ŠEBRLE,1974-11-26,CZE,2,Götzis (AUT),2000-06-04,1244.0,decathlon,combined-events,male,senior,decathlon,mixed,8757.0,AUT,25.0,2000
47,8756,,Lindon VICTOR,1993-02-28,GRN,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1244.0,decathlon,combined-events,male,senior,decathlon,mixed,8756.0,HUN,30.0,2023
48,8755,,Dan O'BRIEN,1966-07-18,USA,1,"New York, NY (USA)",1998-07-20,1244.0,decathlon,combined-events,male,senior,decathlon,mixed,8755.0,USA,32.0,1998
49,8750,,Tom PAPPAS,1976-09-06,USA,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-27,1243.0,decathlon,combined-events,male,senior,decathlon,mixed,8750.0,FRA,26.0,2003
49,8750,,Ashton EATON,1988-01-21,USA,1,"Hayward Field, Eugene, OR (USA)",2016-07-03,1243.0,decathlon,combined-events,male,senior,decathlon,mixed,8750.0,USA,28.0,2016
51,8748,,Leo NEUGEBAUER,2000-06-19,GER,2,"Stade de France, Paris (FRA)",2024-08-03,1243.0,decathlon,combined-events,male,senior,decathlon,mixed,8748.0,FRA,24.0,2024
52,8744,,Tomáš DVOŘÁK,1972-05-11,CZE,1,"La Cartuja, Sevilla (ESP)",1999-08-25,1242.0,decathlon,combined-events,male,senior,decathlon,mixed,8744.0,ESP,27.0,1999
53,8742,,Erki NOOL,1970-06-25,EST,3,Götzis (AUT),2000-06-04,1242.0,decathlon,combined-events,male,senior,decathlon,mixed,8742.0,AUT,29.0,2000
54,8738,,Tomáš DVOŘÁK,1972-05-11,CZE,1,Götzis (AUT),1999-05-30,1241.0,decathlon,combined-events,male,senior,decathlon,mixed,8738.0,AUT,27.0,1999
55,8735,,Eduard HÄMÄLÄINEN,1969-01-21,BLR,1,Götzis (AUT),1994-05-29,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8735.0,AUT,25.0,1994
56,8733,,Tomáš DVOŘÁK,1972-05-11,CZE,1,Talence (FRA),2000-07-30,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8733.0,FRA,28.0,2000
57,8732,,Bryan CLAY,1980-01-03,USA,1,"Olympiastadion, Helsinki (FIN)",2005-08-10,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8732.0,FIN,25.0,2005
57,8732,,Ayden OWENS-DELERME,2000-05-28,PUR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2024-04-18,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8732.0,USA,23.0,2024
57,8732,,Tom PAPPAS,1976-09-06,USA,2,Götzis (AUT),2004-05-30,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8732.0,AUT,27.0,2004
60,8730,,Jürgen HINGSEN,1958-04-15,FRG,2,"Neckarstadion, Stuttgart (GER)",1986-08-28,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8730.0,GER,28.0,1986
60,8730,,Eduard HÄMÄLÄINEN,1969-01-21,FIN,2,"Olympic Stadium, Athina (GRE)",1997-08-06,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8730.0,GRE,28.0,1997
62,8729,,Ashton EATON,1988-01-21,USA,1,"Hayward Field, Eugene, OR (USA)",2011-06-24,1240.0,decathlon,combined-events,male,senior,decathlon,mixed,8729.0,USA,23.0,2011
63,8726,,Dan O'BRIEN,1966-07-18,USA,1,"Atlanta, GA (USA)",1996-06-22,1239.0,decathlon,combined-events,male,senior,decathlon,mixed,8726.0,USA,29.0,1996
63,8726,,Kevin MAYER,1992-02-10,FRA,2,"National Stadium, Tokyo (JPN)",2021-08-05,1239.0,decathlon,combined-events,male,senior,decathlon,mixed,8726.0,JPN,29.0,2021
65,8725,,Dmitriy KARPOV,1981-07-23,KAZ,3,"Olympic Stadium, Athina (GRE)",2004-08-24,1239.0,decathlon,combined-events,male,senior,decathlon,mixed,8725.0,GRE,23.0,2004
65,8725,,Trey HARDEE,1984-02-07,USA,1,"Hayward Field, Eugene, OR (USA)",2015-06-26,1239.0,decathlon,combined-events,male,senior,decathlon,mixed,8725.0,USA,31.0,2015
67,8724,,Eduard HÄMÄLÄINEN,1969-01-21,BLR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-20,1239.0,decathlon,combined-events,male,senior,decathlon,mixed,8724.0,GER,24.0,1993
68,8720,,Kyle GARLAND,2000-05-28,USA,2,"John McDonnell Field, Fayetteville, AR (USA)",2022-05-07,1238.0,decathlon,combined-events,male,senior,decathlon,mixed,8720.0,USA,21.0,2022
