rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,77.5,,Mykyta NESTERENKO,1991-04-15,UKR,1,"Koncha-Zaspa, Kyiv (UKR)",2008-05-19,,discus-throw-1500kg,throws,male,u18,discus-throw,field,77.5,UKR,17.0,2008
1,75.56,,Mykolas ALEKNA,2002-09-28,LTU,1f1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-13,1347.0,discus-throw,throws,male,senior,discus-throw,field,75.56,USA,22.0,2025
2,75.36,,Mykyta NESTERENKO,1991-04-15,UKR,1,Halle (GER),2008-05-25,,discus-throw-1500kg,throws,male,u18,discus-throw,field,75.36,GER,17.0,2008
2,74.89,,Mykolas ALEKNA,2002-09-28,LTU,f1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-13,1335.0,discus-throw,throws,male,senior,discus-throw,field,74.89,USA,22.0,2025
3,74.78,,Matthew DENNY,1996-06-02,AUS,2f1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-13,1333.0,discus-throw,throws,male,senior,discus-throw,field,74.78,USA,28.0,2025
4,74.35,,Mykolas ALEKNA,2002-09-28,LTU,1,"Millican Field at Throw Town, Ramona, OK (USA)",2024-04-14,1325.0,discus-throw,throws,male,senior,discus-throw,field,74.35,USA,21.0,2024
3,74.32,,Mykyta NESTERENKO,1991-04-15,UKR,1,Antalya (TUR),2008-03-30,,discus-throw-1500kg,throws,male,u18,discus-throw,field,74.32,TUR,16.0,2008
5,74.25,,Matthew DENNY,1996-06-02,AUS,1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-10,1323.0,discus-throw,throws,male,senior,discus-throw,field,74.25,USA,28.0,2025
6,74.08,,Jürgen SCHULT,1960-05-11,GDR,1,Neubrandenburg (GDR),1986-06-06,1320.0,discus-throw,throws,male,senior,discus-throw,field,74.08,GDR,26.0,1986
7,73.88,,Virgilijus ALEKNA,1972-02-13,LTU,1,Kaunas (LTU),2000-08-03,1316.0,discus-throw,throws,male,senior,discus-throw,field,73.88,LTU,28.0,2000
8,73.38,,Gerd KANTER,1979-05-06,EST,1,Helsingborg (SWE),2006-09-04,1307.0,discus-throw,throws,male,senior,discus-throw,field,73.38,SWE,27.0,2006
4,72.76,,Mykyta NESTERENKO,1991-04-15,UKR,1,Yalta (UKR),2008-05-16,,discus-throw-1500kg,throws,male,u18,discus-throw,field,72.76,UKR,17.0,2008
9,72.36,,Kristjan ČEH,1999-02-17,SLO,1,"Športni park, Slovenska Bistrica (SLO)",2025-05-31,1288.0,discus-throw,throws,male,senior,discus-throw,field,72.36,SLO,26.0,2025
10,72.34,,Kristjan ČEH,1999-02-17,SLO,1,"Sports Park Mladost, Zagreb (CRO)",2025-05-24,1288.0,discus-throw,throws,male,senior,discus-throw,field,72.34,CRO,26.0,2025
5,72.31,,Mykyta NESTERENKO,1991-04-15,UKR,1,Beograd (SRB),2007-07-26,,discus-throw-1500kg,throws,male,u18,discus-throw,field,72.31,SRB,16.0,2007
11,72.15,,Mykolas ALEKNA,2002-09-28,LTU,1,"Palangos Stadionas, Palanga (LTU)",2025-08-02,1284.0,discus-throw,throws,male,senior,discus-throw,field,72.15,LTU,22.0,2025
12,72.12,,Mykolas ALEKNA,2002-09-28,LTU,1q1,"Cushing Stadium, College Station, TX (USA)",2025-05-30,1284.0,discus-throw,throws,male,senior,discus-throw,field,72.12,USA,22.0,2025
13,72.11,,Kristjan ČEH,1999-02-17,SLO,1,"Mestni stadion, Ptuj (SLO)",2025-05-25,1283.0,discus-throw,throws,male,senior,discus-throw,field,72.11,SLO,26.0,2025
14,72.07,,Matthew DENNY,1996-06-02,AUS,1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-06,1283.0,discus-throw,throws,male,senior,discus-throw,field,72.07,USA,28.0,2025
15,72.02,,Gerd KANTER,1979-05-06,EST,1,"Salinas, CA (USA)",2007-05-03,1282.0,discus-throw,throws,male,senior,discus-throw,field,72.02,USA,28.0,2007
16,72.01,,Ralford MULLINGS,2002-11-22,JAM,1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-08-16,1282.0,discus-throw,throws,male,senior,discus-throw,field,72.01,USA,22.0,2025
6,71.95,,Mykyta NESTERENKO,1991-04-15,UKR,1,Yalta (UKR),2007-05-19,,discus-throw-1500kg,throws,male,u18,discus-throw,field,71.95,UKR,16.0,2007
17,71.88,,Gerd KANTER,1979-05-06,EST,1f1,"Salinas, CA (USA)",2008-05-08,1279.0,discus-throw,throws,male,senior,discus-throw,field,71.88,USA,29.0,2008
18,71.86,,Yuriy DUMCHEV,1958-08-05,URS,1,Moskva (URS),1983-05-29,1279.0,discus-throw,throws,male,senior,discus-throw,field,71.86,URS,24.0,1983
