rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,56:42,,Jacob KIPLIMO,2000-11-14,UGA,1,Barcelona (ESP),2025-02-16,1323.0,half-marathon,road-running,male,senior,half-marathon,track,3402.0,ESP,24.0,2025
2,57:30,,Yomif KEJELCHA,1997-08-01,ETH,1,Valencia (ESP),2024-10-27,1289.0,half-marathon,road-running,male,senior,half-marathon,track,3450.0,ESP,27.0,2024
3,57:31,,Jacob KIPLIMO,2000-11-14,UGA,1,Lisboa (POR),2021-11-21,1288.0,half-marathon,road-running,male,senior,half-marathon,track,3451.0,POR,21.0,2021
4,57:32,,Kibiwott KANDIE,1996-06-20,KEN,1,Valencia (ESP),2020-12-06,1288.0,half-marathon,road-running,male,senior,half-marathon,track,3452.0,ESP,24.0,2020
5,57:37,,Jacob KIPLIMO,2000-11-14,UGA,2,Valencia (ESP),2020-12-06,1284.0,half-marathon,road-running,male,senior,half-marathon,track,3457.0,ESP,20.0,2020
6,57:40,,Kibiwott KANDIE,1996-06-20,KEN,1,Valencia (ESP),2023-10-22,1282.0,half-marathon,road-running,male,senior,half-marathon,track,3460.0,ESP,27.0,2023
7,57:41,,Yomif KEJELCHA,1997-08-01,ETH,2,Valencia (ESP),2023-10-22,1281.0,half-marathon,road-running,male,senior,half-marathon,track,3461.0,ESP,26.0,2023
7,57:41,,Hagos GEBRHIWET,1994-05-11,ETH,3,Valencia (ESP),2023-10-22,1281.0,half-marathon,road-running,male,senior,half-marathon,track,3461.0,ESP,29.0,2023
9,57:49,,Rhonex KIPRUTO,1999-10-12,KEN,3,Valencia (ESP),2020-12-06,1276.0,half-marathon,road-running,male,senior,half-marathon,track,3469.0,ESP,21.0,2020
10,57:50,,Selemon BAREGA,2000-01-20,ETH,4,Valencia (ESP),2023-10-22,1275.0,half-marathon,road-running,male,senior,half-marathon,track,3470.0,ESP,23.0,2023
11,57:56,,Jacob KIPLIMO,2000-11-14,UGA,1,Ras Al Khaimah (UAE),2022-02-19,1271.0,half-marathon,road-running,male,senior,half-marathon,track,3476.0,UAE,21.0,2022
12,57:59,,Alexander MUNYAO,1996-09-10,KEN,4,Valencia (ESP),2020-12-06,1269.0,half-marathon,road-running,male,senior,half-marathon,track,3479.0,ESP,24.0,2020
13,58:01,,Geoffrey KAMWOROR,1992-11-22,KEN,1,København (DEN),2019-09-15,1267.0,half-marathon,road-running,male,senior,half-marathon,track,3481.0,DEN,26.0,2019
14,58:05,,Sabastian Kimaru SAWE,1995-03-16,KEN,1,Copenhagen (DEN),2024-09-15,1265.0,half-marathon,road-running,male,senior,half-marathon,track,3485.0,DEN,29.0,2024
15,58:07,,Abel KIPCHUMBA,1994-02-03,KEN,1,Valencia (ESP),2021-10-24,1263.0,half-marathon,road-running,male,senior,half-marathon,track,3487.0,ESP,27.0,2021
16,58:09,,Jacob KIPLIMO,2000-11-14,UGA,2,Copenhagen (DEN),2024-09-15,1262.0,half-marathon,road-running,male,senior,half-marathon,track,3489.0,DEN,23.0,2024
16,58:09,,Rhonex KIPRUTO,1999-10-12,KEN,2,Valencia (ESP),2021-10-24,1262.0,half-marathon,road-running,male,senior,half-marathon,track,3489.0,ESP,22.0,2021
18,58:10,,Kibiwott KANDIE,1996-06-20,KEN,1,Valencia (ESP),2022-10-23,1261.0,half-marathon,road-running,male,senior,half-marathon,track,3490.0,ESP,26.0,2022
18,58:10,,Isaia Kipkoech LASOI,1999-10-12,KEN,3,Copenhagen (DEN),2024-09-15,1261.0,half-marathon,road-running,male,senior,half-marathon,track,3490.0,DEN,24.0,2024
20,58:11,,Philemon KIPLIMO,1998-10-10,KEN,5,Valencia (ESP),2020-12-06,1260.0,half-marathon,road-running,male,senior,half-marathon,track,3491.0,ESP,22.0,2020
21,58:17,,Daniel MATEIKO,1998-08-04,KEN,2,Valencia (ESP),2024-10-27,1256.0,half-marathon,road-running,male,senior,half-marathon,track,3497.0,ESP,26.0,2024
22,58:21,,Isaia Kipkoech LASOI,1999-10-12,KEN,3,Valencia (ESP),2024-10-27,1254.0,half-marathon,road-running,male,senior,half-marathon,track,3501.0,ESP,25.0,2024
23,58:23,,Zersenay TADESE,1982-01-01,ERI,1,Lisboa (POR),2010-03-21,1252.0,half-marathon,road-running,male,senior,half-marathon,track,3503.0,POR,28.0,2010
