rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,87.82,,Mykhaylo KOKHAN,2001-01-22,UKR,1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,87.82,HUN,17.0,2018
2,87.16,,Bence HALÁSZ,1997-08-04,HUN,1,Baku (AZE),2014-05-31,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,87.16,AZE,16.0,2014
3,86.78,,Mykhaylo KOKHAN,2001-01-22,UKR,1,Viimsi (EST),2018-05-20,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,86.78,EST,17.0,2018
1,86.74,,Yuriy SEDYKH,1955-06-11,URS,1,"Neckarstadion, Stuttgart (GER)",1986-08-30,1307.0,hammer-throw,throws,male,senior,hammer-throw,field,86.74,GER,31.0,1986
2,86.66,,Yuriy SEDYKH,1955-06-11,URS,1,Tallinn (EST),1986-06-22,1306.0,hammer-throw,throws,male,senior,hammer-throw,field,86.66,EST,31.0,1986
3,86.34,,Yuriy SEDYKH,1955-06-11,URS,1,Cork (IRL),1984-07-03,1301.0,hammer-throw,throws,male,senior,hammer-throw,field,86.34,IRL,29.0,1984
4,86.09,,Mykhaylo KOKHAN,2001-01-22,UKR,1,Halle (GER),2018-05-27,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,86.09,GER,17.0,2018
4,86.04,,Sergey LITVINOV,1958-01-23,URS,1,Dresden (GER),1986-07-03,1297.0,hammer-throw,throws,male,senior,hammer-throw,field,86.04,GER,28.0,1986
5,85.97,,Mykhaylo KOKHAN,2001-01-22,UKR,1q1,Buenos Aires (ARG),2018-10-12,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,85.97,ARG,17.0,2018
5,85.74,,Sergey LITVINOV,1958-01-23,URS,2,"Neckarstadion, Stuttgart (GER)",1986-08-30,1292.0,hammer-throw,throws,male,senior,hammer-throw,field,85.74,GER,28.0,1986
6,85.68,,Yuriy SEDYKH,1955-06-11,URS,1,Budapest (HUN),1986-08-11,1291.0,hammer-throw,throws,male,senior,hammer-throw,field,85.68,HUN,31.0,1986
7,85.6,,Yuriy SEDYKH,1955-06-11,URS,1,Moskva (URS),1984-08-17,1290.0,hammer-throw,throws,male,senior,hammer-throw,field,85.6,URS,29.0,1984
7,85.6,,Yuriy SEDYKH,1955-06-11,URS,1,London (GBR),1984-07-13,1290.0,hammer-throw,throws,male,senior,hammer-throw,field,85.6,GBR,29.0,1984
1,85.57,,Ashraf ELSEIFY,1995-02-20,QAT,1,"Estadio Olímpico, Barcelona (ESP)",2012-07-14,,hammer-throw-6kg,throws,male,u20,hammer-throw,field,85.57,ESP,17.0,2012
6,85.38,,Joaquin GOMEZ,1996-10-14,ARG,1,Buenos Aires (ARG),2013-11-30,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,85.38,ARG,17.0,2013
7,85.26,,Ashraf ELSEIFY,1995-02-20,QAT,1,Rhede (GER),2011-07-20,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,85.26,GER,16.0,2011
9,85.2,,Sergey LITVINOV,1958-01-23,URS,2,Cork (IRL),1984-07-03,1283.0,hammer-throw,throws,male,senior,hammer-throw,field,85.2,IRL,26.0,1984
8,85.14,,Mykhaylo KOKHAN,2001-01-22,UKR,1f1,Buenos Aires (ARG),2018-10-15,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,85.14,ARG,17.0,2018
10,85.14,,Yuriy SEDYKH,1955-06-11,URS,1,Moskva (URS),1988-09-04,1283.0,hammer-throw,throws,male,senior,hammer-throw,field,85.14,URS,33.0,1988
10,85.14,,Sergey LITVINOV,1958-01-23,URS,1,London (GBR),1986-07-11,1283.0,hammer-throw,throws,male,senior,hammer-throw,field,85.14,GBR,28.0,1986
12,85.02,,Yuriy SEDYKH,1955-06-11,URS,1,Budapest (HUN),1984-08-20,1281.0,hammer-throw,throws,male,senior,hammer-throw,field,85.02,HUN,29.0,1984
13,84.92,,Yuriy SEDYKH,1955-06-11,URS,2,Dresden (GER),1986-07-03,1279.0,hammer-throw,throws,male,senior,hammer-throw,field,84.92,GER,31.0,1986
9,84.91,,Hlib PISKUNOV,1998-11-25,UKR,1,"Pascual Guerrero Stadium, Cali (COL)",2015-07-17,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.91,COL,16.0,2015
14,84.9,,Vadim DEVYATOVSKIY,1977-03-20,BLR,1,Minsk (BLR),2005-07-21,1279.0,hammer-throw,throws,male,senior,hammer-throw,field,84.9,BLR,28.0,2005
15,84.88,,Sergey LITVINOV,1958-01-23,URS,1,"Stadio Olimpico, Roma (ITA)",1986-09-10,1279.0,hammer-throw,throws,male,senior,hammer-throw,field,84.88,ITA,28.0,1986
16,84.86,,Koji MUROFUSHI,1974-10-08,JPN,1,"Stadion Juliska, Praha (CZE)",2003-06-29,1278.0,hammer-throw,throws,male,senior,hammer-throw,field,84.86,CZE,28.0,2003
17,84.8,,Sergey LITVINOV,1958-01-23,URS,1,"Olympic Stadium, Seoul (KOR)",1988-09-26,1277.0,hammer-throw,throws,male,senior,hammer-throw,field,84.8,KOR,30.0,1988
2,84.73,,Mykhaylo KOKHAN,2001-01-22,UKR,1,"Ryavallen, Borås (SWE)",2019-07-19,,hammer-throw-6kg,throws,male,u20,hammer-throw,field,84.73,SWE,18.0,2019
18,84.72,,Yuriy SEDYKH,1955-06-11,URS,1,Moskva (URS),1986-07-09,1276.0,hammer-throw,throws,male,senior,hammer-throw,field,84.72,URS,31.0,1986
3,84.71,,Ashraf ELSEIFY,1995-02-20,QAT,1,"Hayward Field, Eugene, OR (USA)",2014-07-25,,hammer-throw-6kg,throws,male,u20,hammer-throw,field,84.71,USA,19.0,2014
19,84.7,,Ethan KATZBERG,2002-04-05,CAN,1,"National Stadium, Tokyo (JPN)",2025-09-16,1276.0,hammer-throw,throws,male,senior,hammer-throw,field,84.7,JPN,23.0,2025
4,84.66,,Ashraf ELSEIFY,1995-02-20,QAT,1,Rhede (GER),2014-07-11,,hammer-throw-6kg,throws,male,u20,hammer-throw,field,84.66,GER,19.0,2014
20,84.64,,Sergey LITVINOV,1958-01-23,URS,2,Moskva (URS),1986-07-09,1275.0,hammer-throw,throws,male,senior,hammer-throw,field,84.64,URS,28.0,1986
21,84.62,,Igor ASTAPKOVICH,1963-01-04,BLR,1,Sevilla (ESP),1992-06-06,1274.0,hammer-throw,throws,male,senior,hammer-throw,field,84.62,ESP,29.0,1992
22,84.6,,Yuriy SEDYKH,1955-06-11,URS,1,Tokyo (JPN),1984-09-14,1274.0,hammer-throw,throws,male,senior,hammer-throw,field,84.6,JPN,29.0,1984
23,84.58,,Yuriy SEDYKH,1955-06-11,URS,1,Leningrad (URS),1986-06-08,1274.0,hammer-throw,throws,male,senior,hammer-throw,field,84.58,URS,31.0,1986
10,84.56,,Hlib PISKUNOV,1998-11-25,UKR,1,Kyiv (UKR),2015-05-22,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.56,UKR,16.0,2015
24,84.51,,Ivan TIKHON,1976-07-24,BLR,1,Grodno (BLR),2008-07-09,1273.0,hammer-throw,throws,male,senior,hammer-throw,field,84.51,BLR,31.0,2008
25,84.48,,Igor NIKULIN,1960-08-14,URS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",1990-07-12,1272.0,hammer-throw,throws,male,senior,hammer-throw,field,84.48,SUI,29.0,1990
26,84.46,,Ivan TIKHON,1976-07-24,BLR,1,Minsk (BLR),2004-05-07,1272.0,hammer-throw,throws,male,senior,hammer-throw,field,84.46,BLR,27.0,2004
26,84.46,,Yuriy SEDYKH,1955-06-11,URS,1,Vladivostok (URS),1988-09-14,1272.0,hammer-throw,throws,male,senior,hammer-throw,field,84.46,URS,33.0,1988
11,84.43,,Bence HALÁSZ,1997-08-04,HUN,1,Szombathely (HUN),2014-04-12,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.43,HUN,16.0,2014
12,84.41,,Bence PÁSZTOR,1995-02-05,HUN,1,Trabzon (TUR),2011-07-28,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.41,TUR,16.0,2011
28,84.4,,Jüri TAMM,1957-02-05,URS,1,Banská Bystrica (TCH),1984-09-09,1271.0,hammer-throw,throws,male,senior,hammer-throw,field,84.4,TCH,27.0,1984
29,84.38,,Ethan KATZBERG,2002-04-05,CAN,1,"Nyayo National Stadium, Nairobi (KEN)",2024-04-20,1271.0,hammer-throw,throws,male,senior,hammer-throw,field,84.38,KEN,22.0,2024
30,84.36,,Sergey LITVINOV,1958-01-23,URS,2,Tallinn (EST),1986-06-22,1270.0,hammer-throw,throws,male,senior,hammer-throw,field,84.36,EST,28.0,1986
13,84.33,,Bence HALÁSZ,1997-08-04,HUN,1,Veszprém (HUN),2014-04-26,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.33,HUN,16.0,2014
31,84.32,,Ivan TIKHON,1976-07-24,BLR,1,Minsk (BLR),2003-08-08,1270.0,hammer-throw,throws,male,senior,hammer-throw,field,84.32,BLR,27.0,2003
14,84.27,,Mykhaylo KOKHAN,2001-01-22,UKR,1,Lutsk (UKR),2018-09-22,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.27,UKR,17.0,2018
32,84.26,,Yuriy SEDYKH,1955-06-11,URS,1,Nice (FRA),1986-07-15,1269.0,hammer-throw,throws,male,senior,hammer-throw,field,84.26,FRA,31.0,1986
32,84.26,,Igor ASTAPKOVICH,1963-01-04,URS,1,Reims (FRA),1991-07-03,1269.0,hammer-throw,throws,male,senior,hammer-throw,field,84.26,FRA,28.0,1991
15,84.24,,Mykhaylo KOKHAN,2001-01-22,UKR,1,Dnipro (UKR),2017-06-10,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.24,UKR,16.0,2017
5,84.22,,Christos FRANTZESKAKIS,2000-04-26,GRE,2,"Ryavallen, Borås (SWE)",2019-07-19,,hammer-throw-6kg,throws,male,u20,hammer-throw,field,84.22,SWE,19.0,2019
16,84.21,,Bence HALÁSZ,1997-08-04,HUN,1,Szombathely (HUN),2014-06-18,,hammer-throw-5kg,throws,male,u18,hammer-throw,field,84.21,HUN,16.0,2014
34,84.19,,Adrián ANNUS,1973-06-28,HUN,1,Szombathely (HUN),2003-08-10,1268.0,hammer-throw,throws,male,senior,hammer-throw,field,84.19,HUN,30.0,2003
