rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,98.48,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Jena (GER),1996-05-25,1365.0,javelin-throw,throws,male,senior,javelin-throw,field,98.48,GER,29.0,1996
2,97.76,,Johannes VETTER,1993-03-26,GER,1,"Stadion Śląski, Chorzów (POL)",2020-09-06,1355.0,javelin-throw,throws,male,senior,javelin-throw,field,97.76,POL,27.0,2020
3,96.29,,Johannes VETTER,1993-03-26,GER,1,"Stadion Śląski, Chorzów (POL)",2021-05-29,1334.0,javelin-throw,throws,male,senior,javelin-throw,field,96.29,POL,28.0,2021
4,95.66,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Sheffield (GBR),1993-08-29,1325.0,javelin-throw,throws,male,senior,javelin-throw,field,95.66,GBR,27.0,1993
5,95.54,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Pietersburg (RSA),1993-04-06,1323.0,javelin-throw,throws,male,senior,javelin-throw,field,95.54,RSA,26.0,1993
6,94.64,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Ostrava (CZE),1996-05-31,1310.0,javelin-throw,throws,male,senior,javelin-throw,field,94.64,CZE,29.0,1996
7,94.44,,Johannes VETTER,1993-03-26,GER,1,Luzern (SUI),2017-07-11,1307.0,javelin-throw,throws,male,senior,javelin-throw,field,94.44,SUI,24.0,2017
8,94.2,,Johannes VETTER,1993-03-26,GER,1,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1304.0,javelin-throw,throws,male,senior,javelin-throw,field,94.2,CZE,28.0,2021
9,94.02,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Stellenbosch (RSA),1997-03-26,1301.0,javelin-throw,throws,male,senior,javelin-throw,field,94.02,RSA,30.0,1997
10,93.9,,Thomas RÖHLER,1991-09-30,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1299.0,javelin-throw,throws,male,senior,javelin-throw,field,93.9,QAT,25.0,2017
11,93.88,,Johannes VETTER,1993-03-26,GER,1,Thum (GER),2017-08-18,1299.0,javelin-throw,throws,male,senior,javelin-throw,field,93.88,GER,24.0,2017
12,93.59,,Johannes VETTER,1993-03-26,GER,1,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",2021-06-26,1295.0,javelin-throw,throws,male,senior,javelin-throw,field,93.59,FIN,28.0,2021
13,93.2,,Johannes VETTER,1993-03-26,GER,1,"Paul-Greifzu-Stadion, Dessau (GER)",2021-05-21,1289.0,javelin-throw,throws,male,senior,javelin-throw,field,93.2,GER,28.0,2021
14,93.09,,Aki PARVIAINEN,1974-10-26,FIN,1,Kuortane (FIN),1999-06-26,1288.0,javelin-throw,throws,male,senior,javelin-throw,field,93.09,FIN,24.0,1999
15,93.07,,Anderson PETERS,1997-10-21,GRN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2022-05-13,1288.0,javelin-throw,throws,male,senior,javelin-throw,field,93.07,QAT,24.0,2022
16,93.06,,Johannes VETTER,1993-03-26,GER,,Luzern (SUI),2017-07-11,1287.0,javelin-throw,throws,male,senior,javelin-throw,field,93.06,SUI,24.0,2017
17,92.97,,Arshad NADEEM,1997-01-02,PAK,1,"Stade de France, Paris (FRA)",2024-08-08,1286.0,javelin-throw,throws,male,senior,javelin-throw,field,92.97,FRA,27.0,2024
18,92.8,,Jan ŽELEZNÝ,1966-06-16,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1284.0,javelin-throw,throws,male,senior,javelin-throw,field,92.8,CAN,35.0,2001
19,92.72,,Julius YEGO,1989-01-04,KEN,1,"National Stadium, Beijing (CHN)",2015-08-26,1283.0,javelin-throw,throws,male,senior,javelin-throw,field,92.72,CHN,26.0,2015
20,92.7,,Johannes VETTER,1993-03-26,GER,1f1,Leiria (POR),2018-03-11,1282.0,javelin-throw,throws,male,senior,javelin-throw,field,92.7,POR,24.0,2018
21,92.61,,Sergey MAKAROV,1973-03-19,RUS,1,Sheffield (GBR),2002-06-30,1281.0,javelin-throw,throws,male,senior,javelin-throw,field,92.61,GBR,29.0,2002
22,92.6,,Raymond HECHT,1968-11-11,GER,1,Oslo (NOR),1995-07-21,1281.0,javelin-throw,throws,male,senior,javelin-throw,field,92.6,NOR,26.0,1995
23,92.42,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Ostrava (CZE),1997-05-28,1278.0,javelin-throw,throws,male,senior,javelin-throw,field,92.42,CZE,30.0,1997
24,92.41,,Aki PARVIAINEN,1974-10-26,FIN,1,Vaasa (FIN),2001-06-24,1278.0,javelin-throw,throws,male,senior,javelin-throw,field,92.41,FIN,26.0,2001
25,92.28,,Jan ŽELEZNÝ,1966-06-16,CZE,1,"Stade Louis II, Monaco (MON)",1995-09-09,1276.0,javelin-throw,throws,male,senior,javelin-throw,field,92.28,MON,29.0,1995
25,92.28,,Raymond HECHT,1968-11-11,GER,1,Zürich (SUI),1996-08-14,1276.0,javelin-throw,throws,male,senior,javelin-throw,field,92.28,SUI,27.0,1996
27,92.14,,Johannes VETTER,1993-03-26,GER,1f1,"Stadion Allmend, Luzern (SUI)",2021-06-29,1274.0,javelin-throw,throws,male,senior,javelin-throw,field,92.14,SUI,28.0,2021
28,92.12,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Tokyo (JPN),1995-09-15,1274.0,javelin-throw,throws,male,senior,javelin-throw,field,92.12,JPN,29.0,1995
28,92.12,,Jan ŽELEZNÝ,1966-06-16,CZE,1,London (GBR),1995-08-27,1274.0,javelin-throw,throws,male,senior,javelin-throw,field,92.12,GBR,29.0,1995
30,92.06,,Andreas HOFMANN,1991-12-16,GER,1,Offenburg (GER),2018-06-02,1273.0,javelin-throw,throws,male,senior,javelin-throw,field,92.06,GER,26.0,2018
31,91.82,,Jan ŽELEZNÝ,1966-06-16,CZE,1,Sheffield (GBR),1994-09-04,1270.0,javelin-throw,throws,male,senior,javelin-throw,field,91.82,GBR,28.0,1994
