rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:00:35,,Kelvin KIPTUM,1999-12-02,KEN,1,"Chicago, IL (USA)",2023-10-08,1307.0,marathon,road-running,male,senior,marathon,track,7235.0,USA,23.0,2023
2,2:01:09,,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2022-09-25,1296.0,marathon,road-running,male,senior,marathon,track,7269.0,GER,37.0,2022
3,2:01:25,,Kelvin KIPTUM,1999-12-02,KEN,1,London (GBR),2023-04-23,1291.0,marathon,road-running,male,senior,marathon,track,7285.0,GBR,23.0,2023
4,2:01:39,,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2018-09-16,1286.0,marathon,road-running,male,senior,marathon,track,7299.0,GER,33.0,2018
5,2:01:41,,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2019-09-29,1286.0,marathon,road-running,male,senior,marathon,track,7301.0,GER,37.0,2019
6,2:01:48,,Sisay LEMMA,1990-12-12,ETH,1,Valencia (ESP),2023-12-03,1283.0,marathon,road-running,male,senior,marathon,track,7308.0,ESP,32.0,2023
7,2:01:53,,Kelvin KIPTUM,1999-12-02,KEN,1,Valencia (ESP),2022-12-04,1282.0,marathon,road-running,male,senior,marathon,track,7313.0,ESP,23.0,2022
8,2:02:05,,Sabastian Kimaru SAWE,1995-03-16,KEN,1,Valencia (ESP),2024-12-01,1278.0,marathon,road-running,male,senior,marathon,track,7325.0,ESP,29.0,2024
9,2:02:16,,Benson KIPRUTO,1991-03-17,KEN,1,Tokyo (JPN),2024-03-03,1274.0,marathon,road-running,male,senior,marathon,track,7336.0,JPN,32.0,2024
9,2:02:16,,Sabastian Kimaru SAWE,1995-03-16,KEN,1,Berlin (GER),2025-09-21,1274.0,marathon,road-running,male,senior,marathon,track,7336.0,GER,30.0,2025
11,2:02:27,,Sabastian Kimaru SAWE,1995-03-16,KEN,1,London (GBR),2025-04-27,1271.0,marathon,road-running,male,senior,marathon,track,7347.0,GBR,30.0,2025
12,2:02:37,,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2019-04-28,1268.0,marathon,road-running,male,senior,marathon,track,7357.0,GBR,34.0,2019
13,2:02:38,,Deresa GELETA,1996-01-14,ETH,2,Valencia (ESP),2024-12-01,1267.0,marathon,road-running,male,senior,marathon,track,7358.0,ESP,28.0,2024
14,2:02:40,,Eliud KIPCHOGE,1984-11-05,KEN,1,Tokyo (JPN),2022-03-06,1267.0,marathon,road-running,male,senior,marathon,track,7360.0,JPN,37.0,2022
15,2:02:42,,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2023-09-24,1266.0,marathon,road-running,male,senior,marathon,track,7362.0,GER,38.0,2023
16,2:02:44,,John KORIR,1996-12-02,KEN,1,"Chicago, IL (USA)",2024-10-13,1265.0,marathon,road-running,male,senior,marathon,track,7364.0,USA,27.0,2024
17,2:02:48,,Birhanu LEGESE,1994-09-11,ETH,2,Berlin (GER),2019-09-29,1264.0,marathon,road-running,male,senior,marathon,track,7368.0,GER,25.0,2019
18,2:02:55,,Mosinet GEREMEW,1992-02-12,ETH,2,London (GBR),2019-04-28,1262.0,marathon,road-running,male,senior,marathon,track,7375.0,GBR,27.0,2019
18,2:02:55,,Timothy KIPLAGAT,1993-09-18,KEN,2,Tokyo (JPN),2024-03-03,1262.0,marathon,road-running,male,senior,marathon,track,7375.0,JPN,30.0,2024
20,2:02:57,,Dennis KIMETTO,1984-04-22,KEN,1,Berlin (GER),2014-09-28,1261.0,marathon,road-running,male,senior,marathon,track,7377.0,GER,30.0,2014
21,2:03:00,,Evans CHEBET,1988-11-10,KEN,1,Valencia (ESP),2020-12-06,1260.0,marathon,road-running,male,senior,marathon,track,7380.0,ESP,32.0,2020
21,2:03:00,,Gabriel Gerald GEAY,1996-09-10,TAN,2,Valencia (ESP),2022-12-04,1260.0,marathon,road-running,male,senior,marathon,track,7380.0,ESP,26.0,2022
23,2:03:03,,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2016-09-25,1259.0,marathon,road-running,male,senior,marathon,track,7383.0,GER,34.0,2016
24,2:03:04,,Lawrence CHERONO,1988-08-07,KEN,2,Valencia (ESP),2020-12-06,1259.0,marathon,road-running,male,senior,marathon,track,7384.0,ESP,32.0,2020
25,2:03:05,,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2016-04-24,1259.0,marathon,road-running,male,senior,marathon,track,7385.0,GBR,31.0,2016
26,2:03:11,,Alexander MUNYAO,1996-09-10,KEN,2,Valencia (ESP),2023-12-03,1257.0,marathon,road-running,male,senior,marathon,track,7391.0,ESP,27.0,2023
27,2:03:13,,Wilson Kipsang KIPROTICH,1982-03-15,KEN,2,Berlin (GER),2016-09-25,1256.0,marathon,road-running,male,senior,marathon,track,7393.0,GER,34.0,2016
27,2:03:13,,Emmanuel MUTAI,1984-10-12,KEN,2,Berlin (GER),2014-09-28,1256.0,marathon,road-running,male,senior,marathon,track,7393.0,GER,29.0,2014
27,2:03:13,,Amos KIPRUTO,1992-09-16,KEN,2,Tokyo (JPN),2022-03-06,1256.0,marathon,road-running,male,senior,marathon,track,7393.0,JPN,29.0,2022
27,2:03:13,,Vincent Kipkemoi NGETICH,1999-01-03,KEN,2,Berlin (GER),2023-09-24,1256.0,marathon,road-running,male,senior,marathon,track,7393.0,GER,24.0,2023
31,2:03:16,,Birhanu LEGESE,1994-09-11,ETH,3,Valencia (ESP),2020-12-06,1255.0,marathon,road-running,male,senior,marathon,track,7396.0,ESP,26.0,2020
31,2:03:16,,Mule WASIHUN,1993-10-20,ETH,3,London (GBR),2019-04-28,1255.0,marathon,road-running,male,senior,marathon,track,7396.0,GBR,25.0,2019
33,2:03:17,,Milkesa MENGESHA,2000-04-16,ETH,1,Berlin (GER),2024-09-29,1255.0,marathon,road-running,male,senior,marathon,track,7397.0,GER,24.0,2024
34,2:03:22,,CyBrian KOTUT,1992-06-06,KEN,2,Berlin (GER),2024-09-29,1253.0,marathon,road-running,male,senior,marathon,track,7402.0,GER,32.0,2024
35,2:03:23,,Tadese TAKELE,2002-08-03,ETH,1,Tokyo (JPN),2025-03-02,1253.0,marathon,road-running,male,senior,marathon,track,7403.0,JPN,22.0,2025
35,2:03:23,,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Berlin (GER),2013-09-29,1253.0,marathon,road-running,male,senior,marathon,track,7403.0,GER,31.0,2013
37,2:03:24,,Tadese TAKELE,2002-08-03,ETH,3,Berlin (GER),2023-09-24,1253.0,marathon,road-running,male,senior,marathon,track,7404.0,GER,21.0,2023
38,2:03:27,,Deresa GELETA,1996-01-14,ETH,1,Sevilla (ESP),2024-02-18,1252.0,marathon,road-running,male,senior,marathon,track,7407.0,ESP,28.0,2024
