rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,24.45,,Jacko GILL,1994-12-20,NZL,1,Auckland (NZL),2011-12-19,,shot-put-5kg,throws,male,u18,shot-put,field,24.45,NZL,17.0,2011
2,24.35,,Jacko GILL,1994-12-20,NZL,1,Lille (FRA),2011-07-07,,shot-put-5kg,throws,male,u18,shot-put,field,24.35,FRA,16.0,2011
3,24.24,,Konrad BUKOWIECKI,1997-03-17,POL,1,Spala (POL) (i),2014-12-30,,shot-put-5kg,throws,male,u18,shot-put,field,24.24,POL,17.0,2014
4,23.86,,Jacko GILL,1994-12-20,NZL,1,Hastings (NZL),2010-12-11,,shot-put-5kg,throws,male,u18,shot-put,field,23.86,NZL,15.0,2010
1,23.56,,Ryan CROUSER,1992-12-18,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1334.0,shot-put,throws,male,senior,shot-put,field,23.56,USA,30.0,2023
2,23.51,,Ryan CROUSER,1992-12-18,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-19,1331.0,shot-put,throws,male,senior,shot-put,field,23.51,HUN,30.0,2023
3,23.37,,Ryan CROUSER,1992-12-18,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-18,1323.0,shot-put,throws,male,senior,shot-put,field,23.37,USA,28.0,2021
4,23.3,,Ryan CROUSER,1992-12-18,USA,1,"National Stadium, Tokyo (JPN)",2021-08-05,1318.0,shot-put,throws,male,senior,shot-put,field,23.3,JPN,28.0,2021
5,23.23,,Joe KOVACS,1989-06-28,USA,1,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1314.0,shot-put,throws,male,senior,shot-put,field,23.23,SUI,33.0,2022
5,23.23,,Krzysztof BRZOZOWSKI,1993-07-15,POL,1f2,Singapore (SGP),2010-08-22,,shot-put-5kg,throws,male,u18,shot-put,field,23.23,SGP,17.0,2010
6,23.17,,Konrad BUKOWIECKI,1997-03-17,POL,1f1,"Olympic Stadium, Nanjing (CHN)",2014-08-24,,shot-put-5kg,throws,male,u18,shot-put,field,23.17,CHN,17.0,2014
6,23.15,,Ryan CROUSER,1992-12-18,USA,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1309.0,shot-put,throws,male,senior,shot-put,field,23.15,USA,28.0,2021
7,23.14,,Konrad BUKOWIECKI,1997-03-17,POL,1,Łódź (POL),2014-09-13,,shot-put-5kg,throws,male,u18,shot-put,field,23.14,POL,17.0,2014
7,23.13,,Joe KOVACS,1989-06-28,USA,1,"Hayward Field, Eugene, OR (USA)",2024-05-25,1308.0,shot-put,throws,male,senior,shot-put,field,23.13,USA,34.0,2024
8,23.13,,Konrad BUKOWIECKI,1997-03-17,POL,1,Baku (AZE),2014-05-31,,shot-put-5kg,throws,male,u18,shot-put,field,23.13,AZE,17.0,2014
8,23.12,,Randy BARNES,1966-06-16,USA,1,"Westwood, CA (USA)",1990-05-20,1308.0,shot-put,throws,male,senior,shot-put,field,23.12,USA,23.0,1990
8,23.12,,Ryan CROUSER,1992-12-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1308.0,shot-put,throws,male,senior,shot-put,field,23.12,USA,29.0,2022
10,23.1,,Randy BARNES,1966-06-16,USA,1,San José (USA),1990-05-26,1306.0,shot-put,throws,male,senior,shot-put,field,23.1,USA,23.0,1990
11,23.07,,Ryan CROUSER,1992-12-18,USA,1,"Olympic Stadium, London (GBR)",2023-07-23,1305.0,shot-put,throws,male,senior,shot-put,field,23.07,GBR,30.0,2023
12,23.06,,Ulf TIMMERMANN,1962-11-01,GDR,1,Chania (GRE),1988-05-22,1304.0,shot-put,throws,male,senior,shot-put,field,23.06,GRE,25.0,1988
13,23.02,,Ryan CROUSER,1992-12-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-05-28,1302.0,shot-put,throws,male,senior,shot-put,field,23.02,USA,29.0,2022
14,23.01,,Ryan CROUSER,1992-12-18,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",2021-05-22,1301.0,shot-put,throws,male,senior,shot-put,field,23.01,USA,28.0,2021
1,23.0,,Jacko GILL,1994-12-20,NZL,1,Auckland (NZL),2013-08-18,,shot-put-6kg,throws,male,u20,shot-put,field,23.0,NZL,18.0,2013
15,22.98,,Leonardo FABBRI,1997-04-15,ITA,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-14,1299.0,shot-put,throws,male,senior,shot-put,field,22.98,BEL,27.0,2024
9,22.97,,Konrad BUKOWIECKI,1997-03-17,POL,1f2,Aleksandrów Łódzki (POL) (i),2014-12-20,,shot-put-5kg,throws,male,u18,shot-put,field,22.97,POL,17.0,2014
2,22.96,,Konrad BUKOWIECKI,1997-03-17,POL,1,Spala (POL) (i),2016-12-29,,shot-put-6kg,throws,male,u20,shot-put,field,22.96,POL,19.0,2016
16,22.95,,Leonardo FABBRI,1997-04-15,ITA,1,"Centro Sportivo Fontanassa, Savona (ITA)",2024-05-15,1297.0,shot-put,throws,male,senior,shot-put,field,22.95,ITA,27.0,2024
10,22.95,,Konrad BUKOWIECKI,1997-03-17,POL,1f1,Aleksandrów Łódzki (POL) (i),2014-12-20,,shot-put-5kg,throws,male,u18,shot-put,field,22.95,POL,17.0,2014
17,22.94,,Ryan CROUSER,1992-12-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-17,1297.0,shot-put,throws,male,senior,shot-put,field,22.94,USA,29.0,2022
3,22.94,,Konrad BUKOWIECKI,1997-03-17,POL,1,Bojanowo (POL),2016-05-01,,shot-put-6kg,throws,male,u20,shot-put,field,22.94,POL,19.0,2016
18,22.93,,Joe KOVACS,1989-06-28,USA,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1296.0,shot-put,throws,male,senior,shot-put,field,22.93,USA,34.0,2023
11,22.93,,Konrad BUKOWIECKI,1997-03-17,POL,1,Aleksandrów Łódzki (POL) (i),2014-12-13,,shot-put-5kg,throws,male,u18,shot-put,field,22.93,POL,17.0,2014
18,22.93,,Joe KOVACS,1989-06-28,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2024-05-18,1296.0,shot-put,throws,male,senior,shot-put,field,22.93,USA,34.0,2024
18,22.93,,Ryan CROUSER,1992-12-18,USA,1,"Fountains, Zagreb (CRO)",2024-09-07,1296.0,shot-put,throws,male,senior,shot-put,field,22.93,CRO,31.0,2024
21,22.92,,Ryan CROUSER,1992-12-18,USA,1q1,"Hayward Field, Eugene, OR (USA)",2021-06-18,1296.0,shot-put,throws,male,senior,shot-put,field,22.92,USA,28.0,2021
22,22.91,,Leonardo FABBRI,1997-04-15,ITA,1,"Campo di Atletica, Asti (ITA)",2024-05-23,1295.0,shot-put,throws,male,senior,shot-put,field,22.91,ITA,27.0,2024
22,22.91,,Alessandro ANDREI,1959-01-03,ITA,1,Viareggio (ITA),1987-08-12,1295.0,shot-put,throws,male,senior,shot-put,field,22.91,ITA,28.0,1987
22,22.91,,Joe KOVACS,1989-06-28,USA,1,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1295.0,shot-put,throws,male,senior,shot-put,field,22.91,QAT,30.0,2019
22,22.91,,Ryan CROUSER,1992-12-18,USA,1,"Life University Track & Field Stadium, Marietta, GA (USA)",2020-07-18,1295.0,shot-put,throws,male,senior,shot-put,field,22.91,USA,27.0,2020
22,22.91,,Ryan CROUSER,1992-12-18,USA,2,"Hayward Field, Eugene, OR (USA)",2023-09-17,1295.0,shot-put,throws,male,senior,shot-put,field,22.91,USA,30.0,2023
27,22.9,,Ryan CROUSER,1992-12-18,USA,1,"Stade de France, Paris (FRA)",2024-08-03,1294.0,shot-put,throws,male,senior,shot-put,field,22.9,FRA,31.0,2024
27,22.9,,Leonardo FABBRI,1997-04-15,ITA,1,"Stadio Comunale, Pergine Valsugana (ITA)",2024-07-06,1294.0,shot-put,throws,male,senior,shot-put,field,22.9,ITA,27.0,2024
12,22.9,,Konrad BUKOWIECKI,1997-03-17,POL,1,Warszawa (POL),2014-09-15,,shot-put-5kg,throws,male,u18,shot-put,field,22.9,POL,17.0,2014
