rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,50.37,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Stade de France, Paris (FRA)",2024-08-08,1322.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.37,FRA,25.0,2024
2,50.65,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-30,1313.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.65,USA,24.0,2024
3,50.68,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1312.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.68,USA,22.0,2022
4,50.95,,Femke BOL,2000-02-23,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2024-07-14,1303.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,50.95,SUI,24.0,2024
5,51.3,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2024-07-20,1291.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.3,GBR,24.0,2024
6,51.41,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-25,1288.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.41,USA,22.0,2022
7,51.45,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2023-07-23,1286.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.45,GBR,23.0,2023
8,51.46,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"National Stadium, Tokyo (JPN)",2021-08-04,1286.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.46,JPN,22.0,2021
9,51.54,,Femke BOL,2000-02-23,NED,1,"National Stadium, Tokyo (JPN)",2025-09-19,1283.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.54,JPN,25.0,2025
10,51.58,,Dalilah MUHAMMAD,1990-02-07,USA,2,"National Stadium, Tokyo (JPN)",2021-08-04,1282.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.58,JPN,31.0,2021
11,51.61,,Sydney MCLAUGHLIN,1999-08-07,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1281.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.61,USA,22.0,2022
12,51.68,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1279.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.68,HUN,23.0,2022
13,51.7,,Femke BOL,2000-02-23,NED,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1278.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.7,HUN,23.0,2023
14,51.87,,Anna COCKRELL,1997-08-28,USA,2,"Stade de France, Paris (FRA)",2024-08-08,1273.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.87,FRA,26.0,2024
15,51.9,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-27,1272.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.9,USA,21.0,2021
16,51.91,,Femke BOL,2000-02-23,NED,1,"Stadion Śląski, Chorzów (POL)",2025-08-16,1271.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.91,POL,25.0,2025
17,51.95,,Femke BOL,2000-02-23,NED,1,"Stade Louis II, Monaco (MON)",2025-07-11,1270.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.95,MON,25.0,2025
18,51.98,,Femke BOL,2000-02-23,NED,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1269.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,51.98,USA,23.0,2023
19,52.03,,Femke BOL,2000-02-23,NED,3,"National Stadium, Tokyo (JPN)",2021-08-04,1267.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.03,JPN,21.0,2021
20,52.07,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",2025-05-03,1266.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.07,USA,25.0,2025
21,52.08,,Jasmine JONES,2001-11-30,USA,2,"National Stadium, Tokyo (JPN)",2025-09-19,1266.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.08,JPN,23.0,2025
22,52.1,,Femke BOL,2000-02-23,NED,1,"Olympic Stadium, London (GBR)",2025-07-19,1265.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.1,GBR,25.0,2025
23,52.11,,Femke BOL,2000-02-23,NED,1,"Boudewijnstadion, Bruxelles (BEL)",2023-09-08,1265.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.11,BEL,23.0,2023
23,52.11,,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1265.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.11,SWE,25.0,2025
25,52.13,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1sf2,"Stade de France, Paris (FRA)",2024-08-06,1264.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.13,FRA,25.0,2024
25,52.13,,Femke BOL,2000-02-23,NED,1,"Stadion Śląski, Chorzów (POL)",2024-08-25,1264.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.13,POL,24.0,2024
27,52.15,,Femke BOL,2000-02-23,NED,3,"Stade de France, Paris (FRA)",2024-08-08,1264.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.15,FRA,24.0,2024
28,52.16,,Dalilah MUHAMMAD,1990-02-07,USA,1,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1263.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.16,QAT,29.0,2019
29,52.17,,Sydney MCLAUGHLIN,1999-08-07,USA,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1263.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.17,USA,22.0,2022
30,52.18,,Femke BOL,2000-02-23,NED,1,"Letzigrund, Zürich (SUI)",2025-08-28,1263.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.18,SUI,25.0,2025
31,52.2,,Dalilah MUHAMMAD,1990-02-07,USA,1,"Drake Stadium, Des Moines, IA (USA)",2019-07-28,1262.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.2,USA,29.0,2019
32,52.23,,Sydney MCLAUGHLIN,1999-08-07,USA,2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1261.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.23,QAT,20.0,2019
33,52.24,,Femke BOL,2000-02-23,NED,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2025-08-12,1261.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.24,HUN,25.0,2025
34,52.25,,Femke BOL,2000-02-23,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2024-08-22,1260.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.25,SUI,24.0,2024
35,52.27,,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1260.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.27,SWE,22.0,2022
35,52.27,,Femke BOL,2000-02-23,NED,2,"Hayward Field, Eugene, OR (USA)",2022-07-22,1260.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.27,USA,22.0,2022
37,52.29,,Jasmine JONES,2001-11-30,USA,4,"Stade de France, Paris (FRA)",2024-08-08,1259.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.29,FRA,22.0,2024
38,52.3,,Femke BOL,2000-02-23,NED,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1259.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.3,NOR,23.0,2023
39,52.31,,Femke BOL,2000-02-23,NED,1sf2,"National Stadium, Tokyo (JPN)",2025-09-17,1258.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.31,JPN,25.0,2025
40,52.34,,Yulia PECHONKINA,1978-04-21,RUS,1,Tula (RUS),2003-08-08,1257.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.34,RUS,25.0,2003
41,52.37,,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2021-07-04,1256.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.37,SWE,21.0,2021
42,52.39,,Shamier LITTLE,1995-03-20,USA,2,"Olympiastadion, Stockholm (SWE)",2021-07-04,1256.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.39,SWE,26.0,2021
43,52.42,,Dalilah MUHAMMAD,1990-02-07,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-27,1255.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.42,USA,31.0,2021
43,52.42,,Melaine WALKER,1983-03-01,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-20,1255.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.42,GER,26.0,2009
45,52.43,,Femke BOL,2000-02-23,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1254.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.43,ITA,23.0,2023
46,52.45,,Femke BOL,2000-02-23,NED,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-14,1254.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.45,BEL,24.0,2024
47,52.46,,Savannah SUTHERLAND,2003-08-07,CAN,1,"Hayward Field, Eugene, OR (USA)",2025-06-14,1253.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.46,USA,21.0,2025
47,52.46,,Femke BOL,2000-02-23,NED,1,"Stade Olympique, Rabat (MAR)",2025-05-25,1253.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.46,MAR,25.0,2025
49,52.47,,Lashinda DEMUS,1983-03-10,USA,1,"DS, Daegu (KOR)",2011-09-01,1253.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.47,KOR,28.0,2011
50,52.48,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2024-06-29,1253.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.48,USA,24.0,2024
51,52.49,,Femke BOL,2000-02-23,NED,1,"Stadio Olimpico, Roma (ITA)",2024-06-11,1253.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.49,ITA,24.0,2024
52,52.51,,Rushell CLAYTON,1992-10-18,JAM,1,"National Stadium, Kingston (JAM)",2024-06-28,1252.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.51,JAM,31.0,2024
52,52.51,,Femke BOL,2000-02-23,NED,1,"FBK Stadium, Hengelo (NED)",2025-06-09,1252.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.51,NED,25.0,2025
54,52.57,,Femke BOL,2000-02-23,NED,1sf3,"Stade de France, Paris (FRA)",2024-08-06,1250.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.57,FRA,24.0,2024
55,52.58,,Dalilah MUHAMMAD,1990-02-07,USA,2,"Stade Louis II, Monaco (MON)",2025-07-11,1250.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.58,MON,35.0,2025
56,52.59,,Anna COCKRELL,1997-08-28,USA,1,"Stadio Olimpico, Roma (ITA)",2024-08-30,1249.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.59,ITA,27.0,2024
57,52.61,,Femke BOL,2000-02-23,NED,1,"Bislett Stadion, Oslo (NOR)",2022-06-16,1249.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.61,NOR,22.0,2022
57,52.61,,Kim BATTEN,1969-03-29,USA,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-11,1249.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.61,SWE,26.0,1995
59,52.62,,Tonja BUFORD-BAILEY,1970-12-13,USA,2,"Ullevi Stadium, Göteborg (SWE)",1995-08-11,1248.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.62,SWE,24.0,1995
60,52.63,,Lashinda DEMUS,1983-03-10,USA,1,"Stade Louis II, Monaco (MON)",2009-07-28,1248.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.63,MON,26.0,2009
61,52.64,,Dalilah MUHAMMAD,1990-02-07,USA,1,"Sacramento, CA (USA)",2017-06-25,1248.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.64,USA,27.0,2017
61,52.64,,Anna COCKRELL,1997-08-28,USA,2,"Hayward Field, Eugene, OR (USA)",2024-06-30,1248.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.64,USA,26.0,2024
61,52.64,,Melaine WALKER,1983-03-01,JAM,1,"National Stadium, Beijing (CHN)",2008-08-20,1248.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.64,CHN,25.0,2008
64,52.65,,Dalilah MUHAMMAD,1990-02-07,USA,1,"Hayward Field, Eugene, OR (USA)",2025-08-03,1247.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.65,USA,35.0,2025
65,52.66,,Gianna WOODRUFF,1993-11-18,PAN,1sf1,"National Stadium, Tokyo (JPN)",2025-09-17,1247.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.66,JPN,31.0,2025
66,52.67,,Femke BOL,2000-02-23,NED,1,"Olympiastadion, München (GER)",2022-08-19,1247.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.67,GER,22.0,2022
67,52.68,,Rushell CLAYTON,1992-10-18,JAM,5,"Stade de France, Paris (FRA)",2024-08-08,1246.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.68,FRA,31.0,2024
68,52.7,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"Edwin Moses Track, Atlanta, GA (USA)",2024-05-31,1246.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.7,USA,24.0,2024
69,52.73,,Melaine WALKER,1983-03-01,JAM,2,"DS, Daegu (KOR)",2011-09-01,1245.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.73,KOR,28.0,2011
70,52.74,,Sally GUNNELL,1966-07-29,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-19,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.74,GER,27.0,1993
70,52.74,,Kim BATTEN,1969-03-29,USA,1,"Stade Louis II, Monaco (MON)",1998-08-08,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.74,MON,29.0,1998
72,52.75,,Shamier LITTLE,1995-03-20,USA,2,"Sacramento, CA (USA)",2017-06-25,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.75,USA,22.0,2017
1,52.75,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Knoxville, TN (USA)",2018-05-13,1244.0,400-metres-hurdles,hurdles,female,u20,400-metres-hurdles,track,52.75,USA,18.0,2018
72,52.75,,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Knoxville, TN (USA)",2018-05-13,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.75,USA,18.0,2018
74,52.76,,Femke BOL,2000-02-23,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.76,SUI,23.0,2023
74,52.76,,Sydney MCLAUGHLIN-LEVRONE,1999-08-07,USA,1,"National Stadium, Kingston (JAM)",2025-04-04,1244.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.76,JAM,25.0,2025
76,52.77,,Fani CHALKIA,1979-02-02,GRE,1sf2,"Olympic Stadium, Athina (GRE)",2004-08-22,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.77,GRE,25.0,2004
76,52.77,,Jasmine JONES,2001-11-30,USA,3,"Hayward Field, Eugene, OR (USA)",2024-06-30,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.77,USA,22.0,2024
76,52.77,,Dalilah MUHAMMAD,1990-02-07,USA,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.77,USA,31.0,2021
76,52.77,,Lashinda DEMUS,1983-03-10,USA,1,"Olympic Stadium, London (GBR)",2012-08-08,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.77,GBR,29.0,2012
80,52.78,,Shamier LITTLE,1995-03-20,USA,2,"Olympic Stadium, London (GBR)",2024-07-20,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.78,GBR,29.0,2024
81,52.79,,Kaliese SPENCER,1987-05-06,JAM,1,"Crystal Palace, London (GBR)",2011-08-05,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.79,GBR,24.0,2011
81,52.79,,Sandra FARMER-PATRICK,1962-08-18,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-19,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.79,GER,31.0,1993
81,52.79,,Femke BOL,2000-02-23,NED,1,"Stadio Comunale, Bellinzona (SUI)",2023-09-04,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.79,SUI,23.0,2023
84,52.8,,Shamier LITTLE,1995-03-20,USA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.8,HUN,28.0,2023
84,52.8,,Femke BOL,2000-02-23,NED,1,"Letzigrund, Zürich (SUI)",2021-09-09,1243.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.8,SUI,21.0,2021
86,52.81,,Shamier LITTLE,1995-03-20,USA,1sf3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-22,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.81,HUN,28.0,2023
86,52.81,,Femke BOL,2000-02-23,NED,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.81,HUN,21.0,2021
86,52.81,,Rushell CLAYTON,1992-10-18,JAM,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.81,HUN,30.0,2023
89,52.82,,Lashinda DEMUS,1983-03-10,USA,1,"Stadio Olimpico, Roma (ITA)",2010-06-10,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.82,ITA,27.0,2010
89,52.82,,Fani CHALKIA,1979-02-02,GRE,1,"Olympic Stadium, Athina (GRE)",2004-08-25,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.82,GRE,25.0,2004
89,52.82,,Deon HEMMINGS,1968-10-09,JAM,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.82,USA,27.0,1996
92,52.83,,Zuzana HEJNOVÁ,1986-12-19,CZE,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,1242.0,400-metres-hurdles,hurdles,female,senior,400-metres-hurdles,track,52.83,RUS,26.0,2013
