rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,19:46,,Kjersti TYSSE-PLÄTZER,1972-01-18,NOR,1,Hildesheim (GER),2006-08-27,1239.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1186.0,GER,34.0,2006
2,20:08,,Kjersti TYSSE-PLÄTZER,1972-01-18,NOR,1,Hildesheim (GER),2003-09-13,1211.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1208.0,GER,31.0,2003
3,20:11,,Gillian O'SULLIVAN,1976-08-21,IRL,1,Kraków (POL),2003-06-14,1207.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1211.0,POL,26.0,2003
4,20:13,,Elisabetta PERRONE,1968-07-09,ITA,1,Rieti (ITA),2003-08-02,1205.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1213.0,ITA,35.0,2003
4,20:13,,Gillian O'SULLIVAN,1976-08-21,IRL,1,Santry (IRL),2003-08-09,1205.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1213.0,IRL,26.0,2003
6,20:16,,Yelena NIKOLAYEVA,1966-02-01,RUS,2,Kraków (POL),2003-06-14,1201.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1216.0,POL,37.0,2003
7,20:24,,Yelena GINKO,1976-07-30,BLR,2,Hildesheim (GER),2006-08-27,1191.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1224.0,GER,30.0,2006
8,20:25,,Kerry SAXBY,1961-06-02,AUS,1,Hildesheim (GER),1989-06-10,1190.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1225.0,GER,28.0,1989
9,20:29,,Valentina TSYBULSKAYA,1968-02-19,BLR,2,Hildesheim (GER),2003-09-13,1185.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1229.0,GER,35.0,2003
1,20:33,,Claudia IOVAN,1978-02-25,ROU,1,Bucureşti (ROU),1997-08-08,1180.0,5-kilometres-race-walk,race-walks,female,u20,5-kilometres-race-walk,track,1233.0,ROU,19.0,1997
10,20:33,,Claudia IOVAN,1978-02-25,ROU,1,Bucureşti (ROU),1997-08-08,1180.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1233.0,ROU,19.0,1997
11,20:34,,Yelena NIKOLAYEVA,1966-02-01,RUS,3,Hildesheim (GER),2003-09-13,1179.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1234.0,GER,37.0,2003
11,20:34,,Kerry SAXBY,1961-06-02,AUS,1,Hildesheim (GER),1987-09-24,1179.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1234.0,GER,26.0,1987
13,20:36,,Gillian O'SULLIVAN,1976-08-21,IRL,1,Sligo (IRL),2004-05-30,1176.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1236.0,IRL,27.0,2004
13,20:36,,Alina IVANOVA,1969-03-16,URS,1,L'Hospitalet (ESP),1991-04-21,1176.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1236.0,ESP,22.0,1991
15,20:37,,Olga KARDOPOLTSEVA,1966-09-11,URS,2,L'Hospitalet (ESP),1991-04-21,1175.0,5-kilometres-race-walk,race-walks,female,senior,5-kilometres-race-walk,track,1237.0,ESP,24.0,1991
