rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,13:54,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2024-12-31,1295.0,5-kilometres,road-running,female,senior,5-kilometres,track,834.0,ESP,24.0,2024
2,14:13,,Beatrice CHEBET,2000-03-05,KEN,1,Barcelona (ESP),2023-12-31,1256.0,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,23.0,2023
2,14:13,,Agnes Jebet NGETICH,2001-01-23,KEN,,Valencia (ESP),2024-01-14,1256.0,5-kilometres,road-running,female,senior,5-kilometres,track,853.0,ESP,22.0,2024
4,14:19,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2021-12-31,1244.0,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,ESP,21.0,2021
4,14:19,,Caroline NYAGA,1993-10-07,KEN,1,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1244.0,5-kilometres,road-running,female,senior,5-kilometres,track,859.0,JPN,31.0,2025
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2022-12-31,1240.0,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,22.0,2022
6,14:21,,Ejgayehu TAYE,2000-02-10,ETH,2,Barcelona (ESP),2023-12-31,1240.0,5-kilometres,road-running,female,senior,5-kilometres,track,861.0,ESP,23.0,2023
8,14:23,,Medina EISA,2005-01-03,ETH,2,Barcelona (ESP),2024-12-31,1236.0,5-kilometres,road-running,female,senior,5-kilometres,track,863.0,ESP,20.0,2024
9,14:26,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,Barcelona (ESP),2023-12-31,1230.0,5-kilometres,road-running,female,senior,5-kilometres,track,866.0,ESP,26.0,2023
10,14:28,,Joy CHEPTOYEK,2002-05-15,UGA,4,Barcelona (ESP),2023-12-31,1226.0,5-kilometres,road-running,female,senior,5-kilometres,track,868.0,ESP,21.0,2023
11,14:29,,Francine NIYONSABA,1993-05-05,BDI,1,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1224.0,5-kilometres,road-running,female,senior,5-kilometres,track,869.0,SUI,28.0,2021
12,14:29,,Senbere TEFERI,1995-05-03,ETH,1,Herzogenaurach (GER),2021-09-12,1224.0,5-kilometres,road-running,female,senior,5-kilometres,track,869.0,GER,26.0,2021
13,14:30,,Hellen OBIRI,1989-12-13,KEN,2,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1223.0,5-kilometres,road-running,female,senior,5-kilometres,track,870.0,SUI,31.0,2021
14,14:30,,Hirut MESHESHA,2001-01-20,ETH,1,Lille (FRA),2025-03-16,1222.0,5-kilometres,road-running,female,senior,5-kilometres,track,870.0,FRA,24.0,2025
15,14:31,,Ejgayehu TAYE,2000-02-10,ETH,3,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1221.0,5-kilometres,road-running,female,senior,5-kilometres,track,871.0,SUI,21.0,2021
16,14:32,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,4,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1220.0,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,SUI,28.0,2021
17,14:32,,Joyciline JEPKOSGEI,1993-12-28,KEN,,Praha (CZE),2017-09-09,1218.0,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,CZE,23.0,2017
17,14:32,,Beatrice CHEBET,2000-03-05,KEN,1,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1218.0,5-kilometres,road-running,female,senior,5-kilometres,track,872.0,SUI,22.0,2022
