rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:17:25.6h,,Bernardo SEGURA,1970-02-11,MEX,1,Fana (NOR),1994-05-07,1247.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4645.6,NOR,24.0,1994
2,1:18:03.3h,,Lingtang BO,1970-08-12,CHN,1,Beijing (CHN),1994-04-07,1233.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4683.3,CHN,23.0,1994
3,1:18:35.2h,,Stefan JOHANSSON,1967-04-11,SWE,1,Fana (NOR),1992-05-15,1222.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4715.2,NOR,25.0,1992
4,1:18:37.9h,,Caio BONFIM,1991-03-19,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",2025-07-31,1221.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4717.9,BRA,34.0,2025
5,1:18:40.0h,,Ernesto CANTO,1959-10-18,MEX,1,Fana (NOR),1984-05-05,1220.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4720.0,NOR,24.0,1984
6,1:19:18.3h,,Ronald WEIGEL,1959-08-08,GDR,1,Bergen (NOR),1990-05-26,1206.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4758.3,NOR,30.0,1990
7,1:19:22.5h,,Aleksey PERSHIN,1962-09-23,URS,1,Fana (NOR),1988-05-07,1204.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4762.5,NOR,25.0,1988
8,1:19:24.1h,,Walter ARENA,1964-05-30,ITA,2,Bergen (NOR),1990-05-26,1204.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4764.1,NOR,26.0,1990
9,1:19:42.0h,,Yohann DINIZ,1978-01-01,FRA,1,Bogny-sur-Meuse (FRA),2014-05-25,1197.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4782.0,FRA,36.0,2014
10,1:19:48.1h,,Nathan DEAKES,1977-08-17,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2001-09-04,1195.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4788.1,AUS,24.0,2001
11,1:19:52.0h,,Robert KORZENIOWSKI,1968-07-30,POL,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2001-09-04,1194.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4792.0,AUS,33.0,2001
12,1:19:52.1h,,Caio BONFIM,1991-03-19,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",2024-06-27,1194.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4792.1,BRA,33.0,2024
13,1:19:54.0h,,Pavol BLAŽEK,1958-07-09,TCH,3,Bergen (NOR),1990-05-26,1193.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4794.0,NOR,31.0,1990
14,1:19:54.7h,,Matheus CORREA,1999-08-22,BRA,2,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",2025-07-31,1193.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4794.7,BRA,25.0,2025
15,1:20:06.8h,,Daniel BAUTISTA,1952-08-04,MEX,1,Montréal (CAN),1979-10-17,1188.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4806.8,CAN,27.0,1979
16,1:20:11.72,,Gaobo LI,1989-07-23,CHN,1,Wuhan (CHN),2007-11-02,1187.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4811.72,CHN,18.0,2007
17,1:20:12.00,,Nick A'HERN,1969-01-06,AUS,1,Fana (NOR),1993-05-08,1187.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4812.0,NOR,24.0,1993
18,1:20:13.68,,Caio BONFIM,1991-03-19,BRA,1,Bragança Paulista (BRA),2021-04-25,1186.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4813.68,BRA,30.0,2021
19,1:20:18.0h,,Nick A'HERN,1969-01-06,AUS,4,Bergen (NOR),1990-05-26,1184.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4818.0,NOR,21.0,1990
20,1:20:22.52,,Gurmeet SINGH,1985-07-01,IND,1,Bhubaneshwar (IND),2012-02-03,1183.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4822.52,IND,26.0,2012
21,1:20:23.8h,,Andrés CHOCHO,1983-11-04,ECU,1,Buenos Aires (ARG),2011-06-05,1182.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4823.8,ARG,27.0,2011
22,1:20:24.00,,Mingcai LI,1971-08-22,CHN,1,Jinan (CHN),1992-03-15,1182.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4824.0,CHN,20.0,1992
22,1:20:24.00,,Zewen LI,1973-12-05,CHN,1,Nanjing (CHN),1995-10-24,1182.0,20000-metres-race-walk,race-walks,male,senior,20000-metres-race-walk,track,4824.0,CHN,21.0,1995
