rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6301,,Henriette JÆGER,30 JUN 2003,NOR,1,"Melløs stadion, Moss (NOR)",13 SEP 2020,,heptathlon-girls,combined-events,female,u18
2,6221,,María VICENTE,28 MAR 2001,ESP,1,"Olimpiai Sportpark, Győr (HUN)",06 JUL 2018,,heptathlon-girls,combined-events,female,u18
3,6186,,Alina SHUKH,12 FEB 1999,UKR,1,"New District Stadium, Tbilisi (GEO)",15 JUL 2016,,heptathlon-girls,combined-events,female,u18
4,6175,,Sarah LAGGER,03 SEP 1999,AUT,2,"New District Stadium, Tbilisi (GEO)",15 JUL 2016,,heptathlon-girls,combined-events,female,u18
5,6151,,Enni VIRJONEN,14 MAY 2007,FIN,1,Banská Bystrica (SVK),19 JUL 2024,,heptathlon-girls,combined-events,female,u18
6,6129,,Henriette JÆGER,30 JUN 2003,NOR,1,"Fagernes Idrettspark, Fagernes (NOR)",09 AUG 2020,,heptathlon-girls,combined-events,female,u18
7,6106,,Jana KOŠČAK,19 MAY 2006,CRO,1,"Givat Ram Stadium, Jerusalem (ISR)",05 JUL 2022,,heptathlon-girls,combined-events,female,u18
8,6101,,Sophia YAKUSHINA,07 JAN 2006,RUS,1,"Luzhniki North Arena, Moskva (RUS)",01 JUL 2023,,heptathlon-girls,combined-events,female,u18
9,6079,,Alina SHUKH,12 FEB 1999,UKR,1,Lutsk (UKR),26 SEP 2015,,heptathlon-girls,combined-events,female,u18
10,6066,,Sarah LAGGER,03 SEP 1999,AUT,1,Salzburg (AUT),05 JUN 2016,,heptathlon-girls,combined-events,female,u18
11,6054,,Sarah LAGGER,03 SEP 1999,AUT,1,Wels (AUT),30 AUG 2015,,heptathlon-girls,combined-events,female,u18
12,6039,,Alina SHUKH,12 FEB 1999,UKR,1,Kirovograd (UKR),26 JUN 2015,,heptathlon-girls,combined-events,female,u18
13,6037,,Géraldine RUCKSTUHL,24 FEB 1998,SUI,1,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,heptathlon-girls,combined-events,female,u18
14,6014,,Sarah LAGGER,03 SEP 1999,AUT,1,Leibnitz (AUT),17 MAY 2015,,heptathlon-girls,combined-events,female,u18
15,5992,,Sarah LAGGER,03 SEP 1999,AUT,2,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,heptathlon-girls,combined-events,female,u18
16,5991,,Tatyana CHERNOVA,29 JAN 1988,RUS,1,Chelyabinsk (RUS),22 JUN 2005,,heptathlon-girls,combined-events,female,u18
17,5989,,Alina SHUKH,12 FEB 1999,UKR,1f,Kirovograd (UKR),29 MAY 2016,,heptathlon-girls,combined-events,female,u18
18,5948,,Enni VIRJONEN,14 MAY 2007,FIN,1,"Ratinan Stadion, Tampere (FIN)",19 MAY 2024,,heptathlon-girls,combined-events,female,u18
19,5946,,Emma KAUL,19 MAR 2006,GER,1,"Erika-Fisch-Stadion, Hannover (GER)",03 SEP 2023,,heptathlon-girls,combined-events,female,u18
20,5935,,Sarah LAGGER,03 SEP 1999,AUT,1,Ebensee (AUT),18 SEP 2016,,heptathlon-girls,combined-events,female,u18
21,5919,,Niamh EMERSON,22 APR 1999,GBR,3,"New District Stadium, Tbilisi (GEO)",15 JUL 2016,,heptathlon-girls,combined-events,female,u18
22,5913,,Saga VANNINEN,04 MAY 2003,FIN,1,Baku (AZE),25 JUL 2019,,heptathlon-girls,combined-events,female,u18
