rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7291,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Seoul (KOR)",24 SEP 1988,1331,heptathlon,combined-events,female,senior
2,7215,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Indianapolis, IN (USA)",16 JUL 1988,1315,heptathlon,combined-events,female,senior
3,7158,,Jackie JOYNER,03 MAR 1962,USA,1,"Houston, TX (USA)",02 AUG 1986,1304,heptathlon,combined-events,female,senior
4,7148,,Jackie JOYNER,03 MAR 1962,USA,1,Moskva (URS),07 JUL 1986,1302,heptathlon,combined-events,female,senior
5,7128,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Stadio Olimpico, Roma (ITA)",01 SEP 1987,1298,heptathlon,combined-events,female,senior
6,7044,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992,1281,heptathlon,combined-events,female,senior
7,7032,,Carolina KLÜFT,02 FEB 1983,SWE,1,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1279,heptathlon,combined-events,female,senior
7,7032,,Anna HALL,23 MAR 2001,USA,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2025,1279,heptathlon,combined-events,female,senior
9,7013,,Nafissatou THIAM,19 AUG 1994,BEL,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1275,heptathlon,combined-events,female,senior
10,7007,,Larisa NIKITINA,29 APR 1965,URS,1,Bryansk (URS),11 JUN 1989,1274,heptathlon,combined-events,female,senior
11,7001,,Carolina KLÜFT,02 FEB 1983,SWE,1,"Stade de France, Paris-St-Denis (FRA)",24 AUG 2003,1273,heptathlon,combined-events,female,senior
12,6988,,Anna HALL,23 MAR 2001,USA,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1270,heptathlon,combined-events,female,senior
13,6985,,Sabine BRAUN,19 JUN 1965,GER,1,Götzis (AUT),31 MAY 1992,1270,heptathlon,combined-events,female,senior
14,6981,,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1269,heptathlon,combined-events,female,senior
15,6979,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),24 JUN 1987,1268,heptathlon,combined-events,female,senior
16,6955,,Jessica ENNIS-HILL,28 JAN 1986,GBR,1,"Olympic Stadium, London (GBR)",04 AUG 2012,1264,heptathlon,combined-events,female,senior
17,6952,,Carolina KLÜFT,02 FEB 1983,SWE,1,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1263,heptathlon,combined-events,female,senior
18,6947,,Nafissatou THIAM,19 AUG 1994,BEL,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1262,heptathlon,combined-events,female,senior
19,6946,,Sabine PAETZ,16 OCT 1957,GDR,1,Potsdam (GDR),06 MAY 1984,1262,heptathlon,combined-events,female,senior
20,6942,,Ghada SHOUAA,10 SEP 1972,SYR,1,Götzis (AUT),26 MAY 1996,1261,heptathlon,combined-events,female,senior
21,6935,,Ramona NEUBERT,26 JUL 1958,GDR,1,Moskva (URS),19 JUN 1983,1260,heptathlon,combined-events,female,senior
22,6910,,Jackie JOYNER,03 MAR 1962,USA,1f,"Walnut, CA (USA)",25 APR 1986,1255,heptathlon,combined-events,female,senior
23,6906,,Jessica ENNIS-HILL,28 JAN 1986,GBR,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1254,heptathlon,combined-events,female,senior
24,6899,,Anna HALL,23 MAR 2001,USA,1,"Hayward Field, Eugene, OR (USA)",01 AUG 2025,1252,heptathlon,combined-events,female,senior
25,6897,,Sabine JOHN,16 OCT 1957,GDR,2,"Olympic Stadium, Seoul (KOR)",24 SEP 1988,1252,heptathlon,combined-events,female,senior
26,6889,,Eunice BARBER,17 NOV 1974,FRA,1,Arles (FRA),05 JUN 2005,1250,heptathlon,combined-events,female,senior
