rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,12.71,+0.8,Kerrica HILL,06 MAR 2005,JAM,1,"National Stadium, Kingston (JAM)",09 APR 2022,,100m-hurdles-762cm,hurdles,female,u18
2,12.86,+2.0,Laura FRLIČKOVÁ,15 JAN 2007,SVK,1h5,Banská Bystrica (SVK),18 JUL 2024,,100m-hurdles-762cm,hurdles,female,u18
3,12.89,+1.5,Ackera NUGENT,29 APR 2002,JAM,1,Kingston (JAM),02 FEB 2019,,100m-hurdles-762cm,hurdles,female,u18
3,12.89,+0.4,Kerrica HILL,06 MAR 2005,JAM,1h1,"National Stadium, Kingston (JAM)",08 APR 2022,,100m-hurdles-762cm,hurdles,female,u18
5,12.91,-1.0,Ackera NUGENT,29 APR 2002,JAM,1,Kingston (JAM),30 MAR 2019,,100m-hurdles-762cm,hurdles,female,u18
6,12.94,0.0,Yanique THOMPSON,12 MAR 1996,JAM,1,Donetsk (UKR),11 JUL 2013,,100m-hurdles-762cm,hurdles,female,u18
7,12.95,+0.7,Alexis DUNCAN,16 AUG 1998,USA,1sf3,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,100m-hurdles-762cm,hurdles,female,u18
8,12.97,+0.2,Laura FRLIČKOVÁ,15 JAN 2007,SVK,1f1,Banská Bystrica (SVK),19 JUL 2024,,100m-hurdles-762cm,hurdles,female,u18
9,12.98,+1.2,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1h3,"Kasarani, Nairobi (KEN)",15 JUL 2017,,100m-hurdles-762cm,hurdles,female,u18
10,13.01,0.0,Dior HALL,02 JAN 1996,USA,2,Donetsk (UKR),11 JUL 2013,,100m-hurdles-762cm,hurdles,female,u18
11,13.02,+1.8,Delta AMIDZOVSKI,23 AUG 2006,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",16 APR 2023,,100m-hurdles-762cm,hurdles,female,u18
12,13.04,+0.1,Maribel Vanessa CAICEDO,01 APR 1998,ECU,1,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,100m-hurdles-762cm,hurdles,female,u18
12,13.04,+0.4,Britany ANDERSON,03 JAN 2001,JAM,1sf1,Kingston (JAM),31 MAR 2017,,100m-hurdles-762cm,hurdles,female,u18
