rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2.10,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1319,high-jump,jumps,female,senior
2,2.09,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1309,high-jump,jumps,female,senior
3,2.08,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),31 MAY 1986,1299,high-jump,jumps,female,senior
3,2.08,,Kajsa BERGQVIST,12 OCT 1976,SWE,1,Arnstadt (GER) (i),04 FEB 2006,1299,high-jump,jumps,female,senior
3,2.08,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Zagreb (CRO),31 AUG 2009,1299,high-jump,jumps,female,senior
6,2.07,,Lyudmila ANDONOVA,06 MAY 1960,BUL,1,Berlin (GDR),20 JUL 1984,1289,high-jump,jumps,female,senior
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),25 MAY 1986,1289,high-jump,jumps,female,senior
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Cagliari (ITA),16 SEP 1987,1289,high-jump,jumps,female,senior
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),03 SEP 1988,1289,high-jump,jumps,female,senior
6,2.07,,Heike HENKEL,05 MAY 1964,GER,1,Karlsruhe (GER) (i),08 FEB 1992,1289,high-jump,jumps,female,senior
6,2.07,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Stockholm (SWE),07 AUG 2007,1289,high-jump,jumps,female,senior
6,2.07,,Anna CHICHEROVA,22 JUL 1982,RUS,1,Cheboksary (RUS),22 JUL 2011,1289,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Moskva (URS),18 AUG 1985,1279,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Fürth (GER),15 JUN 1986,1279,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Cagliari (ITA),14 SEP 1986,1279,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Wörrstadt (GER),06 JUN 1987,1279,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Rieti (ITA),08 SEP 1987,1279,high-jump,jumps,female,senior
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Athina (GRE) (i),20 FEB 1988,1279,high-jump,jumps,female,senior
13,2.06,,Kajsa BERGQVIST,12 OCT 1976,SWE,1,Eberstadt (GER),26 JUL 2003,1279,high-jump,jumps,female,senior
13,2.06,,Hestrie CLOETE,26 AUG 1978,RSA,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1279,high-jump,jumps,female,senior
13,2.06,,Yelena SLESARENKO,28 FEB 1982,RUS,1,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1279,high-jump,jumps,female,senior
13,2.06,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Thessaloniki (GRE),30 JUL 2007,1279,high-jump,jumps,female,senior
13,2.06,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Istanbul (TUR),22 JUN 2008,1279,high-jump,jumps,female,senior
13,2.06,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Madrid (ESP),05 JUL 2008,1279,high-jump,jumps,female,senior
13,2.06,,Ariane FRIEDRICH,10 JAN 1984,GER,1,"Olympiastadion, Berlin (GER)",14 JUN 2009,1279,high-jump,jumps,female,senior
13,2.06,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Arnstadt (GER) (i),06 FEB 2010,1279,high-jump,jumps,female,senior
