rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7.52,+1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Leningrad (URS),11 JUN 1988,1333,long-jump,jumps,female,senior
2,7.49,+1.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"New York, NY (USA)",22 MAY 1994,1327,long-jump,jumps,female,senior
2,7.49,+1.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Sestriere (ITA),31 JUL 1994,1327,long-jump,jumps,female,senior
4,7.48,+1.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),09 JUL 1988,1324,long-jump,jumps,female,senior
4,7.48,+0.4,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1324,long-jump,jumps,female,senior
6,7.45,+0.9,Heike DRECHSLER,16 DEC 1964,GDR,1,Tallinn (EST),21 JUN 1986,1318,long-jump,jumps,female,senior
6,7.45,+1.1,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),03 JUL 1986,1318,long-jump,jumps,female,senior
6,7.45,+0.6,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Indianapolis, IN (USA)",13 AUG 1987,1318,long-jump,jumps,female,senior
6,7.45,+1.0,Galina CHISTYAKOVA,26 JUL 1962,URS,,Leningrad (URS),11 JUN 1988,1318,long-jump,jumps,female,senior
6,7.45,+1.6,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Budapest (HUN),12 AUG 1988,1318,long-jump,jumps,female,senior
11,7.44,+2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),22 SEP 1985,1316,long-jump,jumps,female,senior
12,7.43,+1.4,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),04 JUN 1983,1313,long-jump,jumps,female,senior
13,7.42,+2.0,Tatyana KOTOVA,11 DEC 1976,RUS,1,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1311,long-jump,jumps,female,senior
14,7.40,+1.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),26 JUL 1984,1307,long-jump,jumps,female,senior
14,7.40,+0.7,Heike DRECHSLER,16 DEC 1964,GDR,1,Potsdam (GDR),21 AUG 1987,1307,long-jump,jumps,female,senior
14,7.40,+0.9,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,1307,long-jump,jumps,female,senior
17,7.39,+0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1304,long-jump,jumps,female,senior
