rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5.06,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1290,pole-vault,jumps,female,senior
2,5.05,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"National Stadium, Beijing (CHN)",18 AUG 2008,1286,pole-vault,jumps,female,senior
3,5.04,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Louis II, Monaco (MON)",29 JUL 2008,1283,pole-vault,jumps,female,senior
4,5.03,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1280,pole-vault,jumps,female,senior
4,5.03,,Jennifer SUHR,05 FEB 1982,USA,1,"Brockport, NY (USA) (i)",30 JAN 2016,1280,pole-vault,jumps,female,senior
6,5.02,,Jennifer SUHR,05 FEB 1982,USA,1,"Albuquerque, NM (USA) (i)",02 MAR 2013,1277,pole-vault,jumps,female,senior
7,5.01,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1274,pole-vault,jumps,female,senior
7,5.01,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Stockholm (SWE) (i),23 FEB 2012,1274,pole-vault,jumps,female,senior
7,5.01,,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1274,pole-vault,jumps,female,senior
10,5.00,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",22 JUL 2005,1271,pole-vault,jumps,female,senior
10,5.00,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Donetsk (UKR) (i),15 FEB 2009,1271,pole-vault,jumps,female,senior
10,5.00,,Sandi MORRIS,08 JUL 1992,USA,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1271,pole-vault,jumps,female,senior
13,4.97,,Yelena ISINBAYEVA,03 JUN 1982,RUS,,Donetsk (UKR) (i),15 FEB 2009,1261,pole-vault,jumps,female,senior
14,4.96,,Yelena ISINBAYEVA,03 JUN 1982,RUS,,"Crystal Palace, London (GBR)",22 JUL 2005,1258,pole-vault,jumps,female,senior
15,4.95,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Madrid (ESP),16 JUL 2005,1255,pole-vault,jumps,female,senior
15,4.95,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Donetsk (UKR) (i),16 FEB 2008,1255,pole-vault,jumps,female,senior
15,4.95,,Sandi MORRIS,08 JUL 1992,USA,1,"Portland, OR (USA) (i)",12 MAR 2016,1255,pole-vault,jumps,female,senior
15,4.95,,Sandi MORRIS,08 JUL 1992,USA,1,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1255,pole-vault,jumps,female,senior
15,4.95,,Sandi MORRIS,08 JUL 1992,USA,1,"Greenville, SC (USA)",27 JUL 2018,1255,pole-vault,jumps,female,senior
15,4.95,,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1255,pole-vault,jumps,female,senior
15,4.95,,Anzhelika SIDOROVA,28 JUN 1991,RUS,1f1,"Luzhniki Arena, Moskva (RUS) (i)",29 FEB 2020,1255,pole-vault,jumps,female,senior
15,4.95,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1255,pole-vault,jumps,female,senior
23,4.94,,Eliza MCCARTNEY,11 DEC 1996,NZL,1f1,Jockgrim (GER),17 JUL 2018,1252,pole-vault,jumps,female,senior
23,4.94,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Marietta HS, Marietta, GA (USA) (i)",11 JUN 2021,1252,pole-vault,jumps,female,senior
25,4.93,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1249,pole-vault,jumps,female,senior
25,4.93,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1249,pole-vault,jumps,female,senior
25,4.93,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Donetsk (UKR) (i),10 FEB 2007,1249,pole-vault,jumps,female,senior
25,4.93,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",25 JUL 2008,1249,pole-vault,jumps,female,senior
25,4.93,,Sandi MORRIS,08 JUL 1992,USA,1,"Houston, TX (USA)",23 JUL 2016,1249,pole-vault,jumps,female,senior
25,4.93,,Jennifer SUHR,05 FEB 1982,USA,1f2,"Austin, TX (USA)",14 APR 2018,1249,pole-vault,jumps,female,senior
25,4.93,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Marietta HS, Marietta, GA (USA)",23 MAY 2021,1249,pole-vault,jumps,female,senior
32,4.92,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1245,pole-vault,jumps,female,senior
32,4.92,,Jennifer SUHR,05 FEB 1982,USA,1,"Eugene, OR (USA)",06 JUL 2008,1245,pole-vault,jumps,female,senior
32,4.92,,Eliza MCCARTNEY,11 DEC 1996,NZL,1,Mannheim (GER),23 JUN 2018,1245,pole-vault,jumps,female,senior
32,4.92,,Anzhelika SIDOROVA,28 JUN 1991,RUS,1,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2020,1245,pole-vault,jumps,female,senior
32,4.92,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Life University Track & Field Stadium, Marietta, GA (USA)",01 AUG 2020,1245,pole-vault,jumps,female,senior
32,4.92,,Molly CAUDERY,17 MAR 2000,GBR,1f1,"Place du Capitole, Toulouse (FRA)",22 JUN 2024,1245,pole-vault,jumps,female,senior
38,4.91,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1242,pole-vault,jumps,female,senior
38,4.91,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Donetsk (UKR) (i),12 FEB 2006,1242,pole-vault,jumps,female,senior
38,4.91,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",28 JUL 2006,1242,pole-vault,jumps,female,senior
38,4.91,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2007,1242,pole-vault,jumps,female,senior
38,4.91,,Jennifer SUHR,05 FEB 1982,USA,1,"Rochester, NY (USA)",26 JUL 2011,1242,pole-vault,jumps,female,senior
38,4.91,,Jennifer SUHR,05 FEB 1982,USA,1,"Lyndonville, NY (USA)",14 JUN 2013,1242,pole-vault,jumps,female,senior
38,4.91,,Yarisley SILVA,01 JUN 1987,CUB,1f1,Beckum (GER),02 AUG 2015,1242,pole-vault,jumps,female,senior
38,4.91,,Jennifer SUHR,05 FEB 1982,USA,1,"Kent, OH (USA) (i)",16 JAN 2016,1242,pole-vault,jumps,female,senior
38,4.91,,Aikaterini STEFANIDI,04 FEB 1990,GRE,1,"Olympic Stadium, London (GBR)",06 AUG 2017,1242,pole-vault,jumps,female,senior
38,4.91,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Albuquerque, NM (USA) (i)",18 FEB 2018,1242,pole-vault,jumps,female,senior
38,4.91,,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Gallur, Madrid (ESP) (i)",08 FEB 2019,1242,pole-vault,jumps,female,senior
38,4.91,,Jennifer SUHR,05 FEB 1982,USA,1,"Austin, TX (USA)",30 MAR 2019,1242,pole-vault,jumps,female,senior
38,4.91,,Sandi MORRIS,08 JUL 1992,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2020,1242,pole-vault,jumps,female,senior
38,4.91,,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1242,pole-vault,jumps,female,senior
38,4.91,,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1242,pole-vault,jumps,female,senior
38,4.91,,Nina KENNEDY,05 APR 1997,AUS,1,"Haputbahnhof, Zürich (SUI) (i)",30 AUG 2023,1242,pole-vault,jumps,female,senior
38,4.91,,Amanda MOLL,31 JAN 2005,USA,1,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",28 FEB 2025,1242,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",30 JUL 2004,1239,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Palacio de Deportes, Madrid (ESP) (i)",06 MAR 2005,1239,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1239,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1239,pole-vault,jumps,female,senior
55,4.90,,Jennifer SUHR,05 FEB 1982,USA,1,"Carson, CA (USA)",18 MAY 2008,1239,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Praha (CZE) (i),26 FEB 2009,1239,pole-vault,jumps,female,senior
55,4.90,,Yarisley SILVA,01 JUN 1987,CUB,1,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1239,pole-vault,jumps,female,senior
55,4.90,,Yarisley SILVA,01 JUN 1987,CUB,1,"National Stadium, Beijing (CHN)",26 AUG 2015,1239,pole-vault,jumps,female,senior
55,4.90,,Aikaterini STEFANIDI,04 FEB 1990,GRE,1,"New York, NY (USA) (i)",20 FEB 2016,1239,pole-vault,jumps,female,senior
55,4.90,,Demi PAYNE,30 SEP 1991,USA,2,"New York, NY (USA) (i)",20 FEB 2016,1239,pole-vault,jumps,female,senior
55,4.90,,Jennifer SUHR,05 FEB 1982,USA,2,"Portland, OR (USA) (i)",12 MAR 2016,1239,pole-vault,jumps,female,senior
55,4.90,,Jennifer SUHR,05 FEB 1982,USA,1,"Oregon Convention Center, Portland, OR (USA) (i)",17 MAR 2016,1239,pole-vault,jumps,female,senior
55,4.90,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Cheboksary (RUS),21 JUN 2016,1239,pole-vault,jumps,female,senior
55,4.90,,Sandi MORRIS,08 JUL 1992,USA,1,"Reno, NV (USA) (i)",12 JAN 2018,1239,pole-vault,jumps,female,senior
55,4.90,,Anzhelika SIDOROVA,28 JUN 1991,ANA,2,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1239,pole-vault,jumps,female,senior
55,4.90,,Sandi MORRIS,08 JUL 1992,USA,2,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1239,pole-vault,jumps,female,senior
55,4.90,,Sandi MORRIS,08 JUL 1992,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",15 FEB 2020,1239,pole-vault,jumps,female,senior
55,4.90,,Anzhelika SIDOROVA,28 JUN 1991,RUS,1,"Luzhniki Arena, Moskva (RUS) (i)",21 FEB 2021,1239,pole-vault,jumps,female,senior
55,4.90,,Holly BRADSHAW,02 NOV 1991,GBR,1,"Sportcity Regional Arena, Manchester (GBR)",26 JUN 2021,1239,pole-vault,jumps,female,senior
55,4.90,,Katie NAGEOTTE,13 JUN 1991,USA,1,"Stade Louis II, Monaco (MON)",09 JUL 2021,1239,pole-vault,jumps,female,senior
55,4.90,,Katie NAGEOTTE,13 JUN 1991,USA,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1239,pole-vault,jumps,female,senior
55,4.90,,Katie MOON,13 JUN 1991,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1239,pole-vault,jumps,female,senior
55,4.90,,Katie MOON,13 JUN 1991,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1239,pole-vault,jumps,female,senior
55,4.90,,Nina KENNEDY,05 APR 1997,AUS,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1239,pole-vault,jumps,female,senior
55,4.90,,Nina KENNEDY,05 APR 1997,AUS,1,"Stade de France, Paris (FRA)",07 AUG 2024,1239,pole-vault,jumps,female,senior
55,4.90,,Katie MOON,13 JUN 1991,USA,1,"National Stadium, Tokyo (JPN)",17 SEP 2025,1239,pole-vault,jumps,female,senior
81,4.89,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Birmingham (GBR),25 JUL 2004,1236,pole-vault,jumps,female,senior
81,4.89,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Liévin (FRA) (i),26 FEB 2005,1236,pole-vault,jumps,female,senior
81,4.89,,Jennifer SUHR,05 FEB 1982,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1236,pole-vault,jumps,female,senior
81,4.89,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Luzhniki Stadion, Moskva (RUS)",13 AUG 2013,1236,pole-vault,jumps,female,senior
85,4.88,,Svetlana FEOFANOVA,16 JUL 1980,RUS,1,Herakleion (GRE),04 JUL 2004,1233,pole-vault,jumps,female,senior
85,4.88,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2005,1233,pole-vault,jumps,female,senior
85,4.88,,Jennifer SUHR,05 FEB 1982,USA,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1233,pole-vault,jumps,female,senior
85,4.88,,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1233,pole-vault,jumps,female,senior
85,4.88,,Jennifer SUHR,05 FEB 1982,USA,1,"Boston, MA (USA) (i)",04 FEB 2012,1233,pole-vault,jumps,female,senior
85,4.88,,Demi PAYNE,30 SEP 1991,USA,1,"Albuquerque, NM (USA) (i)",06 FEB 2016,1233,pole-vault,jumps,female,senior
85,4.88,,Sandi MORRIS,08 JUL 1992,USA,1,"Des Moines, IA (USA)",28 APR 2018,1233,pole-vault,jumps,female,senior
85,4.88,,Sandi MORRIS,08 JUL 1992,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",07 FEB 2021,1233,pole-vault,jumps,female,senior
85,4.88,,Nina KENNEDY,05 APR 1997,AUS,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1233,pole-vault,jumps,female,senior
85,4.88,,Angelica MOSER,09 OCT 1997,SUI,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1233,pole-vault,jumps,female,senior
85,4.88,,Nina KENNEDY,05 APR 1997,AUS,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1233,pole-vault,jumps,female,senior
85,4.88,,Amanda MOLL,31 JAN 2005,USA,1f1,"Convention Center, Albuquerque, NM (USA) (i)",15 FEB 2025,1233,pole-vault,jumps,female,senior
