rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,15.74,,Yulimar ROJAS,21 OCT 1995,VEN,1,"Štark Arena, Beograd (SRB) (i)",20 MAR 2022,1297,triple-jump,jumps,female,senior
2,15.67,+0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,"National Stadium, Tokyo (JPN)",01 AUG 2021,1290,triple-jump,jumps,female,senior
3,15.52,+0.6,Yulimar ROJAS,21 OCT 1995,VEN,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1274,triple-jump,jumps,female,senior
4,15.50,+0.9,Inessa KRAVETS,05 OCT 1966,UKR,1,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1272,triple-jump,jumps,female,senior
5,15.48,+0.3,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1270,triple-jump,jumps,female,senior
6,15.47,+1.9,Yulimar ROJAS,21 OCT 1995,VEN,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1269,triple-jump,jumps,female,senior
7,15.43,,Yulimar ROJAS,21 OCT 1995,VEN,1,"Gallur, Madrid (ESP) (i)",21 FEB 2020,1265,triple-jump,jumps,female,senior
7,15.43,+0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,"Polideportivo Municipal, Andújar (ESP)",22 MAY 2021,1265,triple-jump,jumps,female,senior
9,15.41,+1.5,Yulimar ROJAS,21 OCT 1995,VEN,1,Andújar (ESP),06 SEP 2019,1263,triple-jump,jumps,female,senior
9,15.41,,Yulimar ROJAS,21 OCT 1995,VEN,1,"Gallur, Madrid (ESP) (i)",02 MAR 2022,1263,triple-jump,jumps,female,senior
11,15.39,+0.5,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"National Stadium, Beijing (CHN)",17 AUG 2008,1260,triple-jump,jumps,female,senior
12,15.37,-0.6,Yulimar ROJAS,21 OCT 1995,VEN,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1261,triple-jump,jumps,female,senior
13,15.36,,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Sportaréna, Budapest (HUN) (i)",06 MAR 2004,1257,triple-jump,jumps,female,senior
14,15.35,+1.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1256,triple-jump,jumps,female,senior
15,15.34,-0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Herakleion (GRE),04 JUL 2004,1258,triple-jump,jumps,female,senior
16,15.33,-0.1,Inessa KRAVETS,05 OCT 1966,UKR,1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1254,triple-jump,jumps,female,senior
16,15.33,+1.2,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1254,triple-jump,jumps,female,senior
18,15.32,+0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Yokohama (JPN),09 SEP 2000,1253,triple-jump,jumps,female,senior
18,15.32,+0.9,Chrysopigi DEVETZI,02 JAN 1976,GRE,1q1,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1253,triple-jump,jumps,female,senior
20,15.31,0.0,Caterine IBARGUEN,12 FEB 1984,COL,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1252,triple-jump,jumps,female,senior
20,15.31,-0.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1253,triple-jump,jumps,female,senior
22,15.30,+0.5,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1251,triple-jump,jumps,female,senior
23,15.29,+0.3,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1250,triple-jump,jumps,female,senior
24,15.28,+0.3,Yamilé ALDAMA,14 AUG 1972,SUD,1,Linz (AUT),02 AUG 2004,1249,triple-jump,jumps,female,senior
24,15.28,+0.9,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1249,triple-jump,jumps,female,senior
24,15.28,-0.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1250,triple-jump,jumps,female,senior
27,15.27,+1.2,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Crystal Palace, London (GBR)",08 AUG 2003,1248,triple-jump,jumps,female,senior
28,15.25,-0.8,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Commonwealth Stadium, Edmonton (CAN)",10 AUG 2001,1250,triple-jump,jumps,female,senior
28,15.25,,Tatyana LEBEDEVA,21 JUL 1976,RUS,,"Sportaréna, Budapest (HUN) (i)",06 MAR 2004,1246,triple-jump,jumps,female,senior
28,15.25,-0.1,Chrysopigi DEVETZI,02 JAN 1976,GRE,2,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1246,triple-jump,jumps,female,senior
28,15.25,+1.7,Olga RYPAKOVA,30 NOV 1984,KAZ,1,"Poljud Stadion, Split (CRO)",04 SEP 2010,1246,triple-jump,jumps,female,senior
32,15.23,+0.8,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Rethymno (GRE),23 JUN 2004,1244,triple-jump,jumps,female,senior
32,15.23,+0.6,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1244,triple-jump,jumps,female,senior
34,15.21,+1.2,Yamilé ALDAMA,14 AUG 1972,SUD,2,Rethymno (GRE),23 JUN 2004,1242,triple-jump,jumps,female,senior
35,15.20,0.0,Šárka KAŠPÁRKOVÁ,20 MAY 1971,CZE,1,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1241,triple-jump,jumps,female,senior
35,15.20,-0.3,Tereza MARINOVA,25 SEP 1977,BUL,1,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1242,triple-jump,jumps,female,senior
35,15.20,+1.3,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Rethymno (GRE),14 JUL 2008,1241,triple-jump,jumps,female,senior
38,15.19,+0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1240,triple-jump,jumps,female,senior
38,15.19,+1.4,Yulimar ROJAS,21 OCT 1995,VEN,,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1240,triple-jump,jumps,female,senior
40,15.18,+0.3,Iva PRANDZHEVA,15 FEB 1972,BUL,2,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1239,triple-jump,jumps,female,senior
40,15.18,-0.2,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1240,triple-jump,jumps,female,senior
40,15.18,+0.3,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1239,triple-jump,jumps,female,senior
43,15.17,+0.4,Caterine IBARGUEN,12 FEB 1984,COL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1238,triple-jump,jumps,female,senior
44,15.16,+0.1,Rodica MATEESCU,13 MAR 1971,ROU,2,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1237,triple-jump,jumps,female,senior
44,15.16,,Ashia HANSEN,05 DEC 1971,GBR,1,"Velódromo Luis Puig, Valencia (ESP) (i)",28 FEB 1998,1237,triple-jump,jumps,female,senior
44,15.16,,Tatyana LEBEDEVA,21 JUL 1976,RUS,,"Sportaréna, Budapest (HUN) (i)",06 MAR 2004,1237,triple-jump,jumps,female,senior
44,15.16,+0.7,Trecia Kaye SMITH,05 NOV 1975,JAM,2,Linz (AUT),02 AUG 2004,1237,triple-jump,jumps,female,senior
44,15.16,+1.1,Yulimar ROJAS,21 OCT 1995,VEN,1,San Salvador (ESA),05 JUL 2023,1237,triple-jump,jumps,female,senior
49,15.15,+1.7,Ashia HANSEN,05 DEC 1971,GBR,1,Fukuoka (JPN),13 SEP 1997,1236,triple-jump,jumps,female,senior
49,15.15,+1.4,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,1236,triple-jump,jumps,female,senior
49,15.15,+2.0,Yulimar ROJAS,21 OCT 1995,VEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1236,triple-jump,jumps,female,senior
49,15.15,+0.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",31 AUG 2023,1236,triple-jump,jumps,female,senior
53,15.14,-0.1,Rodica MATEESCU,13 MAR 1971,ROU,1,Bucureşti (ROU),14 JUN 1997,1235,triple-jump,jumps,female,senior
53,15.14,+0.3,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1235,triple-jump,jumps,female,senior
53,15.14,+0.7,Tatyana LEBEDEVA,21 JUL 1976,RUS,3,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1235,triple-jump,jumps,female,senior
53,15.14,+0.9,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1235,triple-jump,jumps,female,senior
53,15.14,+1.9,Nadezhda ALYOKHINA,22 SEP 1978,RUS,1,Cheboksary (RUS),26 JUL 2009,1235,triple-jump,jumps,female,senior
53,15.14,,Olga RYPAKOVA,30 NOV 1984,KAZ,1,"Aspire Dome, Doha (QAT) (i)",13 MAR 2010,1235,triple-jump,jumps,female,senior
53,15.14,+2.0,Yulimar ROJAS,21 OCT 1995,VEN,1,Ibiza (ESP),08 MAY 2021,1235,triple-jump,jumps,female,senior
60,15.13,+0.1,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Louis II, Monaco (MON)",13 SEP 2003,1234,triple-jump,jumps,female,senior
60,15.13,+1.4,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1234,triple-jump,jumps,female,senior
