rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:48.68,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1298,1500-metres,middlelong,female,senior
2,3:49.04,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1295,1500-metres,middlelong,female,senior
3,3:49.11,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1295,1500-metres,middlelong,female,senior
4,3:50.07,,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1287,1500-metres,middlelong,female,senior
5,3:50.30,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1285,1500-metres,middlelong,female,senior
6,3:50.37,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1284,1500-metres,middlelong,female,senior
7,3:50.62,,Gudaf TSEGAY,23 JAN 1997,ETH,1,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1282,1500-metres,middlelong,female,senior
8,3:50.72,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1281,1500-metres,middlelong,female,senior
9,3:50.83,,Jessica HULL,22 OCT 1996,AUS,2,"Stade Charléty, Paris (FRA)",07 JUL 2024,1280,1500-metres,middlelong,female,senior
10,3:51.07,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",09 JUL 2021,1278,1500-metres,middlelong,female,senior
11,3:51.29,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade de France, Paris (FRA)",10 AUG 2024,1277,1500-metres,middlelong,female,senior
12,3:51.41,,Faith KIPYEGON,10 JAN 1994,KEN,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1276,1500-metres,middlelong,female,senior
13,3:51.44,,Diribe WELTEJI,13 MAY 2002,ETH,2,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1275,1500-metres,middlelong,female,senior
14,3:51.95,,Sifan HASSAN,01 JAN 1993,NED,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1271,1500-metres,middlelong,female,senior
15,3:52.15,,Faith KIPYEGON,10 JAN 1994,KEN,1,"National Stadium, Tokyo (JPN)",16 SEP 2025,1269,1500-metres,middlelong,female,senior
16,3:52.56,,Jessica HULL,22 OCT 1996,AUS,2,"Stade de France, Paris (FRA)",10 AUG 2024,1266,1500-metres,middlelong,female,senior
17,3:52.59,,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1266,1500-metres,middlelong,female,senior
18,3:52.61,,Georgia BELL,17 OCT 1993,GBR,3,"Stade de France, Paris (FRA)",10 AUG 2024,1266,1500-metres,middlelong,female,senior
