rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:51.34,,Yinglai LANG,22 AUG 1979,CHN,2,Shanghai (CHN),18 OCT 1997,1276,1500-metres,middlelong,female,u20
2,3:53.22,,Birke HAYLOM,06 JAN 2006,ETH,2,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1261,1500-metres,middlelong,female,u20
3,3:53.91,,Lili YIN,11 NOV 1979,CHN,3,Shanghai (CHN),18 OCT 1997,1255,1500-metres,middlelong,female,u20
4,3:53.97,,Lixin LAN,14 FEB 1979,CHN,4,Shanghai (CHN),18 OCT 1997,1254,1500-metres,middlelong,female,u20
5,3:54.52,,Ling ZHANG,13 APR 1980,CHN,5,Shanghai (CHN),18 OCT 1997,1250,1500-metres,middlelong,female,u20
6,3:54.79,,Birke HAYLOM,06 JAN 2006,ETH,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1248,1500-metres,middlelong,female,u20
7,3:54.93,,Birke HAYLOM,06 JAN 2006,ETH,2,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1247,1500-metres,middlelong,female,u20
8,3:55.01,,Lixin LAN,14 FEB 1979,CHN,h,Shanghai (CHN),17 OCT 1997,1246,1500-metres,middlelong,female,u20
9,3:55.47,,Ling ZHANG,13 APR 1980,CHN,h,Shanghai (CHN),17 OCT 1997,1242,1500-metres,middlelong,female,u20
10,3:56.79,,Birke HAYLOM,06 JAN 2006,ETH,7,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1231,1500-metres,middlelong,female,u20
11,3:56.98,,Faith KIPYEGON,10 JAN 1994,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1230,1500-metres,middlelong,female,u20
11,3:56.98,,Birke HAYLOM,06 JAN 2006,ETH,6,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1230,1500-metres,middlelong,female,u20
13,3:57.15,,Yinglai LANG,22 AUG 1979,CHN,h,Shanghai (CHN),17 OCT 1997,1229,1500-metres,middlelong,female,u20
14,3:57.50,,Birke HAYLOM,06 JAN 2006,ETH,3,"Stade Charléty, Paris (FRA)",20 JUN 2025,1226,1500-metres,middlelong,female,u20
15,3:57.66,,Birke HAYLOM,06 JAN 2006,ETH,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1224,1500-metres,middlelong,female,u20
16,3:57.72,,Saron BERHE,22 AUG 2007,ETH,8,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1224,1500-metres,middlelong,female,u20
17,3:58.22,,Lili YIN,11 NOV 1979,CHN,h,Shanghai (CHN),17 OCT 1997,1220,1500-metres,middlelong,female,u20
18,3:58.43,,Birke HAYLOM,06 JAN 2006,ETH,2,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1241,1500-metres,middlelong,female,u20
19,3:58.93,,Diribe WELTEJI,13 MAY 2002,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1214,1500-metres,middlelong,female,u20
20,3:59.19,,Birke HAYLOM,06 JAN 2006,ETH,2,"Sports Park Mladost, Zagreb (CRO)",24 MAY 2025,1212,1500-metres,middlelong,female,u20
21,3:59.21,,Saron BERHE,22 AUG 2007,ETH,8,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1212,1500-metres,middlelong,female,u20
22,3:59.27,,Birke HAYLOM,06 JAN 2006,ETH,8,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1211,1500-metres,middlelong,female,u20
23,3:59.49,,Birke HAYLOM,06 JAN 2006,ETH,,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1210,1500-metres,middlelong,female,u20
24,3:59.53,,Dawit SEYAUM,27 JUL 1996,ETH,1,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1209,1500-metres,middlelong,female,u20
25,3:59.60,,Gelete BURKA,23 JAN 1986,ETH,5,Rieti (ITA),28 AUG 2005,1209,1500-metres,middlelong,female,u20
26,3:59.70,,Birke HAYLOM,06 JAN 2006,ETH,7,"Letzigrund, Zürich (SUI)",28 AUG 2025,1208,1500-metres,middlelong,female,u20
27,3:59.76,,Dawit SEYAUM,27 JUL 1996,ETH,3,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1207,1500-metres,middlelong,female,u20
28,3:59.81,,Yuan WANG,08 APR 1976,CHN,7,Beijing (CHN),11 SEP 1993,1207,1500-metres,middlelong,female,u20
29,3:59.82,,Birke HAYLOM,06 JAN 2006,ETH,2,"Arena, Toruń (POL) (i)",16 FEB 2025,1229,1500-metres,middlelong,female,u20
30,3:59.84,,Birke HAYLOM,06 JAN 2006,ETH,4,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1207,1500-metres,middlelong,female,u20
31,3:59.93,,Saron BERHE,22 AUG 2007,ETH,4,"Stade Olympique, Rabat (MAR)",25 MAY 2025,1206,1500-metres,middlelong,female,u20
32,3:59.96,,Zola BUDD,26 MAY 1966,GBR,3,Bruxelles (BEL),30 AUG 1985,1206,1500-metres,middlelong,female,u20
