rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5:47.42,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1242,2000-metres-steeplechase,middlelong,female,senior
2,5:52.80,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2019,1219,2000-metres-steeplechase,middlelong,female,senior
3,5:52.92,,Winnie JEMUTAI,04 OCT 2003,KEN,2,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1219,2000-metres-steeplechase,middlelong,female,senior
4,5:53.38,,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,3,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1217,2000-metres-steeplechase,middlelong,female,senior
5,5:56.28,,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1,"Stadion Park Šiška, Ljubljana (SLO)",16 JUL 2020,1205,2000-metres-steeplechase,middlelong,female,senior
6,5:56.71,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2024,1203,2000-metres-steeplechase,middlelong,female,senior
7,5:56.79,,Luiza GEGA,05 NOV 1988,ALB,4,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1203,2000-metres-steeplechase,middlelong,female,senior
8,5:56.83,,Winfred YAVI,31 DEC 1999,BRN,2,"Olympiastadion, Berlin (GER)",01 SEP 2019,1202,2000-metres-steeplechase,middlelong,female,senior
8,5:56.83,,Yekaterina IVONINA,14 JUN 1994,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 JUL 2023,1202,2000-metres-steeplechase,middlelong,female,senior
10,5:57.76,,Lea MEYER,16 SEP 1997,GER,1,"Olympiastadion, Berlin (GER)",27 JUL 2025,1198,2000-metres-steeplechase,middlelong,female,senior
11,6:00.07,,Luiza GEGA,05 NOV 1988,ALB,3,"Olympiastadion, Berlin (GER)",01 SEP 2019,1189,2000-metres-steeplechase,middlelong,female,senior
12,6:00.50,,Olivia GÜRTH,31 MAY 2002,GER,2,"Olympiastadion, Berlin (GER)",01 SEP 2024,1187,2000-metres-steeplechase,middlelong,female,senior
13,6:00.81,,Aneta KONIECZEK,08 JUN 1997,POL,1,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1186,2000-metres-steeplechase,middlelong,female,senior
14,6:01.47,,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1183,2000-metres-steeplechase,middlelong,female,senior
15,6:02.04,,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,2,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1181,2000-metres-steeplechase,middlelong,female,senior
16,6:02.16,,Virginia NYAMBURA,20 JUL 1993,KEN,1,"Olympiastadion, Berlin (GER)",06 SEP 2015,1180,2000-metres-steeplechase,middlelong,female,senior
17,6:02.47,,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Olympiastadion, Berlin (GER)",06 SEP 2015,1179,2000-metres-steeplechase,middlelong,female,senior
18,6:02.61,,Winnie JEMUTAI,04 OCT 2003,KEN,3,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1178,2000-metres-steeplechase,middlelong,female,senior
19,6:03.16,,Yekaterina IVONINA,14 JUN 1994,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",23 JUN 2022,1176,2000-metres-steeplechase,middlelong,female,senior
20,6:03.38,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,1,Gdansk (POL),15 JUL 2006,1175,2000-metres-steeplechase,middlelong,female,senior
21,6:03.75,,Kinga KRÓLIK,26 SEP 1999,POL,1,"Golęcin Stadion, Poznan (POL)",05 JUL 2025,1174,2000-metres-steeplechase,middlelong,female,senior
22,6:04.05,,Marwa BOUZAYANI,26 MAR 1997,TUN,1,"Stade L. Lagrange, Toulon (FRA)",12 MAY 2023,1172,2000-metres-steeplechase,middlelong,female,senior
23,6:04.20,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,3,"Olympiastadion, Berlin (GER)",06 SEP 2015,1172,2000-metres-steeplechase,middlelong,female,senior
24,6:04.29,,Alicja KONIECZEK,02 NOV 1994,POL,2,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1171,2000-metres-steeplechase,middlelong,female,senior
25,6:04.46,,Dorcus INZIKURU,02 FEB 1982,UGA,1,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1171,2000-metres-steeplechase,middlelong,female,senior
26,6:04.79,,Jolanda KALLABIS,18 FEB 2005,GER,2,"Olympiastadion, Berlin (GER)",27 JUL 2025,1169,2000-metres-steeplechase,middlelong,female,senior
27,6:05.16,,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,2,"Golęcin Stadion, Poznan (POL)",05 JUL 2025,1168,2000-metres-steeplechase,middlelong,female,senior
28,6:05.53,,Eline DALEMANS,25 FEB 1991,BEL,3,"Olympiastadion, Berlin (GER)",27 JUL 2025,1166,2000-metres-steeplechase,middlelong,female,senior
29,6:06.21,,Carolina ROBLES,04 DEC 1991,ESP,3,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1163,2000-metres-steeplechase,middlelong,female,senior
30,6:06.85,,Aneta KONIECZEK,08 JUN 1997,POL,4,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1161,2000-metres-steeplechase,middlelong,female,senior
31,6:07.01,,Fancy CHERONO,02 AUG 2001,KEN,4,"Olympiastadion, Berlin (GER)",01 SEP 2019,1160,2000-metres-steeplechase,middlelong,female,senior
32,6:07.72,,Jolanda KALLABIS,18 FEB 2005,GER,1,"Moselstadion, Trier (GER)",09 SEP 2022,1157,2000-metres-steeplechase,middlelong,female,senior
33,6:08.17,,Aimee PRATT,03 OCT 1997,GBR,1,"Birmingham University Athletics Track, Birmingham (GBR)",14 MAY 2022,1155,2000-metres-steeplechase,middlelong,female,senior
34,6:09.28,,Kinga KRÓLIK,26 SEP 1999,POL,4,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1151,2000-metres-steeplechase,middlelong,female,senior
35,6:09.46,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Rehlingen (GER),16 MAY 2016,1150,2000-metres-steeplechase,middlelong,female,senior
36,6:09.48,,Viktória WAGNER-GYÜRKÉS,15 OCT 1992,HUN,5,"Olympiastadion, Berlin (GER)",01 SEP 2019,1150,2000-metres-steeplechase,middlelong,female,senior
36,6:09.48,,Genevieve GREGSON,04 AUG 1989,AUS,6,"Olympiastadion, Berlin (GER)",01 SEP 2019,1150,2000-metres-steeplechase,middlelong,female,senior
38,6:09.50,,Cara FEAIN-RYAN,05 FEB 1999,AUS,5,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1150,2000-metres-steeplechase,middlelong,female,senior
39,6:09.62,,Kinga KRÓLIK,26 SEP 1999,POL,3,"Olympiastadion, Berlin (GER)",01 SEP 2024,1149,2000-metres-steeplechase,middlelong,female,senior
40,6:09.81,,Madie BOREMAN,10 JUL 1998,USA,1,"Birmingham University Athletics Track, Birmingham (GBR)",29 JUL 2023,1149,2000-metres-steeplechase,middlelong,female,senior
41,6:09.85,,Joana SOARES,08 SEP 1993,POR,1,Madeira (POR),25 JUL 2020,1149,2000-metres-steeplechase,middlelong,female,senior
42,6:10.46,,Olivia GÜRTH,31 MAY 2002,GER,1,"Moselstadion, Trier (GER)",08 SEP 2023,1146,2000-metres-steeplechase,middlelong,female,senior
43,6:10.47,,Olivia GÜRTH,31 MAY 2002,GER,4,"Olympiastadion, Berlin (GER)",27 JUL 2025,1146,2000-metres-steeplechase,middlelong,female,senior
44,6:10.50,,Kinga KRÓLIK,26 SEP 1999,POL,2,"Moselstadion, Trier (GER)",08 SEP 2023,1146,2000-metres-steeplechase,middlelong,female,senior
45,6:10.82,,Magdalyne MASAI,21 NOV 1993,KEN,4,"Olympiastadion, Berlin (GER)",06 SEP 2015,1145,2000-metres-steeplechase,middlelong,female,senior
46,6:10.88,,Olivia GÜRTH,31 MAY 2002,GER,1,"Moselstadion, Trier (GER)",06 SEP 2024,1144,2000-metres-steeplechase,middlelong,female,senior
47,6:10.91,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Moselstadion, Trier (GER)",17 SEP 2021,1144,2000-metres-steeplechase,middlelong,female,senior
48,6:11.09,,Flavie RENOUARD,10 SEP 2000,FRA,4,"Olympiastadion, Berlin (GER)",01 SEP 2024,1143,2000-metres-steeplechase,middlelong,female,senior
49,6:11.63,,Lívia TÓTH,07 JAN 1980,HUN,2,Gdansk (POL),15 JUL 2006,1141,2000-metres-steeplechase,middlelong,female,senior
50,6:11.79,,Elizabeth BIRD,04 OCT 1994,GBR,1,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1141,2000-metres-steeplechase,middlelong,female,senior
