rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8:58.78,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2017,1247,3000-metres-steeplechase,middlelong,female,u20
2,8:59.65,,Faith CHEROTICH,13 JUL 2004,KEN,3,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1245,3000-metres-steeplechase,middlelong,female,u20
3,9:00.69,,Faith CHEROTICH,13 JUL 2004,KEN,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1243,3000-metres-steeplechase,middlelong,female,u20
4,9:00.71,,Sembo ALMAYEW,24 JAN 2005,ETH,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1242,3000-metres-steeplechase,middlelong,female,u20
5,9:00.83,,Sembo ALMAYEW,24 JAN 2005,ETH,5,"Stade de France, Paris (FRA)",06 AUG 2024,1242,3000-metres-steeplechase,middlelong,female,u20
6,9:01.82,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,2,"Stade Charléty, Paris (FRA)",30 JUN 2018,1240,3000-metres-steeplechase,middlelong,female,u20
7,9:02.43,,Jackline CHEPKOECH,03 OCT 2003,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1238,3000-metres-steeplechase,middlelong,female,u20
8,9:05.14,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,2,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1231,3000-metres-steeplechase,middlelong,female,u20
9,9:05.70,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1230,3000-metres-steeplechase,middlelong,female,u20
10,9:05.83,,Sembo ALMAYEW,24 JAN 2005,ETH,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1229,3000-metres-steeplechase,middlelong,female,u20
11,9:06.14,,Faith CHEROTICH,13 JUL 2004,KEN,3,"Letzigrund, Zürich (SUI)",08 SEP 2022,1229,3000-metres-steeplechase,middlelong,female,u20
