rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,40:59.93,,Elvira CHEPAREVA,10 JAN 2000,RUS,1,"Kalininets Stadium, Yekaterinburg (RUS)",15 AUG 2024,1231,10000-metres-race-walk,race-walks,female,senior
2,41:11.48,,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,2,"Kalininets Stadium, Yekaterinburg (RUS)",15 AUG 2024,1223,10000-metres-race-walk,race-walks,female,senior
3,41:22.5h,,Elvira CHEPAREVA,10 JAN 2000,RUS,1,"Football and athletics Arena, Saransk (RUS) (i)",24 SEP 2023,1217,10000-metres-race-walk,race-walks,female,senior
4,41:37.9h,,Hongmiao GAO,17 MAR 1974,CHN,1,Beijing (CHN),07 APR 1994,1207,10000-metres-race-walk,race-walks,female,senior
5,41:41.9h,,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,2,"Football and athletics Arena, Saransk (RUS) (i)",24 SEP 2023,1205,10000-metres-race-walk,race-walks,female,senior
6,41:42.5h,,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,Mukachevo (UKR),01 NOV 2014,1204,10000-metres-race-walk,race-walks,female,senior
7,41:45.84,,Elvira KHASANOVA,10 JAN 2000,RUS,1,Cheboksary (RUS),03 AUG 2019,1202,10000-metres-race-walk,race-walks,female,senior
8,41:56.23,,Nadezhda RYASHKINA,22 JAN 1967,URS,1,"Seattle, WA (USA)",24 JUL 1990,1196,10000-metres-race-walk,race-walks,female,senior
9,41:57.22,,Kerry SAXBY,02 JUN 1961,AUS,2,"Seattle, WA (USA)",24 JUL 1990,1195,10000-metres-race-walk,race-walks,female,senior
10,41:57.29,,Antonella PALMISANO,06 AUG 1991,ITA,1,Orvieto (ITA),23 APR 2017,1195,10000-metres-race-walk,race-walks,female,senior
11,42:02.99,,Lorena ARENAS,17 SEP 1993,COL,1,Trujillo (PER),25 AUG 2018,1192,10000-metres-race-walk,race-walks,female,senior
12,42:11.5h,,Beate ANDERS,04 FEB 1968,GER,1,Fana (NOR),15 MAY 1992,1186,10000-metres-race-walk,race-walks,female,senior
13,42:13.7h,,Madelein SVENSSON,20 JUL 1969,SWE,2,Fana (NOR),15 MAY 1992,1185,10000-metres-race-walk,race-walks,female,senior
14,42:14.12,,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Gijón (ESP),23 JUL 2016,1185,10000-metres-race-walk,race-walks,female,senior
15,42:22.6h,,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),08 MAY 1993,1180,10000-metres-race-walk,race-walks,female,senior
16,42:23.37,,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),26 JUL 2014,1179,10000-metres-race-walk,race-walks,female,senior
17,42:23.7h,,Ileana SALVADOR,16 JAN 1962,ITA,2,Fana (NOR),08 MAY 1993,1179,10000-metres-race-walk,race-walks,female,senior
18,42:23.9h,,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,3,Fana (NOR),15 MAY 1992,1179,10000-metres-race-walk,race-walks,female,senior
19,42:24.68,,María PÉREZ,29 APR 1996,ESP,1,"Estadi Natalia Rodríguez, Tarragona (ESP)",02 AUG 2025,1178,10000-metres-race-walk,race-walks,female,senior
20,42:25.2h,,Kerry SAXBY,02 JUN 1961,AUS,1,Bergen (NOR),26 MAY 1990,1178,10000-metres-race-walk,race-walks,female,senior
21,42:25.77,,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,"Miesto Stadionas, Alytus (LTU)",20 SEP 2024,1178,10000-metres-race-walk,race-walks,female,senior
22,42:26.29,,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),10 JAN 1993,1177,10000-metres-race-walk,race-walks,female,senior
23,42:27.5h,,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),25 MAY 1995,1177,10000-metres-race-walk,race-walks,female,senior
24,42:29.06,,Elisa RIGAUDO,17 JUN 1980,ITA,1,Mondovi (ITA),01 MAY 2013,1176,10000-metres-race-walk,race-walks,female,senior
25,42:29.4h,,Beate ANDERS,04 FEB 1968,GDR,2,Bergen (NOR),26 MAY 1990,1176,10000-metres-race-walk,race-walks,female,senior
25,42:29.4h,,Beate ANDERS,04 FEB 1968,GER,1,Fana (NOR),26 MAY 1990,1176,10000-metres-race-walk,race-walks,female,senior
27,42:30.13,,Hongmiao GAO,17 MAR 1974,CHN,1,Nanjing (CHN),24 OCT 1995,1175,10000-metres-race-walk,race-walks,female,senior
28,42:30.31,,Olimpiada IVANOVA,29 AUG 1970,RUS,1,St. Petersburg (RUS),26 JUL 1994,1175,10000-metres-race-walk,race-walks,female,senior
29,42:32.74,,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),27 JUL 2013,1174,10000-metres-race-walk,race-walks,female,senior
30,42:34.30,,Jemima MONTAG,15 FEB 1998,AUS,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1173,10000-metres-race-walk,race-walks,female,senior
31,42:35.2h,,Jemima MONTAG,15 FEB 1998,AUS,1,"George Knott Track, Collingwood, Melbourne (AUS)",31 JAN 2021,1172,10000-metres-race-walk,race-walks,female,senior
32,42:35.69,,Beatriz PASCUAL,09 MAY 1982,ESP,2,Gijón (ESP),23 JUL 2016,1172,10000-metres-race-walk,race-walks,female,senior
33,42:37.0h,,Sari ESSAYAH,21 FEB 1967,FIN,3,Fana (NOR),08 MAY 1993,1171,10000-metres-race-walk,race-walks,female,senior
34,42:38.24,,Hongyu LIU,11 JAN 1975,CHN,2,Nanjing (CHN),24 OCT 1995,1170,10000-metres-race-walk,race-walks,female,senior
35,42:39.2h,,Ileana SALVADOR,16 JAN 1962,ITA,1,Roma (ITA),17 JUN 1989,1170,10000-metres-race-walk,race-walks,female,senior
35,42:39.2h,,Jemima MONTAG,15 FEB 1998,AUS,1,"AIS Athletics Track, Canberra (AUS)",22 JAN 2022,1170,10000-metres-race-walk,race-walks,female,senior
37,42:40.33,,Beatriz PASCUAL,09 MAY 1982,ESP,1,Avilés (ESP),17 JUL 2010,1169,10000-metres-race-walk,race-walks,female,senior
38,42:40.37,,Haixia FENG,23 FEB 1975,CHN,3,Nanjing (CHN),24 OCT 1995,1169,10000-metres-race-walk,race-walks,female,senior
39,42:40.9h,,Antonella PALMISANO,06 AUG 1991,ITA,1,Roma (ITA),28 APR 2019,1169,10000-metres-race-walk,race-walks,female,senior
40,42:42.81,,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,1,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1167,10000-metres-race-walk,race-walks,female,senior
41,42:43.0h,,Svetlana VASILYEVA,24 JUL 1992,RUS,1,Sochi (RUS),27 FEB 2011,1167,10000-metres-race-walk,race-walks,female,senior
42,42:43.23,,Yelena SAYKO,24 DEC 1967,RUS,2,St. Petersburg (RUS),26 JUL 1994,1167,10000-metres-race-walk,race-walks,female,senior
43,42:45.0h,,Elisabetta PERRONE,09 JUL 1968,ITA,1,Catania (ITA),30 MAY 1999,1166,10000-metres-race-walk,race-walks,female,senior
44,42:45.4h,,Sari ESSAYAH,21 FEB 1967,FIN,3,St. Petersburg (RUS),26 JUL 1994,1166,10000-metres-race-walk,race-walks,female,senior
45,42:46.70,,Yingzi CUI,26 JAN 1971,CHN,1,Jinan (CHN),15 MAR 1992,1165,10000-metres-race-walk,race-walks,female,senior
45,42:46.70,,Yueling CHEN,01 APR 1968,CHN,2,Jinan (CHN),15 MAR 1992,1165,10000-metres-race-walk,race-walks,female,senior
47,42:47.25,,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,1165,10000-metres-race-walk,race-walks,female,senior
48,42:47.4h,,Katarzyna RADTKE,31 AUG 1969,POL,4,Fana (NOR),08 MAY 1993,1165,10000-metres-race-walk,race-walks,female,senior
