rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:37:11,,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1,Saransk (RUS),20 MAY 2023,1263,35-kilometres-race-walk,race-walks,female,senior
2,2:37:15,,María PÉREZ,29 APR 1996,ESP,1,Poděbrady (CZE),21 MAY 2023,1262,35-kilometres-race-walk,race-walks,female,senior
3,2:37:44,,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1,Dudince (SVK),25 MAR 2023,1258,35-kilometres-race-walk,race-walks,female,senior
4,2:37:46,,Margarita NIKIFOROVA,19 AUG 1998,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1257,35-kilometres-race-walk,race-walks,female,senior
5,2:38:24,,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1,Sochi (RUS),18 FEB 2019,1252,35-kilometres-race-walk,race-walks,female,senior
6,2:38:40,,María PÉREZ,29 APR 1996,ESP,1,"Hősök tere, Budapest (HUN)",24 AUG 2023,1249,35-kilometres-race-walk,race-walks,female,senior
7,2:38:42,,Hong LIU,12 MAY 1987,CHN,,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1249,35-kilometres-race-walk,race-walks,female,senior
8,2:38:49,,Margarita NIKIFOROVA,19 AUG 1998,RUS,1,Cheboksary (RUS),21 MAY 2022,1248,35-kilometres-race-walk,race-walks,female,senior
9,2:38:59,,María PÉREZ,29 APR 1996,ESP,1,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1246,35-kilometres-race-walk,race-walks,female,senior
10,2:39:01,,María PÉREZ,29 APR 1996,ESP,1f1,"National Stadium, Tokyo (JPN)",13 SEP 2025,1246,35-kilometres-race-walk,race-walks,female,senior
11,2:39:16,,María PÉREZ,29 APR 1996,ESP,1,Lepe (ESP),30 JAN 2022,1243,35-kilometres-race-walk,race-walks,female,senior
11,2:39:16,,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1243,35-kilometres-race-walk,race-walks,female,senior
13,2:39:35,,Antonella PALMISANO,06 AUG 1991,ITA,2,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1240,35-kilometres-race-walk,race-walks,female,senior
14,2:39:51,,Darya GOLUBECHKOVA,10 SEP 2000,ANA,1,Voronovo (RUS),05 SEP 2021,1238,35-kilometres-race-walk,race-walks,female,senior
15,2:40:03,,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,2,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1236,35-kilometres-race-walk,race-walks,female,senior
16,2:40:06,,Hong LIU,12 MAY 1987,CHN,2,Dudince (SVK),25 MAR 2023,1236,35-kilometres-race-walk,race-walks,female,senior
17,2:40:23,,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1,"Avtodrom, Sochi (RUS)",27 FEB 2024,1233,35-kilometres-race-walk,race-walks,female,senior
18,2:40:27,,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1,"Avtodrom, Sochi (RUS)",13 FEB 2023,1232,35-kilometres-race-walk,race-walks,female,senior
19,2:40:37,,Shijie QIEYANG,11 NOV 1990,CHN,3,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1231,35-kilometres-race-walk,race-walks,female,senior
20,2:40:49,,Li MA,15 JAN 2000,CHN,1,Hefei (CHN),29 MAR 2025,1229,35-kilometres-race-walk,race-walks,female,senior
21,2:40:52,,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,2,"Hősök tere, Budapest (HUN)",24 AUG 2023,1228,35-kilometres-race-walk,race-walks,female,senior
