rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,40.82,,United States,,USA,1,"Olympic Stadium, London (GBR)",10 AUG 2012,1273,4x100-metres-relay,relays,female,senior
2,41.01,,United States,,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1265,4x100-metres-relay,relays,female,senior
3,41.02,,Jamaica,,JAM,1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1264,4x100-metres-relay,relays,female,senior
4,41.03,,United States,,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1264,4x100-metres-relay,relays,female,senior
5,41.07,,Jamaica,,JAM,1,"National Stadium, Beijing (CHN)",29 AUG 2015,1262,4x100-metres-relay,relays,female,senior
6,41.14,,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1259,4x100-metres-relay,relays,female,senior
7,41.18,,Jamaica,,JAM,2,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1257,4x100-metres-relay,relays,female,senior
8,41.21,,Jamaica,,JAM,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1256,4x100-metres-relay,relays,female,senior
9,41.29,,Jamaica,,JAM,1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1252,4x100-metres-relay,relays,female,senior
10,41.36,,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1249,4x100-metres-relay,relays,female,senior
11,41.37,,German Democratic Republic,,GDR,1,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1249,4x100-metres-relay,relays,female,senior
12,41.41,,Jamaica,,JAM,2,"Olympic Stadium, London (GBR)",10 AUG 2012,1247,4x100-metres-relay,relays,female,senior
13,41.44,,Jamaica,,JAM,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1246,4x100-metres-relay,relays,female,senior
14,41.45,,United States,,USA,2,"National Stadium, Tokyo (JPN)",06 AUG 2021,1245,4x100-metres-relay,relays,female,senior
15,41.47,,United States,,USA,1,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1244,4x100-metres-relay,relays,female,senior
16,41.49,,Russia,,RUS,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1243,4x100-metres-relay,relays,female,senior
16,41.49,,United States,,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1243,4x100-metres-relay,relays,female,senior
18,41.52,,United States,,USA,1sf1,"Olympic Stadium, Athina (GRE)",08 AUG 1997,1242,4x100-metres-relay,relays,female,senior
19,41.53,,German Democratic Republic,,GDR,1,Berlin (GER),31 JUL 1983,1242,4x100-metres-relay,relays,female,senior
20,41.55,,United States,,USA,1,"Olympiastadion, Berlin (GER)",21 AUG 1987,1241,4x100-metres-relay,relays,female,senior
20,41.55,,Great Britain & NI,,GBR,1h1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1241,4x100-metres-relay,relays,female,senior
20,41.55,,Texas,,INT,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1241,4x100-metres-relay,relays,female,senior
20,41.55,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1241,4x100-metres-relay,relays,female,senior
24,41.56,,United States,,USA,1,"DS, Daegu (KOR)",04 SEP 2011,1240,4x100-metres-relay,relays,female,senior
24,41.56,,United States,,USA,1h2,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1240,4x100-metres-relay,relays,female,senior
26,41.58,,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1239,4x100-metres-relay,relays,female,senior
26,41.58,,United States Red,,USA,1,Cottbus (GER),08 AUG 2009,1239,4x100-metres-relay,relays,female,senior
28,41.59,,United States,,USA,1h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1239,4x100-metres-relay,relays,female,senior
29,41.60,,German Democratic Republic,,GDR,1,"Lenin Stadium, Moskva (URS)",01 AUG 1980,1238,4x100-metres-relay,relays,female,senior
29,41.60,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",03 SEP 2015,1238,4x100-metres-relay,relays,female,senior
29,41.60,,Texas,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",10 JUN 2023,1238,4x100-metres-relay,relays,female,senior
29,41.60,,United States,,USA,1h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1238,4x100-metres-relay,relays,female,senior
33,41.61,,United States,,USA,1,"Colorado Springs, CO (USA)",03 JUL 1983,1238,4x100-metres-relay,relays,female,senior
34,41.62,,Germany,,GER,1,Mannheim (GER),29 JUL 2016,1238,4x100-metres-relay,relays,female,senior
35,41.63,,United States,,USA,1,"Los Angeles, CA (USA)",25 JUN 1983,1237,4x100-metres-relay,relays,female,senior
36,41.64,,United States,,USA,1h1,"Olympic Stadium, London (GBR)",09 AUG 2012,1237,4x100-metres-relay,relays,female,senior
37,41.65,,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1236,4x100-metres-relay,relays,female,senior
37,41.65,,German Democratic Republic,,GDR,1,Moskva (URS),17 AUG 1985,1236,4x100-metres-relay,relays,female,senior
37,41.65,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",01 SEP 2016,1236,4x100-metres-relay,relays,female,senior
40,41.67,,United States,,USA,1,"Letzigrund, Zürich (SUI)",29 AUG 2013,1235,4x100-metres-relay,relays,female,senior
40,41.67,,Germany,,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2019,1235,4x100-metres-relay,relays,female,senior
42,41.68,,German Democratic Republic,,GDR,1,"Poljud Stadion, Split (CRO)",01 SEP 1990,1235,4x100-metres-relay,relays,female,senior
42,41.68,,United States,,USA,2,"National Stadium, Beijing (CHN)",29 AUG 2015,1235,4x100-metres-relay,relays,female,senior
44,41.69,,German Democratic Republic,,GDR,1,Potsdam (GDR),21 JUL 1984,1235,4x100-metres-relay,relays,female,senior
44,41.69,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",19 JUL 2025,1235,4x100-metres-relay,relays,female,senior
46,41.70,,Jamaica,,JAM,2,"DS, Daegu (KOR)",04 SEP 2011,1234,4x100-metres-relay,relays,female,senior
46,41.70,,Jamaica,,JAM,1h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1234,4x100-metres-relay,relays,female,senior
48,41.73,,German Democratic Republic,,GDR,1,Berlin (GER),13 SEP 1988,1233,4x100-metres-relay,relays,female,senior
48,41.73,,Jamaica,,JAM,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1233,4x100-metres-relay,relays,female,senior
50,41.74,,USA Red,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",29 MAR 2025,1232,4x100-metres-relay,relays,female,senior
51,41.75,,United States Red,,USA,1,"Stade Louis II, Monaco (MON)",19 JUL 2013,1232,4x100-metres-relay,relays,female,senior
51,41.75,,USA GOLD,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1232,4x100-metres-relay,relays,female,senior
53,41.76,,German Democratic Republic,,GDR,1,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1231,4x100-metres-relay,relays,female,senior
54,41.77,,United States,,USA,1h3,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1231,4x100-metres-relay,relays,female,senior
54,41.77,,Great Britain & NI,,GBR,3,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1231,4x100-metres-relay,relays,female,senior
56,41.78,,France,,FRA,1,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1231,4x100-metres-relay,relays,female,senior
56,41.78,,United States,,USA,1,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1231,4x100-metres-relay,relays,female,senior
56,41.78,,United States Blue,,USA,2,"Stade Louis II, Monaco (MON)",19 JUL 2013,1231,4x100-metres-relay,relays,female,senior
56,41.78,,Jamaica,,JAM,2,"Letzigrund, Zürich (SUI)",29 AUG 2013,1231,4x100-metres-relay,relays,female,senior
56,41.78,,United States,,USA,1,"Stade de France, Paris (FRA)",09 AUG 2024,1231,4x100-metres-relay,relays,female,senior
61,41.79,,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),20 JUN 1987,1230,4x100-metres-relay,relays,female,senior
61,41.79,,Team Jet,,INT,1,"Walnut, CA (USA)",20 APR 2013,1230,4x100-metres-relay,relays,female,senior
61,41.79,,Jamaica,,JAM,1h1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1230,4x100-metres-relay,relays,female,senior
64,41.80,,Jamaica,,JAM,1h1,"National Stadium, Tokyo (JPN)",20 SEP 2025,1230,4x100-metres-relay,relays,female,senior
65,41.81,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",22 JUL 2016,1229,4x100-metres-relay,relays,female,senior
66,41.82,,United States,,USA,1h3,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1229,4x100-metres-relay,relays,female,senior
66,41.82,,United States,,USA,1,"Olympic Stadium, London (GBR)",12 AUG 2017,1229,4x100-metres-relay,relays,female,senior
68,41.83,,United States,,USA,2,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1228,4x100-metres-relay,relays,female,senior
68,41.83,,Jamaica,,JAM,1,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1228,4x100-metres-relay,relays,female,senior
68,41.83,,United States,,USA,2,"Letzigrund, Zürich (SUI)",03 SEP 2015,1228,4x100-metres-relay,relays,female,senior
71,41.84,,German Democratic Republic,,GDR,1,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1228,4x100-metres-relay,relays,female,senior
71,41.84,,Jamaica,,JAM,1h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1228,4x100-metres-relay,relays,female,senior
71,41.84,,United States,,USA,1h1,"Olympic Stadium, London (GBR)",12 AUG 2017,1228,4x100-metres-relay,relays,female,senior
74,41.85,,German Democratic Republic,,GDR,1,Potsdam (GDR),13 JUL 1980,1228,4x100-metres-relay,relays,female,senior
74,41.85,,German Democratic Republic,,GDR,1,Zürich (SUI),22 AUG 1984,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Great Britain & NI,,GBR,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1228,4x100-metres-relay,relays,female,senior
74,41.85,,United States,,USA,1f1,"The Bahamas National Stadium, Nassau (BAH)",05 MAY 2024,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Great Britain & NI,,GBR,2,"Stade de France, Paris (FRA)",09 AUG 2024,1228,4x100-metres-relay,relays,female,senior
80,41.86,,Great Britain & NI,,GBR,2,"Letzigrund, Zürich (SUI)",24 AUG 2017,1227,4x100-metres-relay,relays,female,senior
80,41.86,,Germany,,GER,2h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1227,4x100-metres-relay,relays,female,senior
82,41.87,,German Democratic Republic,,GDR,1,Gateshead (GBR),05 AUG 1989,1227,4x100-metres-relay,relays,female,senior
82,41.87,,Jamaica,,JAM,1h1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1227,4x100-metres-relay,relays,female,senior
84,41.88,,Jamaica,,JAM,1h1,"Olympiastadion, Berlin (GER)",22 AUG 2009,1226,4x100-metres-relay,relays,female,senior
84,41.88,,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,1,"Olympiastadion, Berlin (GER)",12 AUG 2018,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,3,"National Stadium, Tokyo (JPN)",06 AUG 2021,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,3h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1226,4x100-metres-relay,relays,female,senior
89,41.89,,Texas,,INT,1,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1226,4x100-metres-relay,relays,female,senior
90,41.90,,United States,,USA,2h1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1225,4x100-metres-relay,relays,female,senior
90,41.90,,Côte d’Ivoire,,CIV,2h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Germany,,GER,1h2,"National Stadium, Tokyo (JPN)",31 AUG 1991,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Americas,,INT,1,"CM, Madrid (ESP)",20 SEP 2002,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Great Britain & NI,,GBR,1,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1225,4x100-metres-relay,relays,female,senior
95,41.92,,Bahamas,,BAH,1,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1224,4x100-metres-relay,relays,female,senior
96,41.93,,Great Britain & NI,,GBR,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1224,4x100-metres-relay,relays,female,senior
96,41.93,,Great Britain & NI,,GBR,2h1,"Olympic Stadium, London (GBR)",12 AUG 2017,1224,4x100-metres-relay,relays,female,senior
98,41.94,,German Democratic Republic,,GDR,1,Cottbus (GER),17 JUL 1980,1224,4x100-metres-relay,relays,female,senior
98,41.94,,German Democratic Republic,,GDR,1,Praha (TCH),27 JUN 1987,1224,4x100-metres-relay,relays,female,senior
98,41.94,,Jamaica,,JAM,1,"National Stadium, Tokyo (JPN)",01 SEP 1991,1224,4x100-metres-relay,relays,female,senior
98,41.94,,Jamaica,,JAM,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1224,4x100-metres-relay,relays,female,senior
