rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:01:25,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,,Praha (CZE),01 APR 2017,1237,20-kilometres,road-running,female,senior
2,1:01:40,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,,Ras Al Khaimah (UAE),10 FEB 2017,1231,20-kilometres,road-running,female,senior
3,1:01:54,,Florence KIPLAGAT,27 FEB 1987,KEN,,Barcelona (ESP),15 FEB 2015,1225,20-kilometres,road-running,female,senior
4,1:02:57,,Lornah KIPLAGAT,01 MAY 1974,NED,,Udine (ITA),14 OCT 2007,1202,20-kilometres,road-running,female,senior
5,1:03:21,,Lornah KIPLAGAT,01 MAY 1974,NED,1,Debrecen (HUN),08 OCT 2006,1193,20-kilometres,road-running,female,senior
6,1:03:23,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,2,Debrecen (HUN),08 OCT 2006,1192,20-kilometres,road-running,female,senior
7,1:03:47,,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,3,Debrecen (HUN),08 OCT 2006,1183,20-kilometres,road-running,female,senior
8,1:03:54,,Lornah KIPLAGAT,01 MAY 1974,KEN,1,Alphen aan den Rijn (NED),11 MAR 2001,1180,20-kilometres,road-running,female,senior
9,1:04:01,,Esther Wanjiru MAINA,27 MAR 1977,KEN,1,Kobe (JPN),17 DEC 2000,1178,20-kilometres,road-running,female,senior
10,1:04:29,,Keira D'AMATO,21 OCT 1984,USA,1,"New Haven, CT (USA)",05 SEP 2022,1167,20-kilometres,road-running,female,senior
11,1:04:30,,Gladys JEMAIYO,19 MAY 1994,KEN,1,Paris (FRA),08 OCT 2023,1167,20-kilometres,road-running,female,senior
12,1:04:35,,Emily SISSON,12 OCT 1991,USA,2,"New Haven, CT (USA)",05 SEP 2022,1165,20-kilometres,road-running,female,senior
13,1:04:47,,Manon TRAPP,01 AUG 2000,FRA,1,Paris (FRA),13 OCT 2024,1160,20-kilometres,road-running,female,senior
14,1:05:03,,Sarah CHEPCHIRCHIR,27 JUL 1984,KEN,1,Paris (FRA),13 OCT 2013,1155,20-kilometres,road-running,female,senior
15,1:05:08,,Cynthia JEROTICH,18 DEC 1989,KEN,2,Paris (FRA),13 OCT 2013,1153,20-kilometres,road-running,female,senior
16,1:05:11,,Xiuting WANG,16 FEB 1965,CHN,1,Miyazaki (JPN),06 JAN 1993,1152,20-kilometres,road-running,female,senior
16,1:05:11,,Colleen DE REUCK,13 APR 1964,RSA,1,"New Haven, CT (USA)",07 SEP 1998,1152,20-kilometres,road-running,female,senior
18,1:05:16,,Joyce CHEPCHUMBA,06 NOV 1970,KEN,1,Alphen aan den Rijn (NED),12 MAR 2000,1150,20-kilometres,road-running,female,senior
18,1:05:16,,Dire TUNE,19 JUN 1985,ETH,4,Debrecen (HUN),08 OCT 2006,1150,20-kilometres,road-running,female,senior
20,1:05:21,,Edith MASAI,04 APR 1967,KEN,5,Debrecen (HUN),08 OCT 2006,1148,20-kilometres,road-running,female,senior
21,1:05:27,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,1,Turnu-Severein (ROU),12 AUG 2006,1146,20-kilometres,road-running,female,senior
22,1:05:28,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,1,Paris (FRA),22 OCT 2000,1145,20-kilometres,road-running,female,senior
23,1:05:30,,Mirriam WANGARI,22 FEB 1979,KEN,1,Paris (FRA),11 OCT 2009,1145,20-kilometres,road-running,female,senior
24,1:05:32,,Kayoko FUKUSHI,25 MAR 1982,JPN,6,Debrecen (HUN),08 OCT 2006,1144,20-kilometres,road-running,female,senior
25,1:05:36,,Yurika NAKAMURA,01 APR 1986,JPN,7,Debrecen (HUN),08 OCT 2006,1142,20-kilometres,road-running,female,senior
25,1:05:36,,Cynthia JEROTICH,18 DEC 1989,KEN,1,Paris (FRA),14 OCT 2012,1142,20-kilometres,road-running,female,senior
25,1:05:36,,Aubrey FRENTHEWAY,,USA,1,"New Haven, CT (USA)",01 SEP 2025,1142,20-kilometres,road-running,female,senior
28,1:05:38,,Megumi FUJIWARA,19 JUN 1969,JPN,2,Miyazaki (JPN),06 JAN 1993,1142,20-kilometres,road-running,female,senior
29,1:05:42,,Nataliya BERKUT,30 MAY 1975,UKR,8,Debrecen (HUN),08 OCT 2006,1140,20-kilometres,road-running,female,senior
29,1:05:42,,Elvan ABEYLEGESSE,11 SEP 1982,TUR,2,Paris (FRA),14 OCT 2012,1140,20-kilometres,road-running,female,senior
29,1:05:42,,Bruktayit ESHETU,29 SEP 1990,ETH,,"New Haven, CT (USA)",01 SEP 2025,1140,20-kilometres,road-running,female,senior
32,1:05:44,,Katunge Agnes MUTUNE,26 JUN 1986,KEN,2,Paris (FRA),11 OCT 2009,1139,20-kilometres,road-running,female,senior
33,1:05:46,,Ednah KURGAT,15 JUN 1991,USA,2,"New Haven, CT (USA)",01 SEP 2025,1139,20-kilometres,road-running,female,senior
34,1:05:47,,Aliphine Chepkerker TULIAMUK,05 APR 1989,USA,1,"New Haven, CT (USA)",05 SEP 2016,1138,20-kilometres,road-running,female,senior
35,1:05:51,,Ruth Jepkoech KUTOL,16 MAY 1973,KEN,1,Almeirim (POR),22 JAN 2001,1137,20-kilometres,road-running,female,senior
35,1:05:51,,Rose CHELIMO,12 JUL 1989,KEN,1,Paris (FRA),12 OCT 2014,1137,20-kilometres,road-running,female,senior
37,1:05:52,,Marla RUNYAN,04 JAN 1969,USA,1,"New Haven, CT (USA)",01 SEP 2003,1137,20-kilometres,road-running,female,senior
38,1:05:53,,Colleen DE REUCK,13 APR 1964,USA,2,"New Haven, CT (USA)",01 SEP 2003,1136,20-kilometres,road-running,female,senior
39,1:05:55,,Bikile AMBESU,26 SEP 2004,ETH,2,Paris (FRA),13 OCT 2024,1135,20-kilometres,road-running,female,senior
