rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:02:52,,Letesenbet GIDEY,20 MAR 1998,ETH,1,Valencia (ESP),24 OCT 2021,1281,half-marathon,road-running,female,senior
2,1:03:04,,Agnes Jebet NGETICH,23 JAN 2001,KEN,1,Valencia (ESP),27 OCT 2024,1277,half-marathon,road-running,female,senior
3,1:03:21,,Fotyen TESFAY,17 FEB 1998,ETH,2,Valencia (ESP),27 OCT 2024,1270,half-marathon,road-running,female,senior
4,1:03:32,,Lilian Kasait RENGERUK,03 MAY 1997,KEN,3,Valencia (ESP),27 OCT 2024,1266,half-marathon,road-running,female,senior
5,1:03:35,,Fotyen TESFAY,17 FEB 1998,ETH,1,Berlin (GER),06 APR 2025,1265,half-marathon,road-running,female,senior
6,1:03:51,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,2,Valencia (ESP),24 OCT 2021,1260,half-marathon,road-running,female,senior
7,1:04:02,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Istanbul (TUR),04 APR 2021,1256,half-marathon,road-running,female,senior
8,1:04:13,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,1,Barcelona (ESP),16 FEB 2025,1252,half-marathon,road-running,female,senior
9,1:04:14,,Girmawit GEBRZIHAIR,21 NOV 2001,ETH,1,Ras Al Khaimah (UAE),19 FEB 2022,1251,half-marathon,road-running,female,senior
9,1:04:14,,Ejgayehu TAYE,10 FEB 2000,ETH,4,Valencia (ESP),27 OCT 2024,1251,half-marathon,road-running,female,senior
11,1:04:21,,Tsigie GEBRESELAMA,30 SEP 2000,ETH,1,Lisboa (POR),09 MAR 2025,1249,half-marathon,road-running,female,senior
12,1:04:22,,Hellen OBIRI,13 DEC 1989,KEN,2,Ras Al Khaimah (UAE),19 FEB 2022,1248,half-marathon,road-running,female,senior
12,1:04:22,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Larne (GBR),28 AUG 2022,1248,half-marathon,road-running,female,senior
14,1:04:29,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,1,Barcelona (ESP),11 FEB 2024,1246,half-marathon,road-running,female,senior
15,1:04:31,,Ababel YESHANEH,22 JUL 1991,ETH,1,Ras Al Khaimah (UAE),21 FEB 2020,1245,half-marathon,road-running,female,senior
