rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,22.33,,Adaejah HODGE,21 MAR 2006,IVB,1f2,"The Track at New Balance, Boston, MA (USA) (i)",12 MAR 2023,1242,200-metres,sprints,female,u18
2,22.42,+1.7,Amy HUNT,15 MAY 2002,GBR,1f1,Mannheim (GER),30 JUN 2019,1194,200-metres,sprints,female,u18
3,22.43,-0.7,Candace HILL,11 FEB 1999,USA,1,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1197,200-metres,sprints,female,u18
4,22.47,+0.4,Kaylin WHITNEY,09 MAR 1998,USA,4,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1189,200-metres,sprints,female,u18
5,22.48,+1.9,Tamari DAVIS,15 FEB 2003,USA,1,"Jacksonville, FL (USA)",05 MAY 2018,1188,200-metres,sprints,female,u18
6,22.49,+1.3,Kaylin WHITNEY,09 MAR 1998,USA,1,"Eugene, OR (USA)",06 JUL 2014,1187,200-metres,sprints,female,u18
6,22.49,-0.1,Kaylin WHITNEY,09 MAR 1998,USA,2sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1187,200-metres,sprints,female,u18
8,22.50,-0.1,Briana WILLIAMS,21 MAR 2002,JAM,1,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1186,200-metres,sprints,female,u18
9,22.54,-0.3,Kaylin WHITNEY,09 MAR 1998,USA,5,"Stade Louis II, Monaco (MON)",17 JUL 2015,1182,200-metres,sprints,female,u18
10,22.55,+1.4,Tamari DAVIS,15 FEB 2003,USA,1,"Greensboro, NC (USA)",28 JUL 2018,1180,200-metres,sprints,female,u18
11,22.58,+0.8,Marion JONES,12 OCT 1975,USA,4,"New Orleans, LA (USA)",28 JUN 1992,1177,200-metres,sprints,female,u18
12,22.59,+0.4,Shanoya Mikalia DOUGLAS,11 SEP 2007,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1176,200-metres,sprints,female,u18
13,22.65,+1.1,Kaylin WHITNEY,09 MAR 1998,USA,1,"CIBC, Toronto (CAN)",24 JUL 2015,1170,200-metres,sprints,female,u18
14,22.68,+1.6,Kaylin WHITNEY,09 MAR 1998,USA,1sf1,"CIBC, Toronto (CAN)",23 JUL 2015,1167,200-metres,sprints,female,u18
15,22.71,+1.8,Elise COOPER,07 FEB 2007,USA,5sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1164,200-metres,sprints,female,u18
16,22.72,+0.4,Kaylin WHITNEY,09 MAR 1998,USA,1f1,"Montverde, FL (USA)",06 JUN 2015,1163,200-metres,sprints,female,u18
16,22.72,+0.8,Kevona DAVIS,20 DEC 2001,JAM,1,Kingston (JAM),24 MAR 2018,1163,200-metres,sprints,female,u18
18,22.74,+2.0,Raelene BOYLE,24 MAY 1951,AUS,2,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,1161,200-metres,sprints,female,u18
19,22.75,+0.6,Kaylin WHITNEY,09 MAR 1998,USA,2h3,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1160,200-metres,sprints,female,u18
20,22.76,+1.7,Candace HILL,11 FEB 1999,USA,1h2,"Clovis, CA (USA)",25 JUN 2016,1159,200-metres,sprints,female,u18
21,22.77,,Adaejah HODGE,21 MAR 2006,IVB,1h20,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1199,200-metres,sprints,female,u18
21,22.77,+0.5,Lisa RAYE,19 JAN 2008,TTO,1,"Franklin Field, Philadelphia, PA (USA)",16 JUN 2024,1158,200-metres,sprints,female,u18
23,22.79,+2.0,Jodie WILLIAMS,28 SEP 1993,GBR,1,Loughborough (GBR),22 MAY 2010,1156,200-metres,sprints,female,u18
24,22.80,-0.1,Lauren Rain WILLIAMS,25 JUL 1999,USA,1,"Norwalk, CA (USA)",27 MAY 2016,1155,200-metres,sprints,female,u18
24,22.80,+1.6,Elise COOPER,07 FEB 2007,USA,2,"Estadio Jose A. Figueroa Freyre, Mayagüez (PUR)",06 AUG 2023,1155,200-metres,sprints,female,u18
26,22.82,+0.1,Grit BREUER,16 FEB 1972,GDR,1,Macerata (ITA),06 SEP 1989,1153,200-metres,sprints,female,u18
26,22.82,0.0,Elise COOPER,07 FEB 2007,USA,2,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1153,200-metres,sprints,female,u18
26,22.82,-0.4,Adaejah HODGE,21 MAR 2006,IVB,4h3,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1155,200-metres,sprints,female,u18
29,22.83,-1.3,Allyson FELIX,18 NOV 1985,USA,1,"Cerritos, CA (USA)",31 MAY 2002,1159,200-metres,sprints,female,u18
30,22.85,+1.1,Adaejah HODGE,21 MAR 2006,IVB,2,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1150,200-metres,sprints,female,u18
31,22.88,-1.0,Grit BREUER,16 FEB 1972,GDR,4,Neubrandenburg (GDR),23 JUL 1989,1153,200-metres,sprints,female,u18
31,22.88,+0.9,Gabrielle MAYO,26 JAN 1989,USA,1,"Indianapolis, IN (USA)",23 JUN 2006,1147,200-metres,sprints,female,u18
31,22.88,+1.2,Kaylin WHITNEY,09 MAR 1998,USA,3h2,"CIBC, Toronto (CAN)",23 JUL 2015,1147,200-metres,sprints,female,u18
31,22.88,-1.6,Briana WILLIAMS,21 MAR 2002,JAM,1,"Albuquerque, NM (USA)",08 JUN 2019,1156,200-metres,sprints,female,u18
35,22.89,+1.9,Arria MINOR,09 FEB 2001,USA,1h2,"Lakewood, PA (USA)",17 MAY 2018,1146,200-metres,sprints,female,u18
35,22.89,+0.9,Briana WILLIAMS,21 MAR 2002,JAM,1,George Town (CAY),21 APR 2019,1146,200-metres,sprints,female,u18
37,22.90,-0.7,Lauren Rain WILLIAMS,25 JUL 1999,USA,2,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1149,200-metres,sprints,female,u18
38,22.92,-0.1,Irene EKELUND,08 MAR 1997,SWE,1,Donetsk (UKR),14 JUL 2013,1143,200-metres,sprints,female,u18
38,22.92,+0.6,Kevona DAVIS,20 DEC 2001,JAM,1sf1,Kingston (JAM),22 MAR 2018,1143,200-metres,sprints,female,u18
38,22.92,+1.7,Camryn DAILEY,,USA,1,"Franklin Field, Philadelphia, PA (USA)",22 JUN 2025,1143,200-metres,sprints,female,u18
41,22.93,+1.4,Vernicha JAMES,06 JUN 1984,GBR,1,"Stadio Zecchini, Grosseto (ITA)",21 JUL 2001,1142,200-metres,sprints,female,u18
41,22.93,-2.0,Candace HILL,11 FEB 1999,USA,2h1,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1154,200-metres,sprints,female,u18
43,22.94,-0.2,Anneisha MCLAUGHLIN-WHILBY,06 JAN 1986,JAM,2,"National Stadium, Kingston (JAM)",19 JUL 2002,1142,200-metres,sprints,female,u18
43,22.94,+0.9,Bianca KNIGHT,02 JAN 1989,USA,2,"Indianapolis, IN (USA)",23 JUN 2006,1141,200-metres,sprints,female,u18
43,22.94,-1.7,Amy HUNT,15 MAY 2002,GBR,1,"Ryavallen, Borås (SWE)",20 JUL 2019,1151,200-metres,sprints,female,u18
43,22.94,+1.8,Beatrice MASILINGI,10 APR 2003,NAM,1,"Bestmed Tuks Stadium, Pretoria (RSA)",09 DEC 2020,1141,200-metres,sprints,female,u18
47,22.95,,Raelene BOYLE,24 MAY 1951,AUS,1sf1,"Estadio Olímpico, Ciudad de México (MEX)",17 OCT 1968,1140,200-metres,sprints,female,u18
47,22.95,+1.7,Margaret BAILES,23 JAN 1951,USA,3sf2,"Estadio Olímpico, Ciudad de México (MEX)",17 OCT 1968,1140,200-metres,sprints,female,u18
47,22.95,+0.4,Allyson FELIX,18 NOV 1985,USA,1,"Cerritos, CA (USA)",24 MAY 2002,1140,200-metres,sprints,female,u18
47,22.95,+0.7,Irene EKELUND,08 MAR 1997,SWE,1,Stockholm (SWE),08 SEP 2013,1140,200-metres,sprints,female,u18
47,22.95,+0.4,Briana WILLIAMS,21 MAR 2002,JAM,1f1,"Jacksonville, FL (USA)",01 JUN 2019,1140,200-metres,sprints,female,u18
47,22.95,+0.2,Mia BRAHE-PEDERSEN,28 NOV 2005,USA,2sf2,"Pascual Guerrero Stadium, Cali (COL)",04 AUG 2022,1140,200-metres,sprints,female,u18
47,22.95,0.0,Alana REID,20 JAN 2005,JAM,3,"Pascual Guerrero Stadium, Cali (COL)",05 AUG 2022,1140,200-metres,sprints,female,u18
54,22.96,-0.4,Tamari DAVIS,15 FEB 2003,USA,1,"Atlanta, GA (USA)",26 MAY 2019,1141,200-metres,sprints,female,u18
54,22.96,-0.2,Adaejah HODGE,21 MAR 2006,IVB,7sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1140,200-metres,sprints,female,u18
56,22.97,+0.5,Kevona DAVIS,20 DEC 2001,JAM,1,Kingston (JAM),24 JUN 2017,1138,200-metres,sprints,female,u18
56,22.97,+0.3,Yujie CHEN,29 DEC 2008,CHN,1,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1138,200-metres,sprints,female,u18
58,22.98,-0.6,Mia BRAHE-PEDERSEN,28 NOV 2005,USA,2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1140,200-metres,sprints,female,u18
58,22.98,+1.1,Lisa RAYE,19 JAN 2008,TTO,1h4,"Franklin Field, Philadelphia, PA (USA)",15 JUN 2024,1137,200-metres,sprints,female,u18
60,22.99,+1.1,Wenda VEREEN,24 APR 1966,USA,2,"Villanova, PA (USA)",12 JUN 1983,1136,200-metres,sprints,female,u18
60,22.99,+1.3,Allyson FELIX,18 NOV 1985,USA,1,"Cerritos, CA (USA)",18 MAY 2002,1136,200-metres,sprints,female,u18
60,22.99,+0.7,Aymeé MARTÍNEZ,17 NOV 1988,CUB,1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,1136,200-metres,sprints,female,u18
60,22.99,+0.4,Yujie CHEN,29 DEC 2008,CHN,4,"Egret Stadium, Xiamen (CHN)",26 APR 2025,1136,200-metres,sprints,female,u18
64,23.00,+0.5,Skyler FRANKLIN,24 JUL 2007,USA,2,"Franklin Field, Philadelphia, PA (USA)",16 JUN 2024,1135,200-metres,sprints,female,u18
64,23.00,,Lisa RAYE,19 JAN 2008,TTO,2f2,"The Track at New Balance, Boston, MA (USA) (i)",16 MAR 2025,1177,200-metres,sprints,female,u18
