rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,34.41,,Shaunae MILLER-UIBO,15 APR 1994,BAH,1f1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1269,300-metres,sprints,female,senior
2,34.60,,Beatrice MASILINGI,10 APR 2003,NAM,1,"Pilditch Stadium, Pretoria (RSA)",18 FEB 2023,1258,300-metres,sprints,female,senior
3,35.16,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Pista Basilio Rodriguez, Carolina (PUR)",17 MAR 2023,1225,300-metres,sprints,female,senior
4,35.30,,Ana Gabriela GUEVARA,04 MAR 1977,MEX,1,Ciudad de México (MEX),03 MAY 2003,1217,300-metres,sprints,female,senior
5,35.45,,Irina PRIVALOVA,22 NOV 1968,RUS,1,Moskva (RUS) (i),17 JAN 1993,1250,300-metres,sprints,female,senior
5,35.45,,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"New York, NY (USA) (i)",03 FEB 2018,1250,300-metres,sprints,female,senior
7,35.46,,Kathy COOK,03 MAY 1960,GBR,1,London (GBR),18 AUG 1984,1207,300-metres,sprints,female,senior
7,35.46,,Chandra CHEESEBOROUGH,10 JAN 1959,USA,2,London (GBR),18 AUG 1984,1207,300-metres,sprints,female,senior
7,35.46,,Henriette JÆGER,30 JUN 2003,NOR,1,"Fana Stadion, Bergen (NOR)",22 MAY 2024,1207,300-metres,sprints,female,senior
10,35.51,,Kathy COOK,03 MAY 1960,GBR,1,London (GBR),09 SEP 1983,1204,300-metres,sprints,female,senior
10,35.51,,Natalia BUKOWIECKA,17 JAN 1998,POL,1,"Stadion BOSiR, Białystok (POL)",09 AUG 2025,1204,300-metres,sprints,female,senior
12,35.52,,Natalia KACZMAREK,17 JAN 1998,POL,1,"McArthur Stadium, Potchefstroom (RSA)",30 JAN 2024,1204,300-metres,sprints,female,senior
13,35.54,,Abby STEINER,24 NOV 1999,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1245,300-metres,sprints,female,senior
14,35.56,,Henriette JÆGER,30 JUN 2003,NOR,1,"Fana Stadion, Bergen (NOR)",03 JUN 2025,1202,300-metres,sprints,female,senior
15,35.69,,Patricia HALL,16 OCT 1982,JAM,1f1,Liévin (FRA) (i),14 FEB 2012,1237,300-metres,sprints,female,senior
16,35.70,,Irena SZEWIŃSKA,24 MAY 1946,POL,1,London (GBR),04 JUL 1975,1193,300-metres,sprints,female,senior
16,35.70,,Lea SPRUNGER,05 MAR 1990,SUI,1f1,Langenthal (SUI),25 MAY 2017,1193,300-metres,sprints,female,senior
18,35.71,,Donna FRASER,07 NOV 1972,GBR,1,Gateshead (GBR),28 AUG 2000,1193,300-metres,sprints,female,senior
18,35.71,,Quanera HAYES,07 MAR 1992,USA,1f1,"Clemson, SC (USA) (i)",07 JAN 2017,1235,300-metres,sprints,female,senior
18,35.71,,Shaunae MILLER,15 APR 1994,BAH,1,"New York, NY (USA) (i)",11 FEB 2017,1235,300-metres,sprints,female,senior
21,35.73,,Gabrielle THOMAS,07 DEC 1996,USA,1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1234,300-metres,sprints,female,senior
22,35.74,,Courtney OKOLO,15 MAR 1994,USA,1,"Houston, TX (USA)",23 JUL 2016,1191,300-metres,sprints,female,senior
