rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,78.16,,Nova KIENAST,24 JUL 2007,GER,1,"Mesa Community College, Mesa, AZ (USA)",13 DEC 2024,,hammer-throw-3kg,throws,female,u18
2,76.04,,Réka GYURÁTZ,31 MAY 1996,HUN,1,Zalaegerszeg (HUN),23 JUN 2013,,hammer-throw-3kg,throws,female,u18
3,75.80,,Valeriya IVANENKO,16 AUG 2001,UKR,1,Lutsk (UKR),22 SEP 2018,,hammer-throw-3kg,throws,female,u18
4,74.90,,Valeriya IVANENKO,16 AUG 2001,UKR,1q1,Buenos Aires (ARG),12 OCT 2018,,hammer-throw-3kg,throws,female,u18
5,74.38,,Helga VÖLGYI,12 FEB 1996,HUN,2,Zalaegerszeg (HUN),23 JUN 2013,,hammer-throw-3kg,throws,female,u18
6,74.36,,Valeriya IVANENKO,16 AUG 2001,UKR,1q2,"Olimpiai Sportpark, Győr (HUN)",05 JUL 2018,,hammer-throw-3kg,throws,female,u18
7,73.97,,Zsófia BÁCSKAY,18 MAR 1997,HUN,1,Budapest (HUN),01 MAR 2014,,hammer-throw-3kg,throws,female,u18
8,73.83,,Valeriya IVANENKO,16 AUG 2001,UKR,1,Kropyvnytskiy (UKR),28 MAY 2018,,hammer-throw-3kg,throws,female,u18
9,73.62,,Helga VÖLGYI,12 FEB 1996,HUN,1,Szombathely (HUN),12 JUN 2013,,hammer-throw-3kg,throws,female,u18
10,73.44,,Réka GYURÁTZ,31 MAY 1996,HUN,1,Budapest (HUN),18 MAY 2013,,hammer-throw-3kg,throws,female,u18
11,73.39,,Helga VÖLGYI,12 FEB 1996,HUN,1,Budapest (HUN),25 MAY 2013,,hammer-throw-3kg,throws,female,u18
12,73.33,,Barbara ŠPILER,02 JAN 1992,SLO,1,Varaždin (CRO),05 JUL 2008,,hammer-throw-3kg,throws,female,u18
