rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,9126,,Kevin MAYER,10 FEB 1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1302,decathlon,combined-events,male,senior
2,9045,,Ashton EATON,21 JAN 1988,USA,1,"National Stadium, Beijing (CHN)",29 AUG 2015,1289,decathlon,combined-events,male,senior
3,9039,,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2012,1288,decathlon,combined-events,male,senior
4,9026,,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),27 MAY 2001,1286,decathlon,combined-events,male,senior
5,9018,,Damian WARNER,04 NOV 1989,CAN,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1285,decathlon,combined-events,male,senior
6,8995,,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1281,decathlon,combined-events,male,senior
7,8994,,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Praha (CZE),04 JUL 1999,1281,decathlon,combined-events,male,senior
8,8961,,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1276,decathlon,combined-events,male,senior
9,8909,,Pierce LEPAGE,22 JAN 1996,CAN,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1268,decathlon,combined-events,male,senior
9,8909,,Sander SKOTHEIM,31 MAY 2002,NOR,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2025,1268,decathlon,combined-events,male,senior
11,8902,,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1267,decathlon,combined-events,male,senior
12,8900,,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),04 JUN 2000,1266,decathlon,combined-events,male,senior
13,8893,,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1265,decathlon,combined-events,male,senior
13,8893,,Ashton EATON,21 JAN 1988,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1265,decathlon,combined-events,male,senior
15,8891,,Dan O'BRIEN,18 JUL 1966,USA,1,Talence (FRA),05 SEP 1992,1265,decathlon,combined-events,male,senior
16,8869,,Ashton EATON,21 JAN 1988,USA,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1261,decathlon,combined-events,male,senior
16,8869,,Kyle GARLAND,28 MAY 2000,USA,1,"Hayward Field, Eugene, OR (USA)",01 AUG 2025,1261,decathlon,combined-events,male,senior
18,8867,,Garrett SCANTLING,19 MAY 1993,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,1261,decathlon,combined-events,male,senior
19,8842,,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),30 MAY 2004,1257,decathlon,combined-events,male,senior
20,8837,,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1256,decathlon,combined-events,male,senior
21,8836,,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1256,decathlon,combined-events,male,senior
22,8834,,Kevin MAYER,10 FEB 1992,FRA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1256,decathlon,combined-events,male,senior
23,8832,,Bryan CLAY,03 JAN 1980,USA,1,"Eugene, OR (USA)",30 JUN 2008,1256,decathlon,combined-events,male,senior
24,8824,,Dan O'BRIEN,18 JUL 1966,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1254,decathlon,combined-events,male,senior
25,8820,,Bryan CLAY,03 JAN 1980,USA,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1254,decathlon,combined-events,male,senior
26,8817,,Dan O'BRIEN,18 JUL 1966,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1253,decathlon,combined-events,male,senior
27,8816,,Kevin MAYER,10 FEB 1992,FRA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1253,decathlon,combined-events,male,senior
28,8815,,Erki NOOL,25 JUN 1970,EST,2,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1253,decathlon,combined-events,male,senior
29,8812,,Dan O'BRIEN,18 JUL 1966,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1253,decathlon,combined-events,male,senior
30,8811,,Daley THOMPSON,30 JUL 1958,GBR,1,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1252,decathlon,combined-events,male,senior
31,8809,,Ashton EATON,21 JAN 1988,USA,1,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1252,decathlon,combined-events,male,senior
32,8807,,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),01 JUN 2003,1252,decathlon,combined-events,male,senior
