rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,48.84,,Sokwakhana ZAZINI,23 JAN 2000,RSA,1,Pretoria (RSA),17 MAR 2017,,400m-hurdles-840cm,hurdles,male,u18
2,49.01,,William WYNNE,30 JAN 1990,USA,1,Ostrava (CZE),15 JUL 2007,,400m-hurdles-840cm,hurdles,male,u18
3,49.10,,Njabulo MBATHA,24 APR 2007,RSA,1,"Pilditch Stadium, Pretoria (RSA)",23 MAR 2024,,400m-hurdles-840cm,hurdles,male,u18
4,49.11,,Norman GRIMES,06 JAN 1998,USA,1,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,400m-hurdles-840cm,hurdles,male,u18
5,49.27,,Sokwakhana ZAZINI,23 JAN 2000,RSA,1,"Kasarani, Nairobi (KEN)",15 JUL 2017,,400m-hurdles-840cm,hurdles,male,u18
6,49.42,,Michal RADA,25 MAY 2007,CZE,1f1,Banská Bystrica (SVK),21 JUL 2024,,400m-hurdles-840cm,hurdles,male,u18
7,49.49,,Njabulo MBATHA,24 APR 2007,RSA,1,"Pilditch Stadium, Pretoria (RSA)",08 MAR 2024,,400m-hurdles-840cm,hurdles,male,u18
8,49.63,,Sokwakhana ZAZINI,23 JAN 2000,RSA,1h2,"Kasarani, Nairobi (KEN)",13 JUL 2017,,400m-hurdles-840cm,hurdles,male,u18
9,49.86,,Marthinus KRITZINGER,10 FEB 1982,RSA,1f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,400m-hurdles-840cm,hurdles,male,u18
10,49.91,,Jason RICHARDSON,04 APR 1986,USA,1,Sherbrooke (CAN),12 JUL 2003,,400m-hurdles-840cm,hurdles,male,u18
11,49.95,,Sergio HIERREZUELO,15 MAR 1982,CUB,2f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,400m-hurdles-840cm,hurdles,male,u18
12,50.01,,Diego MANCINI,03 APR 2008,ITA,1,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,400m-hurdles-840cm,hurdles,male,u18
13,50.14,,Norge SOTOMAYOR,26 APR 1993,CUB,1,La Habana (CUB),23 JUN 2010,,400m-hurdles-840cm,hurdles,male,u18
14,50.25,,Amin Mohamed AL OZON,07 JUL 1984,SYR,1,Debrecen (HUN),14 JUL 2001,,400m-hurdles-840cm,hurdles,male,u18
15,50.28,,William WYNNE,30 JAN 1990,USA,1sf1,Ostrava (CZE),14 JUL 2007,,400m-hurdles-840cm,hurdles,male,u18
16,50.30,,LJ VAN ZYL,20 JUL 1985,RSA,1,Pretoria (RSA),13 APR 2002,,400m-hurdles-840cm,hurdles,male,u18
17,50.31,,Matodzi NDO,19 MAR 2007,RSA,1f5,"McArthur Stadium, Potchefstroom (RSA)",11 OCT 2024,,400m-hurdles-840cm,hurdles,male,u18
18,50.33,,Reggie WYATT,17 SEP 1990,USA,2,Ostrava (CZE),15 JUL 2007,,400m-hurdles-840cm,hurdles,male,u18
18,50.33,,Ryusei FUJII,18 MAR 1998,JPN,2,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,400m-hurdles-840cm,hurdles,male,u18
20,50.37,,Amaurys VALLE,18 JAN 1990,CUB,3,Ostrava (CZE),15 JUL 2007,,400m-hurdles-840cm,hurdles,male,u18
21,50.38,,Aleix PORRAS,11 SEP 1999,ESP,1,Mataró (ESP),26 JUN 2016,,400m-hurdles-840cm,hurdles,male,u18
22,50.39,,Marvin WILLIAMS,13 JUN 1996,JAM,1,Donetsk (UKR),13 JUL 2013,,400m-hurdles-840cm,hurdles,male,u18
23,50.40,,Oğuzhan Zeki̇ YEŞİLOBALIGİL,02 JAN 2008,TUR,2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,400m-hurdles-840cm,hurdles,male,u18
24,50.42,,Lesibe DIKGALE,03 APR 2007,RSA,1f5,"Pilditch Stadium, Pretoria (RSA)",18 SEP 2024,,400m-hurdles-840cm,hurdles,male,u18
25,50.48,,Reggie WYATT,17 SEP 1990,USA,1sf2,Ostrava (CZE),14 JUL 2007,,400m-hurdles-840cm,hurdles,male,u18
26,50.49,,Diego MANCINI,03 APR 2008,ITA,1,"Stadio Guidobaldi, Rieti (ITA)",29 JUN 2025,,400m-hurdles-840cm,hurdles,male,u18
27,50.53,,Okeen WILLIAMS,01 JAN 1996,JAM,1sf3,Donetsk (UKR),11 JUL 2013,,400m-hurdles-840cm,hurdles,male,u18
27,50.53,,Masaki TOYODA,17 JAN 1998,JPN,3,"Pascual Guerrero Stadium, Cali (COL)",18 JUL 2015,,400m-hurdles-840cm,hurdles,male,u18
29,50.56,,Linford MAREE,31 JAN 1999,RSA,1,Germiston (RSA),02 APR 2016,,400m-hurdles-840cm,hurdles,male,u18
30,50.57,,Chengcheng ZHAO,13 APR 2008,CHN,1,"Olympic Center, Shenyang (CHN)",14 AUG 2025,,400m-hurdles-840cm,hurdles,male,u18
31,50.61,,Zhihang XU,18 FEB 1997,CHN,1f1,"Olympic Stadium, Nanjing (CHN)",25 AUG 2014,,400m-hurdles-840cm,hurdles,male,u18
31,50.61,,Mohamed Fares JLASSI,09 JAN 1997,TUN,2f1,"Olympic Stadium, Nanjing (CHN)",25 AUG 2014,,400m-hurdles-840cm,hurdles,male,u18
31,50.61,,Matodzi NDO,19 MAR 2007,RSA,2,"Pilditch Stadium, Pretoria (RSA)",08 MAR 2024,,400m-hurdles-840cm,hurdles,male,u18
34,50.63,,Dániel HULLER,10 MAY 2001,HUN,1,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,400m-hurdles-840cm,hurdles,male,u18
34,50.63,,Martin FRAYSSE,30 JUN 2001,FRA,1,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,400m-hurdles-840cm,hurdles,male,u18
34,50.63,,Daniel WRIGHT,31 JUL 2006,JAM,1,"National Stadium, Kingston (JAM)",17 JUN 2023,,400m-hurdles-840cm,hurdles,male,u18
37,50.68,,Stiaan MYBURGH,08 JAN 2008,RSA,1f1,"UJ Stadium, Johannesburg (RSA)",14 MAR 2025,,400m-hurdles-840cm,hurdles,male,u18
38,50.69,,Norge SOTOMAYOR,26 APR 1993,CUB,1f3,Singapore (SGP),23 AUG 2010,,400m-hurdles-840cm,hurdles,male,u18
38,50.69,,Lesibe DIKGALE,03 APR 2007,RSA,1f4,"Pilditch Stadium, Pretoria (RSA)",17 FEB 2024,,400m-hurdles-840cm,hurdles,male,u18
40,50.71,,Sokwakhana ZAZINI,23 JAN 2000,RSA,1,Pretoria (RSA),15 FEB 2017,,400m-hurdles-840cm,hurdles,male,u18
41,50.72,,Jason RICHARDSON,04 APR 1986,USA,1,"Amherst, MA (USA)",06 JUL 2003,,400m-hurdles-840cm,hurdles,male,u18
41,50.72,,Yang WANG,20 SEP 1996,CHN,1sf1,Donetsk (UKR),11 JUL 2013,,400m-hurdles-840cm,hurdles,male,u18
41,50.72,,Masaki TOYODA,17 JAN 1998,JPN,1sf1,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,400m-hurdles-840cm,hurdles,male,u18
44,50.74,,Pieter BENEKE,18 JUL 1990,RSA,1,Pretoria (RSA),14 APR 2007,,400m-hurdles-840cm,hurdles,male,u18
44,50.74,,Zhihang XU,18 FEB 1997,CHN,1,Bangkok (THA),22 MAY 2014,,400m-hurdles-840cm,hurdles,male,u18
46,50.75,,Cornel FREDERICKS,03 MAR 1990,RSA,1,Pretoria (RSA),14 APR 2007,,400m-hurdles-840cm,hurdles,male,u18
46,50.75,,Marlon HUMPHREY,08 JUL 1996,USA,1,"Edwardsville, IL (USA)",26 JUN 2013,,400m-hurdles-840cm,hurdles,male,u18
48,50.76,,Bandar Yahya AL SHARAKILI,06 MAR 1987,KSA,1,Jeddah (KSA),04 SEP 2004,,400m-hurdles-840cm,hurdles,male,u18
49,50.78,,Yang WANG,20 SEP 1996,CHN,2,Donetsk (UKR),13 JUL 2013,,400m-hurdles-840cm,hurdles,male,u18
50,50.79,,Zhihang XU,18 FEB 1997,CHN,1h1,"Olympic Stadium, Nanjing (CHN)",22 AUG 2014,,400m-hurdles-840cm,hurdles,male,u18
