rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8.95,+0.3,Mike POWELL,10 NOV 1963,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1346,long-jump,jumps,male,senior
2,8.90,+2.0,Bob BEAMON,29 AUG 1946,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,1335,long-jump,jumps,male,senior
3,8.87,-0.2,Carl LEWIS,01 JUL 1961,USA,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1330,long-jump,jumps,male,senior
4,8.86,+1.9,Robert EMMIYAN,16 FEB 1965,URS,1,Tsakhadzor (ARM),22 MAY 1987,1326,long-jump,jumps,male,senior
5,8.79,+1.9,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1311,long-jump,jumps,male,senior
5,8.79,,Carl LEWIS,01 JUL 1961,USA,1,"New York, NY (USA) (i)",27 JAN 1984,1311,long-jump,jumps,male,senior
7,8.76,+1.0,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",24 JUL 1982,1304,long-jump,jumps,male,senior
7,8.76,+0.8,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",18 JUL 1988,1304,long-jump,jumps,male,senior
9,8.74,+1.4,Larry MYRICKS,10 MAR 1956,USA,2,"Indianapolis, IN (USA)",18 JUL 1988,1300,long-jump,jumps,male,senior
9,8.74,+2.0,Erick WALDER,05 NOV 1971,USA,1,"El Paso, TX (USA)",02 APR 1994,1300,long-jump,jumps,male,senior
9,8.74,-1.2,Dwight PHILLIPS,01 OCT 1977,USA,1,"Eugene, OR (USA)",07 JUN 2009,1307,long-jump,jumps,male,senior
12,8.73,+1.2,Irving SALADINO,23 JAN 1983,PAN,1,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1298,long-jump,jumps,male,senior
13,8.72,-0.2,Carl LEWIS,01 JUL 1961,USA,1,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1296,long-jump,jumps,male,senior
14,8.71,-0.4,Carl LEWIS,01 JUL 1961,USA,1,"Westwood, CA (USA)",13 MAY 1984,1295,long-jump,jumps,male,senior
14,8.71,+0.1,Carl LEWIS,01 JUL 1961,USA,1,"Los Angeles, CA (USA)",19 JUN 1984,1293,long-jump,jumps,male,senior
14,8.71,+1.9,Iván PEDROSO,17 DEC 1972,CUB,1,"Helmántico, Salamanca (ESP)",18 JUL 1995,1293,long-jump,jumps,male,senior
