rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8.38,-0.5,Mattia FURLANI,07 FEB 2005,ITA,2,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1224,long-jump,jumps,male,u20
2,8.36,+1.4,Mattia FURLANI,07 FEB 2005,ITA,1,"Centro Sportivo Fontanassa, Savona (ITA)",15 MAY 2024,1216,long-jump,jumps,male,u20
3,8.35,+1.1,Sergey MORGUNOV,09 FEB 1993,RUS,1,Cheboksary (RUS),20 JUN 2012,1214,long-jump,jumps,male,u20
4,8.34,0.0,Randy WILLIAMS,23 AUG 1953,USA,1q1,"Olympiastadion, München (GER)",08 SEP 1972,1212,long-jump,jumps,male,u20
4,8.34,,Mattia FURLANI,07 FEB 2005,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",17 FEB 2024,1212,long-jump,jumps,male,u20
4,8.34,-1.0,Mattia FURLANI,07 FEB 2005,ITA,3,"Stade de France, Paris (FRA)",06 AUG 2024,1218,long-jump,jumps,male,u20
4,8.34,+0.2,Jorge A. HODELÍN,16 MAY 2007,CUB,1,"Pista Rafael Fortun Chacon, Camagüey (CUB)",29 JUN 2025,1212,long-jump,jumps,male,u20
8,8.33,+2.0,Maykel MASSÓ,08 MAY 1999,CUB,1,"Moratalaz, Madrid (ESP)",14 JUL 2017,1210,long-jump,jumps,male,u20
9,8.31,+0.8,Yuhao SHI,26 SEP 1998,CHN,1,Beijing (CHN),25 JUN 2017,1205,long-jump,jumps,male,u20
10,8.30,+1.3,Yuhao SHI,26 SEP 1998,CHN,1,Ordos (CHN),27 JUN 2016,1203,long-jump,jumps,male,u20
10,8.30,+1.8,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,Patra (GRE),18 JUN 2017,1203,long-jump,jumps,male,u20
12,8.28,+0.8,Luis Alberto BUENO,22 MAY 1969,CUB,1,La Habana (CUB),16 JUL 1988,1199,long-jump,jumps,male,u20
12,8.28,+1.8,Maykel MASSÓ,08 MAY 1999,CUB,1,La Habana (CUB),28 MAY 2016,1199,long-jump,jumps,male,u20
12,8.28,+0.8,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,2,"Moratalaz, Madrid (ESP)",14 JUL 2017,1199,long-jump,jumps,male,u20
12,8.28,+1.6,Lester LESCAY,15 OCT 2001,CUB,1,"Pista Rafael Fortun Chacon, Camagüey (CUB)",23 FEB 2020,1199,long-jump,jumps,male,u20
16,8.27,+1.7,Eusebio CÁCERES,10 SEP 1991,ESP,1q2,"Estadio Olímpico, Barcelona (ESP)",30 JUL 2010,1197,long-jump,jumps,male,u20
17,8.26,+0.8,Maykel MASSÓ,08 MAY 1999,CUB,5,"Olympic Stadium, London (GBR)",05 AUG 2017,1194,long-jump,jumps,male,u20
18,8.25,+1.9,Luis Alberto BUENO,22 MAY 1969,CUB,1,La Habana (CUB),28 SEP 1986,1192,long-jump,jumps,male,u20
18,8.25,+0.9,Jianan WANG,27 AUG 1996,CHN,3,"Shanghai Stadium, Shanghai (CHN)",17 MAY 2015,1192,long-jump,jumps,male,u20
20,8.24,0.0,Randy WILLIAMS,23 AUG 1953,USA,1,"Olympiastadion, München (GER)",09 SEP 1972,1190,long-jump,jumps,male,u20
20,8.24,+0.2,Eric METCALF,23 JAN 1968,USA,1,"Indianapolis, IN (USA)",06 JUN 1986,1190,long-jump,jumps,male,u20
20,8.24,+1.8,Vladimir OCHKAN,13 JAN 1968,URS,1,Leningrad (URS),21 JUN 1987,1190,long-jump,jumps,male,u20
20,8.24,-0.7,Mattia FURLANI,07 FEB 2005,ITA,1,"FBK Stadium, Hengelo (NED)",04 JUN 2023,1194,long-jump,jumps,male,u20
24,8.23,-0.3,Yuhao SHI,26 SEP 1998,CHN,6,"Olympic Stadium, London (GBR)",05 AUG 2017,1189,long-jump,jumps,male,u20
24,8.23,-0.2,Mattia FURLANI,07 FEB 2005,ITA,1,"Givat Ram Stadium, Jerusalem (ISR)",08 AUG 2023,1189,long-jump,jumps,male,u20
26,8.22,,Larry DOUBLEY,16 MAR 1958,USA,1,"Champaign, IL (USA)",03 JUN 1977,1186,long-jump,jumps,male,u20
26,8.22,,Viktor KUZNYETSOV,14 JUL 1986,UKR,1,Brovary (UKR) (i),22 JAN 2005,1186,long-jump,jumps,male,u20
26,8.22,+1.6,Bozhidar SARÂBOYUKOV,06 AUG 2004,BUL,2,"Givat Ram Stadium, Jerusalem (ISR)",08 AUG 2023,1186,long-jump,jumps,male,u20
26,8.22,,Mattia FURLANI,07 FEB 2005,ITA,2,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1186,long-jump,jumps,male,u20
30,8.21,+2.0,Vance JOHNSON,13 MAR 1963,USA,1,"Provo, UT (USA)",04 JUN 1982,1184,long-jump,jumps,male,u20
30,8.21,+0.2,Lester LESCAY,15 OCT 2001,CUB,1,"Estadio Panamericano, La Habana (CUB)",07 MAR 2020,1184,long-jump,jumps,male,u20
32,8.20,+1.4,James STALLWORTH,29 APR 1971,USA,1q1,"Deveti Septemvri Stadium, Plovdiv (BUL)",09 AUG 1990,1181,long-jump,jumps,male,u20
32,8.20,0.0,SREESHANKAR,27 MAR 1999,IND,1,Bhubaneshwar (IND),27 SEP 2018,1181,long-jump,jumps,male,u20
34,8.19,+1.5,Luvo MANYONGA,08 JAN 1991,RSA,1,Bottrop (GER),09 JUL 2010,1179,long-jump,jumps,male,u20
34,8.19,+2.0,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,Kalamata (GRE),28 MAY 2016,1179,long-jump,jumps,male,u20
34,8.19,+1.9,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,St-Martin (FRA),13 MAY 2017,1179,long-jump,jumps,male,u20
37,8.18,,LaMonte KING,18 DEC 1959,USA,2,"Modesto, CA (USA)",20 MAY 1978,1177,long-jump,jumps,male,u20
37,8.18,,Petr LAMPART,31 MAR 1983,CZE,1,Brno (CZE),15 SEP 2002,1177,long-jump,jumps,male,u20
37,8.18,+1.3,Marquise GOODWIN,19 NOV 1990,USA,4f2,"Eugene, OR (USA)",27 JUN 2009,1177,long-jump,jumps,male,u20
37,8.18,0.0,Jianan WANG,27 AUG 1996,CHN,3,"National Stadium, Beijing (CHN)",25 AUG 2015,1177,long-jump,jumps,male,u20
37,8.18,+1.3,Yuhao SHI,26 SEP 1998,CHN,,Hong Kong (HKG),14 MAY 2017,1177,long-jump,jumps,male,u20
42,8.17,+1.4,Vladimir OCHKAN,13 JAN 1968,URS,1,"Alexander Stadium, Birmingham (GBR)",07 AUG 1987,1175,long-jump,jumps,male,u20
42,8.17,+0.5,Xiaoyi ZHANG,25 MAY 1989,CHN,1,Chongqing (CHN),23 APR 2006,1175,long-jump,jumps,male,u20
42,8.17,-0.8,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,,Monterrey (MEX),16 JUN 2017,1179,long-jump,jumps,male,u20
42,8.17,-1.0,Mattia FURLANI,07 FEB 2005,ITA,2q2,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1181,long-jump,jumps,male,u20
42,8.17,0.0,Chengliang LI,05 APR 2006,CHN,1,Xi'an (CHN),08 JUN 2024,1175,long-jump,jumps,male,u20
47,8.16,+1.1,Dion BENTLEY,26 AUG 1971,USA,1,"Santa Fe, NM (USA)",23 JUN 1989,1173,long-jump,jumps,male,u20
47,8.16,0.0,James STALLWORTH,29 APR 1971,USA,1,"Fresno, CA (USA)",30 JUN 1990,1173,long-jump,jumps,male,u20
47,8.16,0.0,Cheng WANG,04 NOV 1980,CHN,1,Chengdu (CHN),18 APR 1998,1173,long-jump,jumps,male,u20
47,8.16,-0.8,Aleksandr MENKOV,07 DEC 1990,RUS,1,Kemerovo (RUS),06 JUN 2009,1177,long-jump,jumps,male,u20
47,8.16,+1.7,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,Kalamata (GRE),27 MAY 2017,1173,long-jump,jumps,male,u20
52,8.15,+1.2,Leroy BURRELL,21 FEB 1967,USA,1,"Westwood, CA (USA)",19 APR 1986,1170,long-jump,jumps,male,u20
52,8.15,-0.3,Yuhao SHI,26 SEP 1998,CHN,1q,Ordos (CHN),03 JUN 2017,1171,long-jump,jumps,male,u20
52,8.15,+0.4,Maykel MASSÓ,08 MAY 1999,CUB,2q1,"Olympic Stadium, London (GBR)",04 AUG 2017,1170,long-jump,jumps,male,u20
52,8.15,+1.9,Alejandro PARADA,05 JUL 2004,CUB,1,"Estadio Panamericano, La Habana (CUB)",12 MAR 2023,1170,long-jump,jumps,male,u20
52,8.15,+0.6,Roko FARKAŠ,11 FEB 2005,CRO,1q1,"Estadio Atlético de la VIDENA, Lima (PER)",29 AUG 2024,1170,long-jump,jumps,male,u20
57,8.14,+1.5,Sheddric FIELDS,13 APR 1973,USA,1,Cwmbran (GBR),14 JUL 1991,1168,long-jump,jumps,male,u20
57,8.14,+0.3,Petar DACHEV,15 JUN 1979,BUL,1,"Parc des Sports, Annecy (FRA)",30 JUL 1998,1168,long-jump,jumps,male,u20
57,8.14,0.0,Greg RUTHERFORD,17 NOV 1986,GBR,1,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",22 JUL 2005,1168,long-jump,jumps,male,u20
60,8.13,,Carl LEWIS,01 JUL 1961,USA,3,San Juan (PUR),07 JUL 1979,1166,long-jump,jumps,male,u20
60,8.13,+1.1,Robert EMMIYAN,16 FEB 1965,URS,1,Baku (AZE),14 SEP 1984,1166,long-jump,jumps,male,u20
60,8.13,0.0,Ja'Mari WARD,21 MAR 1998,USA,1,"Columbia, SC (USA)",12 MAY 2017,1166,long-jump,jumps,male,u20
60,8.13,+0.5,Yuhao SHI,26 SEP 1998,CHN,1,Ordos (CHN),04 JUN 2017,1166,long-jump,jumps,male,u20
64,8.12,+0.3,David GIRALT,28 JUN 1959,CUB,1,Berlin (GER),15 JUN 1977,1164,long-jump,jumps,male,u20
64,8.12,+0.4,James STALLWORTH,29 APR 1971,USA,1,"Deveti Septemvri Stadium, Plovdiv (BUL)",10 AUG 1990,1164,long-jump,jumps,male,u20
64,8.12,,Kareem STREETE-THOMPSON,30 MAR 1973,CAY,1,"College Station, TX (USA)",01 MAY 1992,1164,long-jump,jumps,male,u20
64,8.12,+1.4,Ahmed Fayez AL DOSARI,03 JUL 1985,KSA,1,Qatif (KSA),27 MAR 2002,1164,long-jump,jumps,male,u20
