rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,18.29,+1.3,Jonathan EDWARDS,10 MAY 1966,GBR,1,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1303,triple-jump,jumps,male,senior
2,18.21,+0.2,Christian TAYLOR,18 JUN 1990,USA,1,"National Stadium, Beijing (CHN)",27 AUG 2015,1294,triple-jump,jumps,male,senior
3,18.18,-0.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,ESP,1,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1292,triple-jump,jumps,male,senior
4,18.14,+0.4,Will CLAYE,13 JUN 1991,USA,1,"Long Beach, CA (USA)",29 JUN 2019,1287,triple-jump,jumps,male,senior
5,18.11,+0.8,Christian TAYLOR,18 JUN 1990,USA,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1283,triple-jump,jumps,male,senior
6,18.09,-0.4,Kenny HARRISON,13 FEB 1965,USA,1,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1283,triple-jump,jumps,male,senior
7,18.08,0.0,Pedro PICHARDO,30 JUN 1993,CUB,1,La Habana (CUB),28 MAY 2015,1280,triple-jump,jumps,male,senior
8,18.07,,Hugues Fabrice ZANGO,25 JUN 1993,BUR,1,"Stadium Jean-Pellez, Aubiére (FRA) (i)",16 JAN 2021,1279,triple-jump,jumps,male,senior
9,18.06,+0.8,Pedro PICHARDO,30 JUN 1993,CUB,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1278,triple-jump,jumps,male,senior
9,18.06,+1.1,Christian TAYLOR,18 JUN 1990,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1278,triple-jump,jumps,male,senior
9,18.06,+0.4,Will CLAYE,13 JUN 1991,USA,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1278,triple-jump,jumps,male,senior
12,18.04,+0.3,Teddy TAMGHO,15 JUN 1989,FRA,1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1276,triple-jump,jumps,male,senior
12,18.04,+0.8,Christian TAYLOR,18 JUN 1990,USA,2,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1276,triple-jump,jumps,male,senior
12,18.04,-0.6,Pedro PICHARDO,30 JUN 1993,POR,2,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1279,triple-jump,jumps,male,senior
15,18.01,+0.4,Jonathan EDWARDS,10 MAY 1966,GBR,1,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1273,triple-jump,jumps,male,senior
