rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5:10.68,,Mahiedine MEKHISSI,15 MAR 1985,FRA,1,Reims (FRA),30 JUN 2010,1248,2000-metres-steeplechase,middlelong,male,senior
2,5:13.47,,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",25 JUN 2010,1228,2000-metres-steeplechase,middlelong,male,senior
3,5:14.06,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1224,2000-metres-steeplechase,middlelong,male,senior
4,5:14.43,,Julius KARIUKI,12 JUN 1961,KEN,1,Rovereto (ITA),21 AUG 1990,1221,2000-metres-steeplechase,middlelong,male,senior
5,5:14.53,,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,1,Doha (QAT),13 MAY 2005,1220,2000-metres-steeplechase,middlelong,male,senior
6,5:15.36,,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",26 JUN 2009,1215,2000-metres-steeplechase,middlelong,male,senior
7,5:15.96,,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Tomblaine, Nancy (FRA)",19 JUN 2002,1210,2000-metres-steeplechase,middlelong,male,senior
8,5:16.22,,Philip BARKUTWO,06 OCT 1966,KEN,2,Rovereto (ITA),21 AUG 1990,1209,2000-metres-steeplechase,middlelong,male,senior
9,5:16.46,,Wesley KIPROTICH,01 AUG 1979,KEN,2,Doha (QAT),13 MAY 2005,1207,2000-metres-steeplechase,middlelong,male,senior
10,5:16.85,,Eliud BARNGETUNY,20 MAY 1973,KEN,1,Parma (ITA),13 JUN 1995,1204,2000-metres-steeplechase,middlelong,male,senior
11,5:16.92,,Víctor RUIZ,24 JUN 1993,ESP,1,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",14 JUN 2023,1204,2000-metres-steeplechase,middlelong,male,senior
12,5:17.19,,Bouabdellah TAHRI,20 DEC 1978,FRA,1,Strasbourg (FRA),28 JUN 2007,1202,2000-metres-steeplechase,middlelong,male,senior
13,5:18.28,,Richard KOSGEI,29 DEC 1970,KEN,2,Parma (ITA),13 JUN 1995,1194,2000-metres-steeplechase,middlelong,male,senior
